,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.130662173486195,0,0.296176787751308,0.139591085816219,0.115963272761542,0,0.0519418503168421,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0502971619253005,0.19036910430973,0,0,0,0,0.291551729121364,-0.0477159098153925,0.0764392207961542,0.109241588474129,0.219011668505855,0,0.0598228232429802,0,0,0,0,0
BCH,0,0,0,0.292717299824158,-0.412123414880121,0,0.843324536278785,0.188204820419244,-0.60198372154658,-0.0705346732666287,0.653913044032918,0.664117968750017,0,0.411099259133314,-1.24535173493532,0,0,0,0,0
XRP,0,0.29670205743476,0.0747374617328631,0,0.107715588842909,0,-0.100007479437684,0.0029230867424017,4.33680868994202e-19,0.0624093711473366,-0.150794007786337,0.0111552231244746,0,0.0394783948137118,0.401376207741729,0,0,0,0,0
LTC,0.221615145985281,0,0.0290922521262357,0.0594629311099398,0,-0.254140391730302,-0.0615102443318311,0.0421291451462899,0,0.101647328505213,0.730406343010971,0.24038836290583,-0.112567518400371,0,0,0,-0.0622383698869389,0,0,0
DASH,0.332110122217647,0,0.0712128900766487,0,-0.159024581252439,0,0.0678585368068133,0.00916060763083268,0.175063435570226,0.0063708633482593,0,0.20360453598925,0.00692068630449867,0,0.196419683890219,0,0,0,0,0
XEM,0,0.0914241257843366,0.0531197365743931,0,0.0911320882369618,0.412414603168868,0,-0.089411959920486,0.0289439427991998,0.130483695876454,0,-0.117826653018938,0,0,0.404438107710672,0,0,0,0,0.149498307742359
XMR,0,0,0.0771964329437262,0.065832938319966,0,0.178126298881303,0,0,0.161845185337776,0.100448081931548,0,0.037022007191906,-0.110017166747697,0.0906457022126742,0.348925138035124,0,0,0,0,-0.128477297297113
MIOTA,0,0.192526048821001,-0.115648728884189,0,0,0.251733951257855,0.246167292564775,0.0999534250375405,0,-0.090168225544625,0.110241896184,0.216118415011044,-0.116956217682867,0.23714472258901,0,0,0,0,0,0
NEO,0,0,0.0293770191558103,0,0,0,0.237669757093361,0.176961658981451,0.16799116949589,0,0,0,0.0419670128053649,0.294358422904751,0,0,0,0,0,-0.142547436147553
ETC,0,0,0.0304008311219566,0.0460857577271901,0.68008683509121,0.0304749262461949,0,0.121733758865471,0.0666321105263976,0.00683055560541995,0,0,0.046731132140843,0,0.0905072070351192,0,0,0,0,0
ZEC,0,0.0159954881812894,3.46944695195361e-18,0,0.137897928505041,0.204330021645768,0,0.0808269648556691,0.217979025987856,0,0,0,0.0311649138657598,0,0.0797961104776284,0,0,0,0,0
BAT,0,0.120461592474033,0,0,0,0,0.125646777253333,0,0.0310990993479886,0.144109570676718,0,0.216159019283511,0,0.0974750514235278,0.286838683864048,0,0,0,0,-0.181070868469949
EOS,0.0656033623708396,0,0.0925499542066538,0,0.383411420516008,0.0578642156834556,-0.130271459509461,0.200224883828707,0.247911848053423,0.198935409743679,0,-3.46944695195361e-18,0.0863840203253882,0,0.204767749978104,0,0,0,0,0
XLM,0,0.0123807137789786,0,0.026845916358554,0,-0.213581935846184,0.137364165988963,0.536425553517445,0,-0.0287264042485595,0.0652360089626622,0.0482577912482775,0.267074712226402,0,0,0,0,0,0,0
BV010082.Index,-0.0311539321625391,0,-0.0068928849972469,0,0,0,0,0,0,0.00927429483891932,0,0.0588891279937022,0.0273912686078373,-0.0181522721450663,0,0,0,0,0,-0.0715507045162762
CVIX.Index,0.0479403957081817,0,-0.0184036104033381,0.0677624658993129,0.0725959693812003,0,0.0154871954771862,0,0.046448921789465,0,0,-0.121519904613431,0,-0.0755131936781776,0,0,0,0,0,0.0737705576804213
DXY.Curncy,0.0057924714045658,-0.00907180780751904,0.00217806963122772,1.60485510694909e-05,0,0,-0.00412752695245053,0,0.0131046213183331,0,0,-0.00910103478543535,0.00413450437422489,0.0080795340998091,-0.00571142101887373,0.0363008497842033,-0.00775166417333885,0,0,-0.00113312404801775
SPX.Index,0,0.000634817478353915,0,0.0053266260217678,-0.00766581338013073,-0.0137952728986608,0,-0.0108954364448334,0.00382354357618162,0,0.0128668493139947,0,0.00337336146199804,0,-0.000993665245681072,0,0,0,0,-0.0480054592531724
VIX.Index,-0.0968062796293137,0.228437744625181,0,0,-0.232265777666756,-0.137305804070921,0.369782787485663,0,0.0212920298858535,-0.0457799289767229,0,0,0.116341042549428,-0.298932370259637,-6.93889390390723e-18,0,2.41815777235758,0,0,0
