,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,NEO,ZEC,DOGE,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0776124897341808,-0.0282040447417909,0.266350819140741,0.0563675825553569,0.0702805601447252,0,0,0,0.037781130883023,0,0.227939269124047,-0.14359171213223,-0.14874690689248,-0.654512231820466,0,0,0.156300908990223
ETH,0,0,0,0,0,0,0.272125301702926,0.101211065267073,0,-0.0145594131293142,0.127307459676998,0.298862558229147,0,0,0,0,0,0
XRP,0,0.0509713109193006,0,-5.42101086242752e-20,0.436093659435331,0.15667866326792,0.0059582563655116,0.138287525949909,0,-0.0671166149690289,-0.0771069763428557,-0.0134716745049239,0.218066031109815,0,0,0,0,0.410271217036487
LTC,0.369888200355052,-0.0377609068886255,0,0,-0.0139564520010462,-0.159188669539414,0.207763326945245,-0.0430130956381682,0.00478065922789762,0.136421429001289,0.129394906121168,0.181521275156123,0,0,0,0,0,0
XEM,0.174998195035883,0.0186070322826789,0.343102122111283,0.20655094255438,0,-0.114831199110738,0,-0.0402665450140012,0.381892584664409,-0.00739530458318233,0,0,0,0,0,0,0,-0.111382317758298
DASH,0.0899389638117818,0.079497165845872,0,0,0.162143461113074,0,0.202824934000348,0,0.175014445431024,0.0519714504849874,0,0.0455702595124493,0,0,0,0,0,0.13956527743352
ETC,0.0506390538799407,0.23225401152014,0,0.136420599996931,0,0.00874743996159101,0,0,0.2453730528577,0.0358341771371718,0,0,-0.153668701131841,0,0,0,0,0
MIOTA,0.531989728409019,0.11184944115491,0,0,0,0.208441309631997,0.229103035061976,0,0,0,0.377937858054411,0.111398741284286,0.245598936088323,0,0,0,0,-0.134848220660076
XMR,0,-0.0146029774983551,0,0.149516958409978,0.0756257150503568,0.458328351012735,0,0,0,-0.0146797663553421,0,0,0.252046213752006,0,0,0,0,0
NEO,-0.665547640671946,0.153034071920543,-1.80827227930774,-0.083663725705912,1.42550518825169,0.621195954512265,0,-0.161384195520114,0,0,0.93553044607003,0,-0.227314525016926,-1.93719932445158,-4.03963618021537,0,0,0
ZEC,0,0.194297193838186,0,0,0,0.0716508500635474,0,0.0505968381623434,0,0.0582259802325047,0,0.147451483746739,0.253205722981898,0,0,0,0,0.104520301633531
DOGE,0,0,0.197624762517471,0.103145724298463,0.316046900411248,0,0,0.0761308494267508,0.288877078965318,0.0255979473361144,0,0,-0.0843753995771792,0,0,0,0,-0.0768133671318036
XLM,-0.382704806570744,0,0.347474128200901,0.106095576274152,0.274260453889149,0,0.0352664728999951,-0.0427100934191339,0.664505353112155,0.061782167911328,0.256954445183853,0,0,0,0,0,0,0
BV010082.Index,-0.0676585903562692,0.0495979618869428,0.000535826175794239,0.0561867220533616,-0.0738952700282145,0.052448664054422,-0.0564129647654824,0.0163256326693212,0.0342052636356115,-0.00956692704653984,0,0,0,0,0,0,0,0.085304103733594
CVIX.Index,-0.120100885595636,0.0231415398087996,0.113024475493359,-0.015072392438583,-0.0202723407051594,-0.119499481784382,0.0793887675297184,0.0434037684331616,0.0563462199382884,-0.0155684504161158,-0.0988892781262076,0.0943845633440248,-0.0361141813248283,0,0,0,0,0
DXY.Curncy,0.0493043843849064,0,0.0115838344763905,0.00346961385876708,-0.00560472045403474,0.00637916716300005,0,0,0,-0.00835463934793869,0,-0.0312492790511737,-0.00567919205194371,0,-0.0527594955868858,0,0,-0.0276069071947498
SPX.Index,0,0.00666100160788085,0.0073497388168239,0,-0.00148424101247942,0.0114086932475966,-0.00335779397799538,-0.00702614152971979,-0.00506027658125425,-0.0021436937276756,0.00214544299317214,0,0,0.0113081234423838,0,0,0,-0.0638275827918007
VIX.Index,0.173744395562694,0.282996308267159,0.272683206220406,-0.391873845164825,0,0,0.205674529653708,-0.184549491249144,0.181817775519138,1.73472347597681e-18,0,0.0511355043316004,-0.260017307061444,0,0,0,0,0
