,BTC,ETH,XRP,BCH,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.207524368595004,0,0,0.169095725482474,0.119719733398666,0,0,0.0474875384210145,-0.112884963200179,0.0431258503355411,0.0135748201837114,0,0.126199401037092,0,0,0,0,-0.095687467378218
ETH,0.369481813727802,0,0.116859089017868,-0.0464319940254828,1.73472347597681e-18,0,0.0316769445198693,0,0.194272895239075,0.161760416525728,0.113753022459468,0,0,0,0,0,0,0,0
XRP,-0.230390575831003,0.498794223094298,0,-0.0685810199705793,0.0573355518477208,0,0,-0.0957152792938005,0.560277107902611,0,0,0,0.0325983419830849,0.143153078862821,0,0,0,0,-0.0272343675132291
BCH,0,0,0,0,0.0484816588490368,-0.469284983477277,0.0697854030718633,0.0794968431037738,0.462622283256823,0,0.424369990022496,-0.185674459913089,0.0402416718777538,0.253405012885481,0,0.644986936386668,0,0,0
LTC,0,0,0.342631794603184,-0.0976789513942482,0,0,0.0175046444282985,0.169261781690068,0,-0.0436837028142497,0.633336050771604,0,0,0,0,0,0,0,-0.0788963336092504
DASH,0.0154821482273332,0.151435014139254,0.0899889741792967,0.153407114772389,0.201704324258154,0,-0.0263974427741872,0.0935860899269173,0.150502427670956,8.67361737988404e-19,-0.187002166093155,0,0.012458148210624,0.15179196384741,0,0,0,0,0.187276265218723
NEO,0,0.30579452544328,0.0718108064850145,0.192106808821318,0,0,0,-0.080206700048433,0.55655635080091,-0.0471059510692315,-0.1085251156393,0.379320587409919,0.169924585843254,0.0178949798475109,0.888435997796572,0,0,0,-0.290263923708297
XEM,0,0.124036895964454,-0.0604302183007586,0.213926919352518,0.132348101128351,0.152868232522506,0.0545413839425796,0,0.329443048363549,0.134033950629674,-0.0697250954811588,0.045962290056101,0,0.0948346974510883,0,0,0,0,0
XMR,0,-0.024248762094651,0.296432270342477,0.0459190051906556,0,0,0.153004229335266,0,0,0.0837767329552637,0.171635072859886,0.21689063073178,0,0.00887583837343001,0,0,0,0,1.0842021724855e-19
MIOTA,0,0,0,0.0816672728491483,-0.340352758069199,0,-0.177007663072181,0.284620682379831,0,0,0.285900230702303,0.173071432944703,0.0607540230815843,0.44947819817032,0,0,0,0,0.105702019490835
ETC,0,0.572835741590465,0.0542123903694123,0,0.605295635624831,0,0.0231199303147834,-0.192858529497176,0,0.0869457239065802,0,0,0.0957544567927272,0,0,-0.163320960339606,0,0,0
ZEC,0,0.344861671932472,0,0.119691672120462,0.13061161737785,0.355721515255217,-0.098267354821475,0.0566520783452744,0.00428598252319737,0.0464565983088462,0,0,0.0893439835774124,0.119171016554386,0,0.227885740284499,0,0,0.101794004610563
XLM,0,0,0.461124716589749,0.227420661582211,0,0,0.164616706335974,0,0,0.963197462524374,0,0,0,-0.107052878466827,0,0.769048732548825,0,0,-0.287795383657274
EOS,0,0.251466608329173,0,0,0.413847287354315,0.0110504626805503,0.218600322137812,-0.176425362137814,0.254061668231232,0.244855812907565,0,0.0554926585337363,0.106644798125018,0,0,0,0,0,-0.0624073875675479
BV010082.Index,0,0,0,-0.0288256295427571,0,-0.0486103859658401,0.0377382252155929,0,-0.0747872955557151,0.0161232242645496,0.0300366792773085,-0.0193899411834686,0.00707872934218434,0.0394206724286846,0,0,0,0,-0.0684753604670108
CVIX.Index,0,0,0,0.0951376385154384,0,-0.154514096466488,-0.0204260546844191,0.15153677204,0,-0.00819844425436351,-0.0694312675640959,0,-0.000229308625407649,-0.0309609619739997,0,0,0,0,0.0473282598906858
DXY.Curncy,0,0,0,0.0122109972410969,0,-0.0472218917821705,0.00647994420899195,-0.00256520090891186,0.000507396419660485,0,0,0.0155003097777864,0.00276523828270852,0,0,-0.0110144228783589,0,0,-0.00730168823062438
SPX.Index,0,0,0,0,0,0,0.000139638107424177,0.00729661261276268,0,0.00800223390087359,0,-0.0210244149774304,0.000786701934312699,0,0,0,0,0,-0.0345876422670077
VIX.Index,0,0.19231505456584,0.0210495109410386,-0.192973511263165,0.370941397541042,-0.100647628947898,0,-0.103531661670777,0,0.13925496985266,-0.354299429690984,0.476658815927107,0.0692884962761666,-0.430783271567996,0,0.513655124285753,0,0,0
