,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,ETC,XMR,NEO,ZEC,EOS,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.151398191360995,-3.46944695195361e-18,0.266994359740291,0.163938749736199,0.200481359680661,0.0636567842486586,0,0,0.0388372516895335,-0.0625352933831498,0.0256987288828363,-0.0182718559045878,0,0,0,0,0,0
ETH,0,0,0.00269827594722377,0.237098867433038,0,0.0958049438951324,0,0.191758971302265,0.034480218196268,0,0.0282512462967565,0.231240882165953,0.0341859319416816,0,0.229540017860972,0,-0.358885419439297,0,0,0.160641970833109
BCH,-0.230957023562873,0,0,0.197365066703986,-0.248749216374638,1.11726797228642,0,-0.694699478795838,0,0.323751240044616,0,0.397568944355252,0.101191427562251,-1.1747499542233,0.566904052110437,0,0,0,0,-0.399621702286056
XRP,0,0.400461359848243,0.0477259553155678,0,0,0,0,-0.128486369069245,0,0.143216071832529,0.119460134830794,-0.0364109142572364,0.0318150141036519,0.214072208982511,0,0,0,0,0,-0.0476544914531105
LTC,0,0,0.000313436409209393,0.0584230431201949,0,0,-0.10075355243478,0.115689323271795,0.258291944890473,0.0885544495835501,0.00191845671866092,0,0,0.023180860097836,0,0,0,0,0,0
XEM,0.0812089092271051,0.16623069842868,0.0540801865775252,0.19007387772305,0,0,0,0,0,-0.244562003106387,0.0961933711570517,-0.108277319314555,0.12880093553516,0.392452736973023,0.0125742406075255,0,0,0,0,0
DASH,0.211970886427333,0,0.0225025686387172,0,-0.139864687485534,0.0774151838935638,0,0.180688986163655,0,0.0580315209372016,0,0.29802247891499,0.0810942102570023,0,0.118380258795533,0,0,0,0,0
MIOTA,0,0,-0.230341013648596,0.0964378377985477,0.0497760305189725,0.10447451592374,0.332958184623184,0,0,0,0.125584287026812,0.373730316796375,0.0171607988530288,0.260578652875032,0.0724215911180222,0,0.537893126714723,0,0,0.225552546039521
ETC,0.0495199946647505,0.318487276567564,0,0.14801515048177,0.257295306581696,0,0.115673327584212,0,0,0.0154211323334124,0,0,0,-0.0970622416958344,0.0102296616997002,0,0,0,0,0
XMR,0,-0.245045989246585,0.0806320381942612,0.352632356539329,0,-6.93889390390723e-18,0.269685770249603,0.090521618670716,0,0,0.0610378652434398,0.164526472488589,0.0300658923183791,0.17300870563634,0,0,0,0,0,0
NEO,0,-0.303867197453696,0.00575687319928135,0.031223485446315,-0.0229816541427179,0.281717538773741,-0.0496887558192219,0.331188807830212,0,0.141786991971305,0,0,0.102571090397304,0,0.14712233984932,0,0,0,0,-0.0863035565924977
ZEC,0,0,0,0,0.0309112029323682,0,0.196645698376842,0.131780614127346,0.072177088203173,0.0220751171630129,0,0,0,0.022786727675667,0.352655782787681,0,0,0,0,0
EOS,0.339530701821804,0.307444490373972,0,0,-0.462078823470325,0,-0.273830719723117,0,0.360410310649247,0,0,0.506615866829864,0,0.346599991356949,0,0,0,0,0,0
XLM,0,0,-0.0617164176383867,0,0.0241676130585647,0.338617077246005,-0.3504618327427,0.0906776088166981,0,0.5364150862234,0.0113376204477952,0.160189645829111,0.0921834686520045,0,0.193194643464987,0,0,0,0,0
DOGE,0.334966854007746,0.334151487908087,0,0,0,-0.0397215243355282,0.167128863941883,0,0.0167489384063696,0.0146360510933847,0.0623275605722374,-0.0626432035288598,-0.0646995614827595,0.318502478973569,0,0,0,0,0,0.0127334119542096
BV010082.Index,0,0,-0.00888647058283077,0,0.0537127803515959,0,0,0,0,0.0312031180016779,-0.00536538514832504,0.0321568240689493,0,-0.0438907784488552,-0.00224880005719665,0,0,0,0,-0.00897393893359849
CVIX.Index,0.00537313335277162,0,-0.0253578517290935,0.075323145537188,0.0179924122029746,0.0067444887762688,0,0.00970034614453565,0.122955062553151,0,0,-0.0888185315412696,0.020589629084484,-0.0588202588940182,0,0,0,0,0,0.10428663824694
DXY.Curncy,0.00719629297084019,-0.00228294046830802,0.00245015362702811,-0.00539076662081417,0.0203700898115825,0,0,0.00690290917046305,0,0.012037354311395,-0.00136944783065284,-0.0223035370590976,0,-0.00208949158141496,0,0,-0.0163274141369502,0,0,0
SPX.Index,0.00667331264309537,0,0.00450685562731885,0,0.0025271929476755,-0.00335296206586071,-0.0170900892480802,0.00697030700723962,-0.00704305013984041,-0.00907198792907059,0.000223447229748565,0,0.00320576364247048,0.00444284006340044,0.0100142283612226,0,0,0,0,-0.0535913571069277
VIX.Index,0,0.0877347778380194,0.0631945537494802,-0.0692092252610176,-0.0815145391086474,0.273692640613393,-0.363795932846647,0.228599011034123,0,0.201889222147893,-0.398609139815648,0,-0.12879097870364,0,0,0,2.33160744388587,0,0,0
