,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,TRX,ADA,MIOTA,XMR,DASH,BNB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0616340840110491,0.102016951001686,0.138616971188038,0,0,0.127616818038792,0,0.0493782220737503,0.287603017881311,0,0.0973243118615078,0.0905932909800527,0,0,0,0,0
XRP,0,0,0,0.145629457578713,0,0,-0.0646969069124797,0.0134972327511909,0,0.176004240145427,0.077596472608723,0,0,0.00472538994464005,0.0267462252174501,0,0,0,0,0.10485752432924
ETH,0,0.152391736334977,0,0.0801882728774069,0.020953305399307,0.0218840611400713,0,0.0677424010418243,0,0.055561247756282,0,0.359568556997347,0.070509065782476,0.126814645002324,0,0,0,0,0,0
BCH,0,0.949399721383331,0.927065827910266,0,0,0,0.196641262165487,0,-0.0345691262095838,0.559336635322147,0,-1.22110867253807,-0.185891570338645,0.388887761180913,0,0,0,0,0,-0.159322110873861
EOS,0,0.158725418133179,0.691949492582744,0,0,0.567180364500741,0,0.105192140013063,-0.428291006126634,0,0,0,0.0422219788439866,0.0445201046747555,-0.198557574869446,0,0,0,0,0.0697758178561975
XLM,0.653684144246724,0.340710737058322,0,0.00591387407779231,0.0547181125954215,0,0,0,0,0.0086889260364252,0.0686914309550316,0.0983126932465204,0,0.00247559269218408,0.0125176584709757,0,0,0,0,0
BSV,1.84116877896198,-2.58691077849632,0,0.830056225120098,0.490531053249383,-3.08964273376729,0,-0.410502731092006,0,1.37668875866329,0.463996154163938,-1.29105602398057,0.606095507123237,1.12217537911975,0.708435059546783,0,-0.227201876259785,0,0,0
LTC,0.111889140107109,0,0,0,0.232291301467993,0,0.0120361082002781,0,0,0.0268602771553351,0,0.303850399250367,0,0.171984604755252,0,0,0,0,0,-0.0601949718431395
TRX,0.0400457880619148,0,0,0,-0.00922208037957385,0,0.0173632137618606,0,0,0.513226166656269,0.0663415335766921,0,0,0.243468739927276,0.0532892602165979,0,0,0,0,0
ADA,0,0,0,0.11565746104346,0.259872000263066,0,-0.0131088601412878,0,0.24854883084834,0,0.146417807681364,0.160657934539661,0.000344111403394035,-2.16840434497101e-19,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.494587939406286,0.0281188863226306,0,0,0,0,0,0,0.177932110633676,0.281916151797333,0,0,0,0,0
XMR,0.266965621223291,0,0.42063277038537,0.0327259467938388,0,0,-0.00838866537557023,0,0.0941311575315857,0,0.00447754725535107,0,0.139921456794865,0.121604946975932,0.0817238413537457,0,0,0,0,-0.0532486025044791
DASH,0,0,0,-0.0628135905936304,0.195001340934386,0.238013385520971,0.0136364358919321,0,0,0,0,0.55220691376666,0,0.0610124746144068,0.216332887669676,0,0.487457269568345,0,0,0.0074958519636408
BNB,0,0,0,0,0.194263563263118,0.577023538344625,0,0,0.0915153608503736,0,-0.309942896092709,0.228985041267616,0.0355561451538745,0,0.315091137706318,0,-0.566760627492984,0,0,0.133772449616026
XEM,0.00618239496133224,0,0,0.153003143372286,-0.0391711222098856,0.425387289698541,0.00556712740643144,0,0,0.0898471555452183,0,0.0489162742363054,0,0,0,0.315747982797046,0,0,0,0.0201017838721249
BV010082.Index,0,-0.192855455461165,0,-0.0209310710402001,0,-0.0259883006333272,0,0,-0.0625547890084889,0,0,0,0.0543543387510076,0.137334606779277,0.0941213433732146,0,0,0,0.137404570487426,-0.0558386872964506
CVIX.Index,0,-0.18928030840582,0,0,-0.0774806346353995,0.0381384060191113,0.0399614234998779,0,0,0.146162491687154,0.123776733864301,-0.148195144215935,0,0,0.112764218378931,-0.36134070912272,0,0,0,0.066204763773657
DXY.Curncy,0,0.0327208897428951,0.0346094958192738,-0.0220182571089945,0,-0.05740412821324,0.0133413354587441,0,0.00946193386430821,0.0390684157573325,-0.00862023777581571,-0.00437972232368231,0,-0.0035324052038034,0,0.0550654855737948,0.00165492684470841,0,0,0.0107891806167415
SPX.Index,-0.0229291103276999,0,0,-0.0415673299783142,-0.0447771012099657,0.053004718666752,0.0160006431474505,0.0232625882254998,0,0,0,0,0,-0.00525128166922759,0.0454298466251285,0.126888413514185,0.00694529044165132,0,0,-0.126670316317268
VIX.Index,-0.913280403567406,0.322718447037423,0,0,-0.0590521854264519,0,-0.0020275943689542,0.181740076997708,0,0,0.192991518720927,-0.133117820448161,0,0,0.25749921419412,0,1.19868373276378,0,-3.69260689963523,0
