,BTC,XRP,ETH,BCH,ADA,XEM,TRX,LTC,XLM,MIOTA,DASH,EOS,NEO,XMR,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0844077141700529,0,-0.118521247644786,0,-0.0196080757275688,-0.0477339331177393,0.0374453079773962,0.13177742063449,0,0.100463944198877,0.163837585323816,0.000658747079851377,0.209698903505029,0,0,0,0,0,0
XRP,-0.14123678124655,0,0.517331655702862,0.0793274783818057,0.0857355874577861,0.0264718312730884,0,-0.0330515920416163,0,-0.134076649729427,-0.197432873744012,0.219946517657822,0,0.333190280724214,0,0,0,0,0,0
ETH,-0.172124392948131,0,0,0,0.0250098960023051,0.0130371969711528,0.0924114446689043,0.164725083931691,-0.0304949856029406,0.0724057621919102,0.0609771385635957,0.0400446505657844,0.182990268392616,0,0.0876433380671902,0,0,0,0,0
BCH,0,-0.0896679333794057,0,0,-0.0143866635306227,8.67361737988404e-19,0.0202731657933254,0,0,0,0.176527495148125,0,0.26007926164499,0.138879968855635,0.199783769384998,0,0,0,0,-0.0409198439984501
ADA,0.147258672329645,0.200898836574062,0.254419154662023,0,0,0.165566599835378,0.0167293112293219,0,0.325077059481415,-0.0903507198167108,-0.0658994037391751,0,0.132659072349065,0,0.155096753091053,0,0,0,0,0.107942139312446
XEM,0,0.217738659341862,0,0,0.0441557860351263,0,-0.0231647393572534,0,0,0.162687221807832,0.156607806148,0.116141772139077,0.141830555452711,0,0.0192081899516241,0,0,0,0,0
TRX,0.5464432929216,0.2270306125035,0,0.0541448180572968,0.199452172843752,-0.431649221027394,0,0.313604342616707,-0.264571561395861,0,0,0.0357780509518336,-0.0667263988370875,0.749233375739518,0.00209959426560059,0,0,0,0,0
LTC,0.22478559607711,0.00605201075835635,0.213122870836294,0,0.00175079083587205,-1.0842021724855e-19,0,0,0,0.189069596562739,0,0,0,-0.0639548555309723,0,0,0,0,0,0
XLM,0,0,0,-0.04401296480363,0.411091748235244,0,-0.207298975314534,0.241296537376745,0,0,-0.0927299026672291,0.138814750358671,0.0743710847515579,0.213698276893401,0.016922524651253,0,0,0,0,0
MIOTA,0.610324144059767,-0.139430140838962,0.174041227378703,-0.0286011278051033,-0.0585833799170132,0,-0.11476285338847,-0.170307480650203,0.232285076309434,0,0.0369747563981633,0.312118066368563,0.0763613685670924,0.347437999624755,0.0251668618710702,0,0,0,0,0
DASH,0,0.0313699922485373,0.0380063904375481,0.0861281413993392,0,2.16840434497101e-19,-0.011023686240414,0.276670410685516,-0.0372880685591386,0.0266933941884644,0,0,0.112274375753147,0.183400202944589,0.0350844312840779,0,0,0,0,0
EOS,0.0637675082214341,-0.0614121429556846,0,-0.0350199248207632,0,0.0699915597419919,0.164623890825613,0.411731469796666,0.348035053751812,4.33680868994202e-19,0,0,0.0157251352657889,-0.30822244137033,0.277304349820123,0,0,0,0,0
NEO,0.0590463235815088,0,0.72537050594163,0.0778313842845949,0.0140598350839492,0,0.0271972796859658,0,0.206862167231489,-0.0958034584009133,0.0942011221637354,0,0,0,-0.104648716289395,0,0,0,0,0
XMR,0.184181007324383,-0.0153789291582816,0,0,0,0,0.0802207305612407,0.138547533786106,0.134995108884992,0.0553348371828081,0.0225922668286382,0.0159013785635102,0.280846443751288,0,0.10955355428352,0,0,0,0,0
BTG,0,0.185324033097313,0,1.15474030597341,0,0,0.16790298030746,0.519668437641356,0,0.135603526007809,-0.561850742281463,-0.702915852475354,0.09967334141233,0,0,0,0,0,0,0
BV010082.Index,-0.0234327615380124,-0.0171580793685644,0,-0.0351240356677866,-0.0069167809037869,0.00732637932628586,0,0.0121672098078817,0.0117384306900957,0.0130793759903116,0.0178607374208267,0.00504079953259562,0,0.0127192811934131,0,0,0,0,0,0
CVIX.Index,0,0.0289352249133278,0.0957948235831511,-0.00488175633191597,0,0.0320401728779268,-0.0248867211305252,-0.0435142228003187,0,0.0140980064781603,0,4.33680868994202e-19,-0.013593284606546,0,-0.0425140755037246,0,0,0,0,0.0705371742662314
DXY.Curncy,-0.0148369412803855,-0.00138438458306155,0,0,0,0,0.0110421489834245,0.00472038942358096,0,0.00105333535167237,-0.00101682956904224,-5.42101086242752e-20,-0.0115815920307438,0.0198865135436157,-0.00779064835937479,0,0,0,0,0.000999378659245301
SPX.Index,0,0.00203936733656574,0.0134472033360194,0.00140557112711975,0.00344973383038826,0.00136788638847691,0,4.33680868994202e-19,-0.00488945183853608,0.00142136880327881,0,0,0,0.0011623417295366,0,0,0,0,0,-0.0280724987220882
VIX.Index,0.100626739228308,0.0751961762215786,0,-0.0853831668917108,0.0487098076325451,-0.0614982153945572,-0.0909420707152379,0.0251512458225192,-0.141934504826503,0.139716542317209,0,0.197820546098852,-0.107358477429799,0,0,0,0.35808372389276,0,0,0
