,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.130662173486195,0,0.296176787751308,0.139591085816219,0.115963272761542,0.0519418503168421,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0393113683259371,0.04529741008014,0.188467053132287,0.130000682035359,0.0297532765185895,0.123130414705358,0.0264926352465973,0,0,0,0.0928969610290202,0,0.0943573101135739,0,0,0,0,0.0904092654857392
BCH,0,0,0,0.508853871774245,-0.826778098912255,0,0.873466654484415,-0.635073780480865,0,0.969847408104872,-0.0337551026272429,0.832102868309466,-0.126274378202283,0.388029001908147,-1.13936248550823,0,0,0,0,-0.0906543588305505
XRP,0,0,0.0774404584198586,0,0.172912294221934,0,-0.00332316637921552,0.00357900898509648,0.0212358702247342,-0.167410523543831,0.0396198298470167,0,0,0,0.382064004545145,0,0,0,0,0.0139706296388898
LTC,0.0756867077061408,0,-0.00975304400881636,0.0679976118439618,0,-0.00600614041923363,0,0,0,0.750149336573453,0,0,0,0.0820465644574595,0,0,0,0,0,0
DASH,0.197603506431697,-0.0471628698375039,0.0873653540980867,0,-0.0383257243912438,0,0.0973209776257721,0,0.0707641649544101,0,0.0223108582903072,0.410408965199307,0.072237355393004,0,0,0,0,0,0,0
XEM,0,0.196267541265524,0.029089115974956,0,0.125871226221815,0.476851466964404,0,0.0423856608710967,-0.0898325045993125,0,0.0865271730806571,-0.20414660243538,0,0.0914224976586644,0.291543722449681,0,0,0,0,0.124202848095287
MIOTA,0,0.179748384471837,-0.0821309712580209,0,0,0.250751188859498,0.142040245919395,0,0.121099819538228,0.0807050374971882,-0.0541274061470434,0.176057108533926,0,0.198965271510858,0,0,0,0,0,0
XMR,0,0,0.124626438066912,0.232599830764004,0,0.146563084751688,0,0.0360582224857639,0,0,0.12100435532532,0.147478329438388,-0.0860281159810394,0,0.246060213501393,0,0,0,0,-0.040714504508795
ETC,0,0,0.0432070764995088,0,0.671371141540532,0.0312903861960954,0,0.0796396208800627,0.110186177781976,0,0.00435958206408774,0,0.0609641240696737,0,0.111218713291954,0,0,0,0,0
NEO,0,0,0.0502656795693521,0,0,-0.0268992418288276,0.394243711452848,0.164190085779143,0.1986082235249,0,0,0,0.00323624977303926,0.252992886731416,0,0,0,0,0,-0.196352479063943
ZEC,0,0.451373672708894,0,0,0,0.231332109786192,0.0697026708916254,0.169664112162753,0.0677574202632367,0,-0.00829416490941349,0,0,0,0.0845853809144388,0,0,0,0,0
BAT,0,0,-0.0467013862630516,0,0,0.0351690075006883,0.0962121201273015,0.0118285396318995,0,0,0.204280203568602,0.243207151010316,0,0,0.339045274180493,0,0,0,0,-0.117872100448883
EOS,0.0656015822553686,0,0.092550598200221,0,0.383410766458995,0.0578658239117283,-0.130271161533985,0.247907717531803,0.200221811209095,0,0.198935984934184,0,0.0863840938941527,0,0.204773107661398,0,0,0,0,0
XLM,0,0.059067880457941,0,0.0430056914716566,0,-0.183284445162469,0.112588285872264,0,0.521927260939723,0.052293154321046,-0.0255848259072504,0.0278312498096381,0.261522471675545,0,0,0,0,0,0,0
BV010082.Index,0,0.0656049280675975,-0.0113353091053573,0,0.0301578329213041,0,0.00799925581520415,0,0.0182061993403879,-0.00585546053675827,-0.00528230244672283,0.0178840664800938,0.0185283964175313,-0.0358903984639814,-0.0136522819984826,0,-0.0803999887553268,0,0,-0.09169134761943
CVIX.Index,0,0,-0.0349204881119585,0.153140786087441,0.076650080067713,0.0158477184597304,0.0432842864116559,0.0884831431570056,-0.0214989511929209,0,0.0066609489008858,-0.14733024328081,0.0164647541999997,-0.0931565410443674,-0.0524965379597812,0,0,0,0,0.0720540691027293
DXY.Curncy,0.0215889965730475,-0.0260108451031767,0.00578709374442248,0,0.0026068629078095,-0.0151675723310879,-1.0842021724855e-19,0.00917945483495669,0,0,0,0,-0.00344339587996834,0,-0.00177258469155503,0.123428450830649,-0.0239571798076994,0,0,0.00106910672413947
SPX.Index,0,0,0,0.00521887776180553,-0.00735393692442371,-0.0135227775878777,-0.000152868648034909,0.00363962239584618,-0.0109952888183152,0.0129069368962695,0,0,0.00351845373797592,0,-0.000802914107853819,0,0,0,0,-0.0480717365272664
VIX.Index,0,0.0532471490110138,-0.0204429203995838,0,-0.122240066091618,-0.249327558875795,0.326435045154191,0.188554035439987,0,0,-0.162813151600703,-0.108064663600921,0.127360622873915,-0.131444167561564,0,0,1.36299974742515,0,-5.04824184921472,0
