,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,XLM,DOGE,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.201469359992764,0,0,0,0.223668151189793,0.177473149792817,0.225672154853926,-0.15510930906679,0.0828549348743092,0,-0.278985553543622,0.0698535624198789,0,0,0,0,0
ETH,0.226637718570419,0,0.0579049964303579,-0.0370327850019072,-0.0890824326482353,0.352042748360294,-0.0929265498451112,0.940778730425415,-0.247806481607209,-0.0447909208625118,0,0,0,0,-0.449032223876549,0,0,0
XRP,0,0.085620799113734,0,-0.419276787595633,0,0.314020091335833,0,-0.242478233491468,0,1.13663845275853,-0.198935500576967,0,-0.887265271856063,0,0,0,0,0
LTC,-0.27718598161256,-0.0747708609009851,-0.0127069939979841,0,0.0817373820750681,0.170430861458198,0,-3.46944695195361e-18,0,0.216790015750654,0.315389489735677,0.044822587054216,0.0936212426330264,0.705299755195623,6.93889390390723e-18,0,0,0
DASH,-0.219846626758166,0.0505937436863742,0,0.0595002222434306,0,0.112933121487512,0.0732257813578062,0,0.112932353298721,-0.0785359034970116,-0.174641790063936,0.0312600486304815,0.111058734132165,0.34382676726401,0.419412140470485,0,0,-0.0788820753198965
ETC,0.390542032555942,0.264525479934932,-0.0137023072900838,0.141651099724468,0,0,0.0945903104728048,0,0.295883794047141,0,0.0330762815298448,-0.216801315154902,0,-0.321891606825967,0,0,0,0.223356284011508
XEM,-0.496577269151454,0,0.0874899524458223,0,0.188820018079197,-0.0315033788637266,0,0.43801866315415,-0.441059781508196,0,-0.0881930933202853,0.4895079500397,0.476332903088371,0,0,0,0,-0.533977259919093
XMR,0.735074752187938,0.426098182165437,0.0319569448702876,-0.0467681897863268,0.0515622076728186,0,-0.0286782778284332,0,0.34993162268119,-0.233954775983415,-0.103579304430531,0.0272452228220592,0,-0.298342792927552,0,0,0,-0.0802393963103547
ZEC,-0.122364419951643,1.38777878078145e-17,0,-0.0444915875152987,0.165188696204981,0.0116158307027267,-0.114770423626287,0.242037168270872,0,0,0.2272536366075,0,0,0,0.120506932003988,0,0,-0.0968258468013181
XLM,0.169797723226936,0.202857421170895,0.367004150869385,0.305485743489256,0.0893475292621798,0.0218144781204271,-0.150785550743905,0.135310943897579,0,0,0,0.135446947359394,0.222527003559579,0,0,0,0,-0.259528094187858
DOGE,-0.149767444742249,0.10525773977654,-0.10695884923692,0.271903913941208,0.0353334179807858,0,-0.144045669186024,0,0.152515538380984,0.351498859378598,0,0.157026962978166,0,0,0,0,0,0.531492491072844
NEO,-0.130697857619932,0.131007748970105,-0.100081877322463,0,0,-0.33091259339385,0.0645294408195892,0,0.117295690705576,0,0.350279115386408,0,0.0347810941868379,0,0,0,0,0
DGB,0.11406343175203,0.0364345749448367,-0.0861183145966235,-0.33809799264183,-0.060051216182769,0,0.0303802626692454,0,0,0.33620912127493,0,0.147832242637146,0,0,0,0,0,-0.0497932142221302
BV010082.Index,0.0993739779618792,0,0,-0.0386771568900484,0.063736055857127,-0.107447360330236,0.0305155031815233,-0.111513638083526,-0.0623357515115288,0,0.0438198683323331,0,0.0170122756997219,0,0,0,0,-0.0474199923750449
CVIX.Index,0.135747908123735,0,0,0.0567888350734233,0.0604338056630669,-0.119441598109351,-0.493660552181958,0.235188031848484,0,0.0596123754720768,0,0.209831323474887,0.199895256338365,0,0,0,0,0
DXY.Curncy,0.031973798972789,0.00919950483962186,0,0.00426133717099086,-0.00656433190908932,0,-0.00643008213759104,0,0,0.00135434647900982,0,-5.35396358887393e-05,-0.00205440124877754,0.0899615093586565,0,0,0,0.0280336909784276
SPX.Index,0.00119281628565077,0.0164571027703379,0,0.00102623233059477,0,0,-0.00245617527988043,0.00685113987455898,-0.0192869694693447,0.00811185820003912,0,-0.00254612671518334,0,0,0,0,0,-0.0494183124002762
VIX.Index,0.136613849778567,-0.0213854583096786,0.0385736015165234,0.0401777291429977,0.0938535983355609,0.0333781381372211,-0.320125024072969,0,0,0,6.93889390390723e-18,-0.161401653507519,0.381876964156841,-1.29111238123605,-0.616211936828822,3.52027986705633,-5.11145665296876,0
