,BTC,XRP,ETH,XLM,BCH,EOS,LTC,ADA,TRX,XMR,MIOTA,DASH,BNB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0417013709364363,-0.150380986685984,0.101771191945276,-0.0680063680437788,0.114053571733829,-0.118345652999796,0.0731927618582337,0.0776087033994381,0.35896805534642,0.161313885383739,-0.0287351032808508,0.188015603626984,0.0505475376161112,0,0,0,-6.93889390390723e-18,0
XRP,0,0,0.0592818065366678,0.744961442380725,0.0632229004707499,0,0,0.0866320339127235,0,0,0,0,-0.309131905307997,0.46350834723205,0,0,0,0,0.0919496844147593
ETH,0,0.165063342489123,0,0.05083021129001,0.0112110634886253,0.161548727142773,0.225084610312057,0.122743211496995,0.0390752129338962,0.149580010885223,0,0.044076991290231,0.0847999446567007,0.0721317519177338,0,0,0,0,0
XLM,0.477522162570822,0.233667805422616,0,0,0,0.122733282782154,0,0.294859750945879,0,0.144946486653098,0,0,0,0,0,0,0,0,0
BCH,0,0,1.05107727633571,0,0,0.170542168205329,0,0.126877196951155,0,0,0.997403730129263,-1.66613716693104,0.628351134692031,0,0,0,0,0,0
EOS,0,0.330476685622071,0.260853192521482,0.115044721203961,0.13949252265519,0,0,0,-0.285736549605981,-0.0240150562448056,0,0.496415159089236,0,-0.164257996699154,0,0,0,0,0.0399910007132127
LTC,0,0,0.159961417440749,0.0974989884997489,0.209522602289313,0,0,0.0694561006786787,0.0643835248791334,0.00856134389698897,0.0750185680526426,0.23577210098266,0,0,0,0,0,0,0
ADA,0,0.0716898983517421,0,0.0453318764765953,0.120862860063643,0,0,0,0.388613129048967,0.175528879810455,0.0720937708438116,0,0,0.0514738146346022,0,0,0,0,0
TRX,0,0,0,0,0,0,0,0.414464949522505,0,0.0974272856616888,-3.46944695195361e-18,0,0.388072590677558,0.0950687749170809,0,0,0,0,-0.0825935609718584
XMR,0.343764031166015,0,0.323105362858294,0,0,0,0,0.158302376132573,0,0,0,0.0687724091063459,0.224936883668773,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.395653318956344,0,0.305093326176728,0.100122639810154,0,0,-0.12751484814111,0.227310299195082,0.167383346611633,0,0,0,0,-0.0352618122877488
DASH,0.344858881319276,0,0.131402103142089,0,0.0117230274124382,0,0,0.490933655713151,-0.026329929698035,0,0.0284032774362323,0,0.136427348941285,0,0,0,0,0,0.027511017601642
BNB,0.180907379503927,-0.120923082956319,0.653582515350847,0,0,0,0,0,-6.93889390390723e-18,0.0106750391678407,0.113782993273814,0.0513769635980653,0,0.0704336247828467,0,0,0,0,0
XEM,0,0.0333371453004151,0,0.272576350574321,0,0.0585054854206187,0,0.181021145372468,0,0,0.112642428071177,0.238484229519419,0,0,0,0,0,0,0.012556633576606
BV010082.Index,-0.0464200298307016,-0.205985412543925,0.251794255561254,0,-0.0179844230518037,0,0,0,0,-0.0412548257537499,-0.16804309585703,-1.73472347597681e-18,0.0487409947656024,0.121980433997824,0,-0.052286519572093,0.0282622368566223,0.454750804907573,-0.00118947799362917
CVIX.Index,0,0,0.387943921300329,-0.316326086619128,-0.125490674327659,0,0.129022490733873,0.0627943917965997,-6.93889390390723e-18,-0.348516377115714,0.248520978453421,-0.0640249944669167,0.067333890263908,-0.0237087298587904,-0.117402306649806,0,0,0,0.0221479216064843
DXY.Curncy,0,0,0.00700948697187367,-0.0677321786816394,0,0.00699804551508446,0,0,-0.00352588861031892,0,0.00870836052914403,0,0.047132329313654,0,0.0651018510307543,0,0,0,0
SPX.Index,0,-0.081325595062925,-0.0483645862814827,0.125181519227709,0,0,0,0,0,0,0,0,-0.0666457109700185,0.0493593834378788,0.0443859325833964,0.0345306575503756,0,0,-0.109062679626106
VIX.Index,0,0,-0.707687342029489,0,0.337857850729072,-0.715089367207121,0,0,0,0,0.42235328183585,0.338492483351575,0,0.219375564399318,0.797166687597757,1.31675580179821,0,-5.47559858106425,0
