,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0370740537972806,0,0.0705838639393681,0,0.089638958999066,0,0,0.101446475821943,0,0.18862412184897,0,0.0452696236796208,0.112541385187124,0.0288871452193314,0,-0.0736104994559549,0,0,0.0189926751216303
ETH,0,0,0,0.326270333976084,0,0,0,0,0.0515418759128014,0.0523320786923631,0.0711560935550421,0.152617090224194,0,0.125273690091014,0.0671230774702077,0,0,0,0,0
XRP,0,0.101797739810578,0,0.0647266629825624,0,-0.0529958161890405,0,0,0.104748967537445,0.313343264875992,0.00451111884081791,0.143511350765659,0,0.00692434285652299,0,0,0,0,0,0
BCH,0,0.44679025604861,0.585232257655876,0,0.0574704626873411,0.0157878319846672,0,0.0261223653609773,0.0192785764988351,0,0,0,0,0.0809773693655793,0,0,0,0,0,0
EOS,0.645328087356625,0,0,0,0,0,0.249821496321535,0,-0.0555142535481217,0.257823455668299,0,0,0,0.017170696212277,0.423543704664164,0,0,0,0,0.0452654100881045
XLM,0,0,0.170762539568482,0,0.0318179790022411,0,0,0.0733946159379651,0.0265649976391809,0.279163716900824,0.113542645358874,0,0,0,0.205214547123022,0,-0.161307375955228,0,0,-0.0936362473967253
LTC,0,0,0.019009546830383,0.34563515614445,0.0424602312274126,0,0,0,2.77555756156289e-17,0,0,0.0446221364443889,0,0.12388495410596,0.257279204083117,0,0,0,0,0
ADA,0,0,0,0.0310070052049869,0.0865487856253505,0.267746408516284,0,0,0,0.422239414561899,0,0.0511146333583293,0.0362434851876287,0,0.0750100079293378,0,0,0,0,0
MIOTA,0,-0.0639161865485698,0,-0.300126928689872,0.157728573514544,0.176574329940253,0.499125617814503,0,0,0.166833335496045,0,0.45427004340787,0,0.0517304114408936,0,-0.116617964071173,0.431488422984937,0,0,0.0825025655388254
TRX,0,0.249636452647986,0.222112866250058,0.255669522842605,0.0597342549046805,0,0,0,-0.0822348973326072,0,0.198825983954602,0,0,0,0.165772645669898,0,0,0,0,0
XMR,0.693783996702099,0,0,0,0,0,0,0.0994700116103593,0,0.138434149504155,0,0.189471342279653,0,0.13163479346883,0.0716865582952189,0,0,0,0,-0.0489870896525233
NEO,0,0,0,0,0.0501195444854695,-0.030993394416219,0,0,0.509620382229372,0,0,0,0,-0.0620639888901478,0.442011133610352,0,0,0,0,0.0615753905398552
DASH,0,0,0,0.0227672503996716,-0.0456390394255622,0.147883869191685,0,0.295032660866007,-0.129127908280186,0,0,0.251408187245282,0,0,0.0842546675714373,0,0,0,0,-0.0854936483805248
ETC,0.748068336437557,0.157880623220234,0,0,0.0929166243218064,0.0451912274024565,0,0,0.209062724391047,0,0,0,-0.331484277773531,0,0.162036021622676,-0.420579502259935,0.226711751833585,0,0,-0.132170274460277
XEM,0,0.14076085519327,0,0,0,0.280063765885336,0,0,-0.0729120745741343,0,0,0.243624824181487,0.302793231894649,0.0110736814703126,0,0,-0.173823709906957,0,0,0
BV010082.Index,0,0,0,0,-0.12073800154182,0.0683540630896863,0,-0.0856873659858568,-0.080093931763016,0,0.19735029427782,0,0.0721024172609537,-0.0280139858517573,0,0,0,0,0,-0.230114200747595
CVIX.Index,0,0,0,0.29539183062416,0,0,0,-0.12550906589393,0,-0.116041637221363,0.117176408782127,0.0112067026215376,-0.136846857619864,0.10389551916242,0,0.184245798911587,0,0,0,0.148879816683479
DXY.Curncy,0.0183827170856784,-0.0731262400592852,0,0,0,0.00890505020710042,0,-0.00676918321161595,-0.00914542120200911,0,0.024493671294114,0.0167329356307269,0,0.0321910687833105,-0.0146948942156767,-0.0291800800220851,0.133049008914368,0,0,0
SPX.Index,0.0237876447693474,0,0,0.00551742811644194,0.000848105185203232,0.00830143585728457,0,0.000491515029803123,-0.0307892006196179,0,-0.00156466401014832,0.00683161603202548,0,0,0,0,0,0,0,-0.0626359796922542
VIX.Index,0.161007230207345,0,0,0,-0.374056782646279,-0.138402841789069,0,0.0671928032895872,-0.262754184095794,0,0.20370780705375,0.0494954240903989,0,-0.143023162617615,0.499510907752538,0,0.202985758848283,0,-3.56201807242393,0
