,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0830860184749992,-0.154485399836855,0.229133538222291,0.233864551405106,0.127452357482959,0,0.0532446487627251,0,0.059354283925101,-0.087658165687561,0,-0.0118140834999999,0,0,0,0,0,0
ETH,0,0,0.195829571311254,0,-0.0751052945205308,0.125448015927648,0.0184822516596721,0,0.223312053096426,0.210158062633911,-0.072412042836543,0,0.0883459192892467,0,0.206688599181099,0,-0.283096978002159,0,0,0.057354245464433
XRP,0,0.377511580503347,0,0,0,0,0,0.135965890602206,-0.16966613302437,0,0,-0.0259961233813721,0.120805106083386,0.174965841147231,0,0,0,0,0,0
BCH,-0.220949235298172,0,0.197265303022258,0,-0.557870297617494,0,0.900733523338887,0.164503160214461,-0.661585312113375,0.864756925555077,-0.0617030225233391,0.618934708893238,0.423263912332932,-1.11745638774507,0,0,0,0,0,-0.0978762366570242
LTC,0.139627690853544,0,0.0898593379056871,0.00887099884093042,0,-0.19637960138665,-0.0460282227991919,0.0181287288869704,0,0.747454406059733,0.113488304607671,0.265879862461901,0,0,-0.15217482895544,0,0,0,0,0
DASH,0.129084103947955,0,0.0412991190569748,0,0,0,0.123720988716055,0,0.0664962615872794,0,8.67361737988404e-19,0.296158116124603,0.21540499075211,0,0.0423043528807215,0,0,0,0,0
XEM,0,0.0836730043072782,0.137455390874836,0.0332838224453425,0.106996206151552,0.538390782131578,0,-0.157514549540041,0.0126476948903058,7.69571550597731e-05,0.118721564681287,-0.174627211688894,0,0.361940590253064,0,0,0,0,0,0.15169939758996
XMR,0,0,0.193767763745137,0.0799683682183768,0,0.132676642446279,0.0778406938692102,0,0.101080959168447,0.0187232474129818,0.0538893601367166,0.145730599844848,0,0.167456538809836,0,0,0,0,0,-0.0960711018572601
MIOTA,0.592529499772645,0,0,-0.179162705906397,0,0.457750280880066,0.278744227975517,0.205160603770239,0,0.150472096594048,-0.0032830072620701,0,0.07596165943838,0,-0.0943716505756532,0,0,0,0,0.181324342935814
ETC,0,0.371767170362545,0,0.0436347985497698,0.545994402017906,0,0,0.18362050382732,0,0,0.00628664410517983,0,-0.0844462184129206,0.00566474495272377,0.0700197463407959,0,0,0,0,0
NEO,0,-0.108823649480136,0,0.0275670349800319,0.55541355000406,-0.0913794314197351,0.286826560089807,0.169009337199837,0.328128717651851,-0.373128410404222,0,0,0.198653827211264,0,-0.0265072227245687,0,0.382277930217022,0,0,-0.334756712660157
ZEC,0,0.106423191644912,0,0.0542312713898419,0.0567307384241152,0.15776896787759,0,-6.93889390390723e-18,0.198182059835989,0,0,0,0,0.131261374919838,0.0301086626077653,0,0,0,0,0
EOS,0,0,0,0.0269484860404774,0.489410594165413,0,0,0.202425290419092,0.253672354628121,0,0.221709609584371,0.0770957111873985,0,0.10442353890343,0,0,0,0,0,0
XLM,0,0.20101287054339,0.0792337062609867,0,0,-0.138457906919461,0.0906547822808837,0.480232062857747,0,0,-0.0149214498798876,0,0,0,0.225043072414292,0,0,0,0,0
BAT,0,0.120461592474033,0,0,0,0,0.125646777253332,0,0.0310990993479887,0,0.144109570676718,0.216159019283511,0.0974750514235279,0.286838683864048,0,0,0,0,0,-0.181070868469949
BV010082.Index,0,0,-0.00303461267778929,-0.00174359668567173,0.00794331646429889,-0.0546568593436354,0.0106462202664735,0.028237817384508,0,0,0,0.078252226690063,-0.0365581703381096,0,0.0156934425965584,0,0,0,0,-0.0855271141784224
CVIX.Index,0.0483710537033262,0,0.0682721563739665,-0.0180584860336359,0.0723069262518798,0,0.0171011327148673,0,0.0483195258704289,0,0,-0.122093152817438,-0.0818062496698992,0,0,0,0,0,0,0.0723522479428054
DXY.Curncy,0.00260597594161202,-0.00429329920634498,0,0.00333889052005654,0.00940843186813101,0,0,0,0.0070924356646774,0,0.00446971307833345,-0.00819374040333094,0,-0.00947909307807525,0.00162871655855201,0.0302030881102349,-0.0199304578453036,0,0,0
SPX.Index,0,0,0.00517507315935887,0,-0.00620524418548705,-0.0124783272648615,0,-0.0118744123285614,0.00306230427951939,0.0115116909828711,0,0,0,0,0.00325991548735579,0,0,0,0,-0.0485567210252458
VIX.Index,0,0,0,0,-0.083283050891619,-0.149960809267318,0.325326915016943,0,0.158489296682995,0,-0.207643598758378,0,-0.222089655934823,0.114142639906619,0,0,2.24006659561006,0,0,0
