,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.149965753177261,-0.072087507293248,0.0202195081697176,0.47119778747098,-0.112911474928662,0.275943782539909,0.00749448421440758,0.0768696483683227,-0.0429064548646755,-0.0329183404556329,0,0,0,0.143261983372319,0,0.250552588240639,0,0,0
ETH,0,0,0,0.0623254558760589,0.252923480407446,0.154839788040364,0.140601827571186,0,0.0236049254227576,0,0.050448150707494,0,0,0.201095141974983,0,0,0,0,0,0
XRP,0.415427380848151,-0.763695482430536,0,-0.119212513482105,0.0471990604160453,0.291568002165263,-0.147875835886832,0.136636835755286,0,0.0241499128030863,0.426744906787583,0.0315216988646669,0.263757472430609,0.318812130464295,0.107596508246573,0,0,0,0,0.00222196625616244
BCH,0,0,-0.108795548688999,0,0.235564985932388,0.0766036518248929,0.145388719442903,0,0,0,0.25843661890283,0.329711588972925,0,0.089418934868528,-4.33680868994202e-19,0,0,0,0,-0.0182136113973318
LTC,0.450961756481911,0,0,-0.0231276168500884,0,0,0,0,0.070811778901133,0.178676509965161,0,-0.0117681238356693,-0.0307742797637215,0.0937211348165164,0,0,0,0,0,0
ADA,0,0,0.0912881363657158,0,0.0798929633420989,0,0.0975559448070503,0.082206361122869,0,0.333916172237822,0,0,0.159580053209184,0,0.0295244680620431,0,0,0,0,0
NEO,0.11238507500246,0.583752143875652,0.0103122339126507,0,0.0926474805173087,0,0,0.160425203295433,-0.113216612999345,-0.0739675100148003,0.128902577111345,0.129821225300676,0,0.173687316199067,0,0,0,0,0,-0.055062539901042
XLM,0,0,0.217035134225492,0.0649289881223842,0,0.460639724933745,0.222864944975249,0,0,0,0,0.00690612429528027,0.149762355752275,0,-0.173860355832889,0,0,0,0,0
EOS,0,0,0,0,0.0517387475628378,0.316993460291393,-0.100436838535556,0,0,0.101659305600067,0.141063911598266,0.136842173476797,0.00314894416449967,0.220054798390694,0.18373316082266,0,0,0,0,-0.0765868218311894
MIOTA,0,0,0.130519296297209,0.0327760335927146,0.241186433686753,0.0247324890863272,-0.0323044694114788,1.73472347597681e-18,0.275714333332962,0,0,0.0684782704969088,0.110143084976998,0.428561466838678,0.0179690761204363,0,0,0,0,-0.0247059579627636
DASH,0,0.0105129583997028,0.064327746101888,0.0672370270166896,0.0306120654076508,0,0,-0.0516088109599199,0.057138579689375,0.114291976400789,0,0.198588790279779,0,0.243375321629208,0,0,0,0,0,0
XMR,0.169895172317112,0,0.00905378146009026,0.156653822275139,0,0,0,0.0962555630465174,0.0197727967575383,0,0.338790646218812,0,-0.0337971895363142,0.121752640855489,0.0297724175429651,0,0,0,0,0
XEM,0,0,0.252570177832644,0.0485164700751509,0,0,0,0.0978201737350754,0,0.405984958809976,0,0,0,0,0.0194692669972272,0,0,0,0,0
ETC,0,0,0.169207883534966,0.121590601669229,-0.10922045446477,0,0.326738354467495,-0.0984346322074786,0,0.293630467250035,0.108686025496879,0.152257415186929,0,0,0.0480594090858921,0,0,0,0,0.0649625193997609
TRX,0.930268882375993,0,0.266872201436953,0.176984909334081,-1.08370074642419,0,-0.429405036967834,0,0.161602444738484,0.656254878331077,0.127040587766231,0.0792812404271021,-0.787873997528567,0.518314799555401,0,0,0,0,0,0.196174432518403
BV010082.Index,0,0,0,0.011879525756354,0.0318022354181236,-0.0476937931365034,0,-0.0239540557592058,0,0.0218909040867,0,0,0,0.00477359161307984,0.000196631866464886,0,0,0,0,-0.0392227019943991
CVIX.Index,0.07063236522091,0,0.0486702148336831,-0.0397755229287132,-0.0654854438336474,0.0532030467043788,0,-0.0496980319874025,0.0223915547820959,0.0475053599804921,-0.0769332926503561,0,0.0255798117119011,0,-0.0319571872781494,-0.130002566733361,0,0,0,0.032292529567194
DXY.Curncy,0,0.0195827505243969,0.00701132612492169,0,-0.0152184861781045,-0.0050964308984882,0,-0.00404693790240687,-0.00740093516573535,0,0,0.00149872645301971,0.00746331187277554,0,-0.0100372519138746,-0.0938685315551383,-0.112644459591112,0,0,5.42101086242752e-20
SPX.Index,-0.00407560178115478,0,0.0151128008742902,0.0216755047623603,0,-0.0350522607782697,0.0487881270103925,0,0.010135995888112,0,0.0147791617388018,0,0.0192714206166154,-0.0919554370454708,-0.00688046341100743,0,0,0,0,-0.0762876890481073
VIX.Index,-0.625498414894819,0,-0.00659008265567638,0.232593936250307,0,0,0.252064620863986,0.00311533649124966,0.104971381486952,-0.0893909363379248,0,-0.362148405271719,0,0.207033803558175,0.0711419137501604,-1.88278502895647,0.098671906174151,0,-5.12966907042489,0
