,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.325133370565088,0.142764987608705,0.251385550146038,0,0.129654552553115,0.0775112527648967,0.0280244014915847,-0.136519495685208,0.0919676831263907,0.0679518427369631,0,0.0567582247537415,0,0,0
ETH,0,0,0.0917400403687193,-0.206063704712759,0.124116278045043,0.35488141487161,-0.0656882441402016,0.0457200179583691,0.0290006505023374,0,0.0647557967475392,0.0541392549568925,0.241137645290869,0,0.147975907248343,0,0,0
XRP,0,0.195353914544048,0,-0.0611155733239219,0.0264752905753094,0,-0.147371325938382,0.0866442771019579,0.0694010103312306,0.47332637485374,-0.0219917235883654,0.00469824015017551,0.0310529856642966,0.119774996065129,-0.126418042496218,0,0,0.0979310278419784
LTC,0.669696519317328,0,0,0,0,-0.174613492084659,0.145195839703556,0.129411275297272,0.0868036944597187,0,0.0297637903604546,0.00736223426177204,0.00843802119707008,0,-0.165866916929037,0,0,0
XMR,0.797678914581551,0.148267207759327,-0.182038924996317,0,0,0,-0.0243135278178445,0,-0.184578604780979,0,0.17511149130877,-0.0224046316591962,-0.108918397676252,0,0.507032780150027,0,0,-0.138598296976501
DASH,0.712296947200965,0,-0.195093263982383,-0.308807548139303,0.1236266992894,0,0.246945366566779,0.0373124549719016,0.0187781452907348,0.316610334703462,0.227195803632781,-0.182888769241878,0,0.354850740129247,0,1.81408090203824,0,-0.00792916572372567
ETC,0.425844928881438,0.376586531317172,0,0,0,0,0,0.0297535849240769,0.14883783391947,0,0.302872475483741,0.0668579996425771,0.150382264605554,0,0,0,0,-0.154597750267679
XEM,0,-0.278269599258629,0,-6.93889390390723e-18,-0.439098791129229,0.727379186536737,-8.67361737988404e-19,0,0.304335708807065,-0.125460275160828,0.339450291576194,0.0828843160018135,-0.215483279631447,0,-0.745428240172308,0,0,0.42683631368899
ZEC,0.44814517441595,0.0239172324387153,0,0.2660244400938,0,0.0241388098291062,0,-0.0435862735400356,0,0,0.202397753985056,-0.231452413217057,0.148148108280922,0,0,0,0,-0.0251579479802109
DOGE,0,0,0.267852556542373,0.0315481427692524,0.0779894477762629,0,0.0260174335886799,0,0,0,0.244057723484864,0,0.0550786826916928,0,-0.141247026762312,0,0,0
XLM,0,0.0243152193179194,-0.168836320338987,0,0,0.124734234844174,0.149582244962567,0.062887056105035,0.0674191478046799,0.287786022379919,0,0.0650825249687325,-0.0362011144768165,-0.363751151694034,0,0,0,-0.00241866476769342
NEO,0,-0.0314689638849996,0.578487173635133,-0.185746571727598,0.241222050769555,-0.42335425339025,0.0779519951827782,0.204413128896191,-0.160604529675724,0,0.729071797666819,0,0.117031362231563,0,0,0,0,-0.340413841979281
DGB,1.17365914845439,0,0,-0.834719937878109,-0.224617970863202,0,0.187463460758706,0,0.0260372518044835,0,0,0.181939890556649,0,0,0,0,0,0
BV010082.Index,-0.186465715296636,0,0,-0.0194631946158089,0.126411658509211,0.0195543608736848,-0.00637821635412067,-0.0293600127881024,-5.42101086242752e-20,0.11800678983687,0.0824644656747553,0.00100669064421865,-0.0306700381751876,0,0,0,0,0
CVIX.Index,0.133569442990968,0.171995329468592,0,0,0,0,0,-0.170966432316293,-0.0172630759187363,8.67361737988404e-19,-0.0871754039941333,-0.0422407437252666,0,0,0,0,0,0.0257137272113288
DXY.Curncy,0,0.0220906164017321,-0.0657959256514136,0.020793985935674,0,0.00346273542033694,0,-0.00315899913927603,0,0,0,0.00473457945266348,-0.00174895799213996,0.194661179098257,0.0286900583468953,0,0,-0.0133000490812305
SPX.Index,0,0,-0.0128565342172223,0,-0.00935691439674475,0.00994322769782606,-0.00593056737775908,0.00364983860322497,-0.00283295499895586,0,0,0.00796762419819794,0,0.0506220746207982,0,0,0,-0.0605956533267297
VIX.Index,0,-0.299787006870197,0.42957567241493,0.16163876844373,0.170635955266379,0.246987222878208,-0.461713385742084,-0.27612130912756,-0.0572574096734494,-0.214438122750113,0.160471582008906,0.14565469661459,-4.33680868994202e-19,0.429549974747235,0.126245355931245,0,-2.72098391327395,0
