,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0546571758727564,0.443216173787502,0.149087837807914,0,0,0,0,0.137940810750187,0.0814618331315094,0,-0.364581253382345,0,0,-0.141399011422839
LTC,0.501153427528178,0,0,-0.0418078428803929,0.715970948869359,-0.193604023953284,0.203813404892129,-0.209513917770371,0,0.0377789913670698,0,0,0,0,-0.0509893135101017
XRP,0.559693589216839,-0.33207737551065,0,-0.0772077055143244,1.09139816632728,-0.227589016022063,0.202769944712192,-0.170542502367443,-0.0209806127815901,0,0.106696301791733,-0.120417609582188,0,0,-0.219541989314251
ETH,0.233383990145725,-0.362112592783396,1.2710510533076,0,-0.456891315324921,0.688511924198876,-0.49546898193494,0,-0.113287139939218,-0.0862982201335989,1.91920781302805,0.698299934393538,5.36641595596388,0,0.076778630547284
DOGE,0,0.368495820471117,0,0,0,0.205589613291517,0,0.130089556984328,0.108355562454749,0.00723806723159475,0,0,0,0,-0.0393840874492634
DASH,0,0.538080997876193,0,0.0380315889279239,0.225209946517637,0,-0.276661002459657,0,0.0303322095202926,0.0310634148161715,0,0.091298229384163,0,0,-0.0891207884130645
XLM,0.0982600985431983,0.260401003333074,-0.149562234310785,0.133028447252934,-0.408223226790044,0.000277224990282925,0,0.0932246437262864,0.137713739266118,0,0,0,0,0,-0.228743064061936
XMR,0.179166849435679,0,0.0159945044732557,-0.194056151899462,0,0.688276729864342,0.205727986767072,0,-0.0946323206403973,-0.073340539919919,0,-0.369153346519269,0,0,-0.474368089340667
XEM,-0.401126467648277,1.35014398198363,-0.320147888405504,-0.0977485190476338,0,0.624409257598323,0,0.666968453838222,0,0.0606916403801658,-3.46944695195361e-18,0,0,-4.10631820750235,0.230211543773087
DGB,-1.73208195376894,0,0.50455876806171,0.722565199364511,0.970352103478106,-1.08851061460902,0.873435773513131,0,0.899049789640315,0,0,1.75762688695839,0,0,-0.064862382355605
BV010082.Index,-0.0945379789251213,0,0.151345369174001,-0.0216908227571199,0.0184637750864355,0.0753499676926429,0,0.0378859994947946,0.0313254854527933,-0.03175355862785,0,0,0.617436497243011,0,0.0457107020093235
CVIX.Index,0.0799995086854467,0,-0.0847756629764971,0,0,0.00560766257676968,-0.475712506099973,-0.176220936299852,0.127867470341345,0.00487296492471067,0.14497243567979,0,0,0.266045617381718,0
DXY.Curncy,0,0.00756050834878825,-0.0481420037121025,0.0113406266252154,0,-0.00276972676033913,-0.0192449540132086,0.0432766443027896,0.0130074891995587,-0.0128979465694775,0.097686181456627,0,0,0,-0.031547414942809
SPX.Index,-0.036130535263331,0.0357158259734532,0.0290866315899977,-0.0156120705327594,-0.0812208405366796,0.039811101356374,0.0417775801139384,0.0232922470610195,-0.0127671806272677,0.00657373685303931,0,0.0326528023075833,0,0,-0.0893112116487741
VIX.Index,-0.10883190274355,-4.33680868994202e-19,-0.152092637568613,0.0985842090153771,-0.079780121239692,0,0,-0.139662267997511,0.0993178718870403,0.133922164504684,0,-0.45328284207579,0,-3.99418286826836,0
