,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.143103217983925,0,0.343112165153059,0.135904050720769,0.205287044368796,0.067423139313584,0,0,0.0510125879615635,-0.0741292927418256,-0.000378385027885166,-0.0341652565232662,0,0,0,0,0,0
ETH,0,0,0,0.163919051520599,0,0.133109191001019,0.0391896221201217,0.260747536663924,0.080469199754777,0.223396358070617,-0.0216172990465823,0,-0.0036048969271706,0,0.125181064848724,0,-0.222718660539418,0,0,0.0370349669566766
BCH,0,0,0,0.268908486046052,-0.561132008531444,0.932645952791139,-0.165438436432349,-0.574156480075348,0.222171989654124,0.628108971307463,-0.063746279379469,0.758262564188678,-1.27038758515818,0.418354285644403,-1.73472347597681e-18,0,0,0,0,-0.120137308789111
XRP,0,0.531669732466157,0.0609351547455662,0,-0.050535639301543,0,0,-0.118349869831623,0.0899402956014424,0,0.0661447214586728,-0.00048808109729742,0.222091040937768,0,0,0,0,0,0,0
LTC,0.232598840621832,0,0.100585332109584,0.0211540988498376,0,-0.0884590888254693,-0.205323520083083,0.129030912848672,0.0295663490296682,0.218874303089638,0.0433349860896532,0,0.0750271183482917,0.0515862023516669,0,0,0,0,0,0
XEM,0,0.0914189640025696,0,0.207175014887008,0,0,0.50267153293928,0,-0.189448687137285,0,0.0719827309976957,-0.0971690247915065,0.270486807943662,0,0.0398195225824337,0,0.136993215822059,0,0,0.113946917728158
DASH,0.324634781625363,0,0.0355180438464879,0,-0.168032445172225,0.0984935158681156,0,0.125570927849384,0.0697175898665167,0,0,0.320162701214055,0,0.12884328852173,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0926721469799808,0,0,0,0,0.133798632408291,0.695334510717616,0.05751393755397,0.199844764977515,0.0622422607783415,0,0,0,0,0
XMR,0,0,0.0795791215451515,0.147929628140045,0,0,0.238942000704236,0.120599165085625,0,0,0.0549298468291963,0,0.18044642358892,0,0,0,0,0,0,0
ETC,0.0569831302570787,0.323919265872796,-0.00183670800741192,0,0.321377615430825,0,0.115420681306291,0,0.00657106508594242,0,0.00438306688657564,0,-0.0930419422718359,0.0475080780011167,0.0157202839120952,0,0,0,0,0
NEO,0,-0.315695600355788,0,0.157954334629924,0,0.156219966941637,-0.00197713873046272,0.242288651570978,0.0141899931971384,0.111633805626675,0,0,0,0.52988043090678,-0.0946933823323658,0,0,0,0,-0.350795854287237
ZEC,0,0.0599868480120985,0,0,0,0,0,0.236629756565444,0.145605292665857,0,-0.0308688704919468,0,0.0764291498772932,0,0.0965175686579017,0,0,0,0,0
XLM,0,0.202827652131676,-0.00866992150329307,0,0,0.191865578293107,-0.210957952662336,0.096589811107266,0.477691120950634,0,-0.0100830265877919,0.0440141543592298,0,0.0950806406003169,0.187314068783039,0,0,0,0,0
EOS,0,0,0.050204606876962,0.207242793108497,0,0,0,0.108726936662294,0.156355936941648,0.319522582983402,0.230934362552316,0.324079958194632,0.0353457936095494,0,0.0468242554191033,0,0,0,0,0.156095964737123
BAT,0,0.120461592474034,0,0,0,0.125646777253333,0,0.0310990993479885,0,0,0.144109570676718,0.216159019283511,0.286838683864048,0.0974750514235279,0,0,0,0,0,-0.181070868469949
BV010082.Index,-0.0573752392641709,0.03871213638593,-0.0330914203883896,0,0.0258707882307928,0,0,-0.00145293257075523,0.0239218229469261,0.0128549682514455,-0.0338267722176088,0.0278144909703747,-0.0884601296628759,-0.00335255613768827,0.0469950202308972,0,0,0,0,-0.0576525641183141
CVIX.Index,0.0500144011412526,-0.100616185860118,-0.0281868322517033,0.137348579134535,0.116926471249882,0.0372334484592161,0,0.0444031141737522,0.0111445302773636,0,0.0122158677159966,-0.0627109431615901,-0.0747895562861426,-0.0610926118422389,0.00979285966236906,0,0,0,0,0.0855583640773946
DXY.Curncy,0.000791376574844622,0,0.0015183589255381,-0.00128738971786769,0.0104824707801082,0,0,0.00791299886082419,0.0133345878236291,-1.0842021724855e-19,0,-0.0198844882926792,-0.0087560205164053,0,0.00476963885606044,0,0,0,0,-0.00057050328676532
SPX.Index,0.00752316068669626,0.00439971273984328,0.00321713095706318,0,0,0,-0.0209713882893886,0.00726452468102771,-0.0042583435427911,-0.00649136056305759,0.000501270041235983,0,0.0024045357163508,0.00416229925592002,0,0,0,0,0,-0.0544621483101642
VIX.Index,0,0,0.0865038362466679,0,-0.073392029401617,0.34960839995399,-0.263493786799452,0.221521614483105,0,0,-0.165339812341176,0,0,-0.33407730831352,0.130702411223811,0,2.12686810067094,0,0,0
