,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.145910796548231,0.0473253866621622,0.306874250455751,0.335762532370954,0,0,0,0.0524461479235827,-0.0254207344646444,0.0583872976102947,0.05728824844464,0,0,0,0,0
ETH,-0.0514774406046502,0,0.0855421708487102,0,0,0.156279806679727,0.12821566622413,0,0.252743715580994,0,-0.0668022142429756,0.062561203299148,0.114572313012496,-0.0972907635022366,0.127105021323306,0,0,0.127572501500618
DASH,0.40321681412205,0.101552289059884,0,0,0.116986644214171,0.35615145249764,0.308053901361586,-0.0942650809165623,0.208555493299424,0,0.219621921723634,0,0,0.165421323667521,0.29678038533237,0,0,0.0309634583590245
XRP,0.173011895351127,0,0,0,0,-0.0976811990355152,-0.0867318563418925,0.064366552019222,0.026817493865497,0.461576938017481,0.0277069030882345,-0.0820388627768626,0.0423946456643749,0.415179208041339,0,0,0,0.0995870463406991
LTC,0.406203276551623,-0.072090784003725,-0.048127548629096,0.150943786888202,0,0,0.216310192289437,0.159584748227599,0,0.0882854739874237,0.161033439930702,0.051842085136988,-0.0216977819047229,0,0,0,0,0.0796035746253906
XMR,0.29954554202176,0.884703149525787,-0.165775014357685,-0.169008773185756,0.462945153076847,0,0,0.258572654873381,-0.00860803273859296,0,0,-0.039464841882296,0,0,0,0,0,-0.135043568485283
ETC,0.174121435899132,0.430346302058236,0.213925086668687,-0.14786558729467,0.693279097030863,0,0,-0.00222571749521402,0.0436975765775503,0,0.0859072968189519,0.23605751117129,0.0648101010953154,0,-0.129711996874023,0,0,0.0594909717792863
XEM,0,0.146713352925169,2.16840434497101e-19,0.046284838761973,0,0,0,0,0.242180640633401,-0.257185842695174,0.0924890498376512,0.32491049564868,-0.269228889422644,0.744650434719072,0,0,0,0
ZEC,0.192207319812594,0.478071876242767,0.28463487550803,-0.167947175226329,0,-0.272570907785341,0.0990339914650767,-0.0742075635862139,0,0.425144654614767,0,0,0,0,0,0,0,0.0681896387251844
DOGE,0.308145404463848,0,-0.0297514044027969,0.351916542666213,-0.099294836825816,-6.93889390390723e-18,0,0,0.236298361107466,0,0,-0.0566940518737285,0.0586882408881662,0.000600033214334994,-0.0455602903798931,0,0,0.0536741281788753
XLM,0,0,-0.120448261824081,0,0.404136223326302,0.154613320768991,0,0,-0.08583929914085,0,0,0.0975061185099682,0,-0.0639223793710099,0,0,0,-0.0755128654391565
NEO,0,-0.557370780024763,-0.0394459839994949,0.0756079885715429,0.32059653390206,0,0.243340311423052,-0.0844407158897566,0.479176172115302,-0.440919735318251,0.0125479349506219,0,0.254611112663526,0,0,0,0,0
DGB,0.437223377651693,0,0,0.256150589106273,-1.30747849964413,0,0.273714867471023,0.169348342968318,0.0472714094809568,0.766732056417121,0.136486463838962,0.387498114989166,0,-1.3236904231299,-0.507324277188619,0,0,-0.184273482277318
BV010082.Index,0,0.097695933096324,0.0544645594767424,0.0088074968016795,-0.0547473741123062,0,0.00658861336840892,-0.0654422287933759,0.080258041965844,0,0.0507833855520536,0,0,0,0,0,0,0
CVIX.Index,0.0498955401393551,0.268165171198627,0.14486520529133,1.38777878078145e-17,0,-0.0559792459053087,-0.045159062870473,-0.108915640065579,-0.24126717627551,0.179508932644043,0,-0.133621467547009,0,0,0,0,0,0.105939565283947
DXY.Curncy,0,0.00810694565573178,0,-0.0441460999724532,0.0442067532629349,0,0,-0.0143682552766948,-0.00560673223348806,0,0.00187526648958757,-0.000577212426386172,0,0.213648102267176,0.0462526392627348,0,0,-0.0330106706340587
SPX.Index,0,0.0603659657077137,0.00155646396797999,-0.0331054783925581,0.00584632064809843,-0.0162942739838869,-0.0425529361638008,0.0045030938628952,0,0,0.0335303741408231,0.000953061517660115,0,0,-0.0203568018376647,0,0,-0.0161961889111932
VIX.Index,0,0.466889630652079,0.351987723730317,0,0.3993346847516,-0.237932125804648,-0.680948112865221,-0.105770668759053,-0.401101933695998,0.162683451292947,0.320457791181405,-0.0223055939053447,-0.105150987350883,-0.209855518180172,0,0,-3.76890385272297,0
