,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,DASH,MIOTA,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.10372136899612,0.172676388282293,0.017548761218481,0.022584816416939,0,0,0,0,-0.00178771685474822,0.438789551540358,0.120553182900917,0,-0.0259304768501655,0,0,0,0,0.119962099320671
ETH,0.312984508844705,0,0.288763983998119,0.0192200031049473,0,0,0,0.00722099961004779,0,0,0.0815590668461791,0.131032615486035,0.0548269213024279,0,0,0,-0.142122643015365,0,0,0.0204032519611793
XRP,0,0,0,0,0.152490033980605,0.087732724324377,0.00807293938037705,0.014463472173587,0,0.217832923251943,0,0.181467588139995,0.0799949809663772,0.245319860510716,0.0186632301774857,0,-0.0100110410826018,0,0,0.0192057125262638
BCH,0.415412192769596,0,0,0,0.220090971337432,0.16149502228052,0,0.0851048909710522,0,0.00283620187509744,0.167190133356506,0,0,-0.120850470859487,0.0279483910377485,0,-0.0671306511931656,0,0,0
LTC,0.192011297850449,0,0,0.114234452740109,0,0.256937226836086,0,0.0456387430140299,0,0,0.231749918533523,0.131733028144069,0,0,0,0,0,0,0,0
EOS,0.0314085041010446,0.435666471896733,0,0.199540540487257,0.380143434007439,0,0,-0.132801986424967,0,0,0,0,0,0.163876733476827,0.0296079132133274,0.601905761246964,0,0,0,0.119563836064718
BNB,-0.239029470315427,-0.249626581852913,-0.170763998388852,-0.110018487510345,0,-0.103839611043427,0,0,0,-0.00618800493092232,0.424440923028783,0.351600396302368,0.441594521440989,0.010648323563264,0,0,-0.100163107375948,0,0,0
BSV,0.221235198966841,0,-0.8732220865524,-0.683897163718402,0.197261830113011,0.147561566060588,0,0,0,0,0.71746167167113,-0.145552689219202,0.922698995438273,0.487885943261018,0.135780591782701,0,-0.563063617739628,0,0,0.137012374283779
XLM,-0.0143180340979185,0.204292063427374,0.471438883771966,0.13320235359644,0,0,-0.102762264364664,0.0189459043172893,0,0.0662572205817689,-0.000839903145321367,0,0.0683410433151796,0,0.0714009525174949,0,0,0,0,-0.00639552828992245
TRX,0,0,0.279974590094578,-0.000727886472331629,0.0968875557637077,0.390153510574119,0.0284965662149236,-0.0227012130465419,0.0686160630280572,0,-0.115059902988906,0.201416586416167,0,0.135542262069242,0.0153055007070993,0.127791706898402,0,0,0,0.11759700295996
ADA,0,0,0.0606180130605309,0.184004671115958,0.26307816067589,0,0,0,0.102267389294254,0.0879523742948965,0,0.137162454732923,0,0.0242179170952293,-1.73472347597681e-18,0,0,0,0,0
XMR,0.470385969693517,0.117867344918329,0.0712698509094009,-0.0962700618308096,0,0,0.0451116973201031,0.0330259536803745,0,0.155624887529079,0,0,0.404895519717584,0,-0.00504202298223634,0,-0.27439720951605,0,0,0
DASH,0.20405753417108,0,0.277793598719758,0.0241875048897252,0,0,0.160720212511433,0,0.154418566387766,0,0,0,0,0.0573032026011746,0.0440188233663989,0,0.123986375225236,0,0,0
MIOTA,0.0927680803552009,0,0,0,-0.0787726176804706,0.145247166671956,0.220416146494676,0.0630587652035735,0.0311528214915124,0.0196826877611161,0,0.447795860874476,0,0,0,0,0,0,0,-0.068329758970177
ATOM,0,0,0,0.34602537707395,0.344992830155709,0,0.441823031869153,0.207619317159826,1.14227845536669,0,-1.03736952490112,0.267385497542051,0,-0.269063212609908,0,0,1.4333993423615,0,0,-6.93889390390723e-18
BV010082.Index,0.309427737812203,-0.0391611410047613,0.0962792993149843,0,-0.184675723361228,0.170005410803317,0,-0.00321129081294435,0,-0.357651909623873,0,0,0.0278682846456532,0,0.0676420817682717,0,-0.1510172020827,0,0,-0.0119890160919269
CVIX.Index,0.556781226181545,0,0,-0.427556632756591,0.680888392680556,-0.38237649682403,-0.255900217698413,0.0145610104460216,0,0.121218698379628,3.46944695195361e-18,-0.976436871789656,0.580775146575867,0,0.0334560205096684,-0.121528160063766,0,0,0,0.162083434700423
DXY.Curncy,0.0139372524445096,0.0241364690033066,0.0094758088405878,0,0,0.0121356934418492,0,0.00226503423116827,0,-0.0313530353860451,0.00142348605301131,-0.0227893924481467,-0.0137257618413562,0.0122261822753615,0.00725719606687297,0.0140517630726103,-0.00828312219499079,0,0,0.00446932996041798
SPX.Index,-0.00340775312637136,-2.52078082398891e-05,-0.0225736894321314,0,0,0.0299794388836882,0,-0.00595430725538572,-0.0165305334665166,0,-0.00756866309747012,-0.0152191077888986,0,0.0126988191852522,-0.00899854926207216,0.0337418344784019,0,0,0,-0.0579317135846417
VIX.Index,0,-0.0266482947372123,0.364388491881633,-0.164751688227981,0,0,0,0,-0.306313944276213,0.378192227404911,0,-0.681634201933499,0.181536091230158,0.0571831848363954,0.0956262660354502,0,0.345543263435031,0,-5.60621391708965,0
