,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,INNBCL,XTZ,LINK,LEO,XLM,XMR,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.495023462712357,0.0128529824830006,0,0.144688938308214,0,0.00123050255788045,0.086004527928018,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.118138970821984,0.151589498418564,1.73472347597681e-18,0.0100812809569714,0,0.250011819212332,0.00237095227851884,0.268815226666853,0.0144702842718534,0,0,0.190106825783556,0.0233507120488281,0.051732534892699,0.0176622904720278,0,0,0.0124290956559747
XRP,0,0.118110285670023,0,0,0.0307802202536993,0,0.208051327444913,0,-0.00107294596539325,0,0.0710380935420857,0,0.152345393329497,0,0.256587502345474,0,-0.0299283964501394,0,0,0.0176848715484569
BCH,0.276804180664271,0.217472120804537,0.0177589096297225,0,0.241259567943366,0.239921807610318,0,0.0332623440681918,-0.000852352616425934,0.047285834828661,0,0,0,0,0,0,0,0,0,0.0456449834807736
BSV,0,0,0,0.526083199884412,0,0,0.406126664774372,0.198239954302995,-0.00179714938930736,0,0,0,0,0,0,0.0218276727583437,0.0761096055107298,0,0,-0.104738482337305
LTC,0,0,0.0747627929772163,0.146889212776068,0.101803534413335,0,0,0.345791511806026,0.0034847786029572,2.77555756156289e-17,0,0,0,0,0.256165582067775,0,0,0,0,-0.0114752529195546
BNB,0.0972384270255368,0.223902141963933,0,0.423527166368113,0.0472609172482871,0,0,0,-0.00465179187177735,0.129189427621366,0.00807199584703958,0,0,0.00567751494474137,0,-0.131614528601931,-0.0137341670750496,0,0,0.0042811573294266
EOS,0,0.0147321006163684,0,0.701695372170624,0.0120739950939107,0,0,0,0.00885102316312609,0,0,0,0,0,0.238687969774485,0,0,0,0,-0.037604052302856
INNBCL,7.81785563847037,20.846011032451,0,0,0,0,-27.0725686835538,-13.5154319626983,0,-4.34985751979733,4.49325378245646,0,21.7434922570174,-9.82791032799792,0,-12.51419552561,-0.704478277881298,0,7.2911056606628,-1.38851770797809
XTZ,0,0.0238523097525605,0,0,0.188346298008385,0,0.295411905807013,0,-0.000180946170884044,0,0.466222276894324,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0.063236667752019,0,0.564185411568877,0,-0.00331803135204045,0.416207276911414,0,0,0,0,0,0,0,0,0,0.0326169817152058
LEO,0,0,0,-0.153381778700614,0.123478807199115,-0.235312146436453,0.0553216552055935,0.0676121991361615,0,0.164841246111011,8.67361737988404e-19,0,0,-0.0961542567702063,0,-0.0191043337943384,-0.0102472897401541,0,0,-0.050937558241491
XLM,0,0,0.359245761076928,0.308540682203973,0.057186379257176,0,0,0,-0.00306488722782677,0,0,0,0,0.101860508867538,0,-0.018843870725325,0.0359944818989575,0,0,-0.0234303814233414
XMR,0.288749508559879,0,0,0,-0.0455277741929762,0,0,0.244480593810873,-0.00457351393466416,0,0.080903975535577,0,0.329606226680056,0,0.103349731980613,-0.0515869170519223,-0.0331119556985575,0,0,0.0288655637921249
ADA,0,0,0,0,0,0.491700679112421,0.0873813205570697,0.179731976890146,-0.00188379360338202,0.200679542703043,0.00216199244181607,0,0,0.029512305863954,0,0,-0.00100706298890069,0,0,0
BV010082.Index,0,0.682056297637958,0,0,0.543169237491225,0.0195862796025949,-0.446057663035488,-1.57570918207849,-0.0149887136459495,-0.962076693541393,0.491587273028314,6.93889390390723e-18,1.29705525953513,0,0,0,0,0,-1.73472347597681e-18,-0.0793426495406755
CVIX.Index,0,0,0,0,0,0.158235385244419,0,0,-0.00599827655942628,0.555777751124265,0,0,0,-0.776963345954018,0,0.404323745816891,0,0,-0.975671960445308,0.266221496341324
DXY.Curncy,0.0244366186320809,0,-0.180535704922347,0,0,0,0.0500438668394499,0,-1.35525271560688e-20,0.0624001271581658,-0.044037934184639,0,0.0731263962758312,0,0,0.0240421373408021,-0.010463254227305,0,-0.0252653327248763,-0.0150448440381124
SPX.Index,0,0,0,-0.134152556521557,-0.105488029615239,0.100467444232222,0,0,0.00153288571666093,0,0.203616885674949,0,0,-0.0839458066638159,0,0.277701694590647,-0.0286091608078749,0,0,-0.197127357538546
VIX.Index,0,0,1.38777878078145e-17,0,0,0,-0.62334716915267,-0.625210663766763,0.0171524310251153,0.85089435353155,-0.0685206722470905,0,0.183696172317874,-0.0289664995658706,0,0.229644924713883,0,0,-1.6480378364366,0
