,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.04635052484725,0,-0.10588177594039,0.152861374524693,0.0586971515282867,0.0883389089160257,0,0.0159928825268635,0.0378078703434114,0.0262963034533011,0,0,0,0,0,-0.111982808151466
ETH,0.227126261416257,0,-0.062855336572084,0.106195701317202,-0.120645699951798,0.060639602720554,-0.0447090849693189,0.142727973285095,-0.174171252145615,0,0.137900041084903,0,0.0415662045220874,0.216054603529673,0,0,0,0.13599876303655
XRP,0,-0.251462746567148,0,-0.239076886252863,0,-0.119190060674609,0.483310069475729,0.215899804446547,0,0.284221363145311,-0.0414783103490082,-0.0635516018556556,0,0,0,0,0,0.00615382658309619
ETC,0,0.369907850541243,-0.112023679179482,0,0,0.0856151026775751,0.174000159243665,0,0,0.0173014447803608,0,-0.0255263783612739,0.0661976892266743,0,0,0,0,0
XEM,0,-0.189297462043945,0.02480193698557,-0.447677802763272,0,0,0,0.110620880948385,0.195400383212696,0.0390925769116726,0.099113772444958,-0.018927676833341,0.420859815021573,0,0,0,0,-0.19941897352914
LTC,0.49007482078808,-0.0280908722857453,-1.73472347597681e-18,-0.0327266300851747,0.16433815410416,0,0.276625377554445,0.172621981596263,-0.138712112944426,8.67361737988404e-19,0.140511757177848,0,0.245164685167849,0,0,0,0,0.0914636848006064
DASH,0.322484149477358,0,0.072155172536684,0.108182350382276,0,0,0,0.219672062905628,0.194499031421449,0.0840566131857245,0.0762364761606491,-0.0940168328688726,-0.00493023399747375,0,0,0,0,0
XMR,0,0.130433224316669,-0.0774780197759665,-0.384499293029502,0.143020768651697,0.0961605501599,0.431921256507749,0,0.10588803852715,0.10867216481804,-0.135248200990147,0.0329356558942294,0,0,0,0,0,0
ZEC,0,0.0496587758810097,0.0853720815119344,0,0.0461983427257954,0,0.174497683975185,0.0110992414792911,0,-0.0884034557182871,0.226555379378365,-0.0136863730940944,0.0487533742755609,0,0,0,0,0
XLM,-0.338889996322248,-0.276249833663603,0.264272274136899,0,-0.0512620102051933,-0.71055225000949,0.545789854439789,0.732240952729771,-0.430822751783537,0,0.200143510651847,-0.0606458434409379,0.324719545142292,0,0,0,0,0.105431841784407
DOGE,0,0,0,0.158830454157937,0.313288445114642,0.090165686524329,0,0,0.193611025016366,0.172687559110426,0,0.0467027584046559,0.0904634636876929,0,0,0,0,0
DGB,0,-0.841891043825808,0.468802376047831,0,0,0,0,0.389765141659911,-0.149983950606853,-0.362054642483582,0.509342490737115,0,0.144728125509823,0,0,0,0,-0.169181428420042
NEO,-5.55111512312578e-17,0.506216787117724,0.358982814463821,0.464920312723318,0.161629775126568,0.638713608261986,0.155845207129625,0,0.295014224678339,-0.148801391062844,-0.132109930802079,0.0186086160749046,0,2.68373708640402,0.163281486553704,0,0,0
BV010082.Index,0,0,0.0229060691646416,0.0818018778777819,-0.0422643551885595,0.0106760584639544,-0.095877316720252,0.0160173935065039,0.0787203118285453,0.0441273731155629,-0.0219171745629695,0,0,0,0.0948011867979249,0,0,0
CVIX.Index,0,0,0,-0.325789711935387,-0.467092495050877,0,0.117747107416506,0.0938527125238241,0.116908222673032,0.00474765018020419,0.0229870053375743,0.0323234911728404,0.157971788101861,0,0,0,0,0
DXY.Curncy,0,0.0223682506713588,0.00728108848302749,0.0101912899351215,-0.0170327834143869,-0.00595199536611211,0,0.00664048539291931,0,0.00568785789005658,-0.00331337118933097,-0.00225398693940674,-0.00607534462325192,0,-0.013788639990479,0,0,0.00516554719232886
SPX.Index,0,0.0105505380582525,0.000668467411739039,0.000687336717763552,-0.00682806897818187,0,0,0.00573754718021851,-0.0160407412347241,0.00478775434097698,0,0.00383293731827284,0,0,0,0,0,-0.0328243259024489
VIX.Index,-0.605152133318695,0,0,0.36074826926799,-0.235587240314007,0,0.21299949412868,-0.112887793836983,6.93889390390723e-18,0.220950385040746,-0.0343500757756412,-0.0456150603093222,-0.0342860898747754,-3.29132611698293,-0.694291483694775,0,0,0
