,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.134700016065427,0,0.0457587434972198,0.00881671416504663,0,0,0,0.0517021889767716,0.0873693446976438,0,0.151254773430417,0.114589965667596,0.08027072434361,0.0324551892598949,0,-0.151923870432049,0,0,0
ETH,0,0,0.373043201742305,0.131321042396457,0.0110512147056141,0,0,0.159007899935012,0.112112364590451,0,0.0142579032921889,0.0302853793750038,0,0.129082444933053,0,0,0,0,0,0
XRP,0,0.213073103193529,0,0.17434029778002,-0.00127072092035978,0.202103125644813,0,0,0.0199849909944387,0.150730125494365,0,-0.134779987038676,0,-0.0489793483863479,0.184914623748695,0,0,0,0,0.0567575033314237
BCH,0,0.324867387643082,0,0,0.204839025864954,0.0770388716618751,0,0.276232638057588,0,-0.0941654600006115,0,0,0.15744982145012,0.0602677943290161,0,0,0,0,0,0
EOS,0,0.664529958552237,-1.33448274273418,0.10234646078304,0,0.223643787891339,-0.036546471226534,0.26968485474364,-1.73472347597681e-18,0.385705882584294,0.464988704547432,0,0,0.116827711084298,0.239664499714394,0,0,0,0,0.0099169309141064
LTC,0,0,0.136019587846322,0.0553949151994594,0.134579039028772,0,0,0.156391129858035,0,0,0,0,0,0.144112594351395,0.208917874597408,0,0,0,0,0
XLM,0,0,0,0.0860819510357029,0.127303570908619,0,0,0.444393241760698,0,0.0663939655389447,0,0,0.199559029358802,-0.0344527330970444,0,0,-0.0207525405876549,0,0,-0.0198916979607007
ADA,0,-1.38777878078145e-17,0,0.269383636939513,0.0570148698872604,0,0.0803120577629362,0,0,0.230020223643284,0.149196589057525,0.01296656722534,0,0.00986221982333428,0.149424626778361,0,0,0,0,0.0501399211645776
MIOTA,0.000636090294902386,-0.0951626074710828,0,-0.138676153530636,0.142446750079677,0.216206581810522,0.238726524991753,0,0,0.0569831842855346,0.594336012237302,0,0,0.0547700032897052,0,-0.266585629733912,0,0,0,0.0819284602521733
TRX,0,0.269724355558532,0.214611908582158,0.313548826353091,0,0,0,0,0,0,0,0.252538888547032,0,0,0,0,0,0,0,0.0236439006870638
NEO,0,0,0,0,0.038221458861939,0,0,0,0.497159831151645,0,0,0,0.0528230524138443,-0.0939014879472688,0.429149933459056,0,0,0,0,0.068813334690964
XMR,0.415922763348353,0,0,0,0,0,0,0.14579574916519,0,0.121459208981461,0.201836979434532,0,0,0.119698711765944,0.213771135473426,0,-0.116830412429562,0,0,-0.0511259135314395
DASH,0.121837085790293,0,0,0.143925724705577,0.011870604805115,0,0.0248811952731453,0,0,0,0.178020823491442,0,0,0,0.238923476749355,0,0,0,0,-0.0540267113223594
ETC,1.17576131411919,0,0,0.134504347326252,0,0,-0.0231882526342219,0,0.140695159009402,0,0,0,-0.0867175395548304,0,0,-0.174077699650789,0.33067090627668,0,0,-0.0974752328566143
XEM,0,0,0,0,0.166258109456976,0,0.359076203658686,0.100691206156775,-0.0487248515324842,0.00316286459513465,0.172739457962316,0,0,0.258211381673771,0,0,0,0,0,0
BV010082.Index,0,0,-0.0923739739233891,0,-0.137281996828161,-0.00178019186467659,0,-0.0673335371202911,-0.124963727914139,0.147629800505171,0,0.212623574394668,0.0203501455595445,0,0.0603445143106725,0,0,0,0,-0.22999345627871
CVIX.Index,0,0,0.436638066064938,0.113785427896572,-0.0656054405176781,0,0,-0.112765851645763,0,0,0.0542372071197022,0,-0.240445697597609,0.0962285047280292,-0.0326349689613505,0.338794083154762,0,0,0,0.17365553289953
DXY.Curncy,0,0,0,-0.0115473134584214,0.012240495208327,0,0.042557711487536,-0.0696863632055323,-0.00559932262804244,0.0319538205269941,-0.0063359684947784,0,0,0.0249644393629537,-0.0183882973101298,0,0.0294482621620385,0,0,0.00906135095808746
SPX.Index,0,0,0,0.0107512863868916,0,-0.0196062221414422,0,0,-0.0239362952350304,0.0131710986976865,0.00388301328470417,0.00317168859714792,0,0.0145907644272142,0,0,0,0,0,-0.0636090855284122
VIX.Index,0,0,0.151914830175017,0,-0.381997933476315,0.105319615945605,-0.0265119662625473,6.93889390390723e-18,-0.195386921173908,0.106525675031456,0,0.0284362827966956,0,-0.242349565074374,0.490857892627351,0,0,0,-4.07810735869553,0
