,BTC,XRP,ETH,BCH,ADA,XEM,LTC,TRX,XLM,MIOTA,DASH,EOS,XMR,NEO,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0844077141700529,0,-0.118521247644786,0,-0.0196080757275688,0.0374453079773962,-0.0477339331177393,0.13177742063449,2.16840434497101e-19,0.100463944198877,0.163837585323816,0.209698903505029,0.000658747079851391,0,0,0,0,0,0
XRP,-0.0695886859042279,0,0.518196285751839,0.0999422275894553,0.07788094446387,0.0498477425030948,-0.0480634794090489,0,0,-0.105081829725802,-0.176284501666917,0.188375896040403,0.296132785074447,0,0,0,0,0,0,0
ETH,-0.197777820592326,0,0,0.00614653190396257,0.0231385392366006,0.00802648860376532,0.175204352211722,0.0971029657628264,-0.0225577248392466,0.0718343095680916,0.0575571824302714,0.0471542696454075,0,0.180737805461561,0.0825709098308461,0,0,0,0,0
BCH,0,-0.0850916038061787,0,0,0,-8.67361737988404e-19,0,0.01677738465106,0,0,0.19247315049656,0,0.166496570526934,0.151395476262441,0.202869349255552,0,0,0,0,0
ADA,0.147258672329645,0.200898836574062,0.254419154662023,0,0,0.165566599835378,0,0.0167293112293219,0.325077059481415,-0.0903507198167108,-0.0658994037391751,0,0,0.132659072349065,0.155096753091053,0,0,0,0,0.107942139312446
XEM,0,0.203243313097915,0,0,0.0201471607655848,0,0,-0.0252307872410147,0,0.105332935819793,0.136686374740488,0.154817322838842,0,0.121080147516116,0.00748534801208004,0,0,0,0,0
LTC,0.22478559607711,0.00605201075835635,0.213122870836294,0,0.00175079083587205,-1.0842021724855e-19,0,0,0,0.189069596562739,0,0,-0.0639548555309723,0,0,0,0,0,0,0
TRX,1.29532268779715,0.0508634757895047,0.836296904963962,0.0170069718855209,0.436166221197816,-0.825507290242815,-0.611367588274436,0,0,-0.151970228448531,0.180186192924673,0,0,-0.355482049707085,0,0,0,0,0,0
XLM,0,0.213333174295226,0.0628276717381107,-0.0468591131686478,0.311295623446146,0.00954895153631949,0.123709938196098,-0.192143324799687,0,0.0637413175202312,-0.14304449033553,0,0.351867533096683,0.0582167790531152,0,0,0,0,0,0
MIOTA,0.48087374995478,-0.150132321240288,0.152201687701857,-0.0115425434946135,0,0,-0.0939822585132027,-0.128445474653785,0.143123956910916,0,0.0590402732790675,0.349137597069863,0.35346093537227,0.0723514847444786,0,0,0,0,0,0
DASH,-0.0676380908547651,0.0470888390482599,0,0.168569466549337,0,0,0.201321005104467,0,0,0.0724266345797082,0,0.0215985346155004,0.121991370869561,0.065251301543002,0.0150075696539644,0,0,0,0,0
EOS,0.0641588148325575,-0.0604858337572663,0,-0.0345181254745273,0,0.0708319190523803,0.408010087523712,0.164959397540446,0.347790075324326,0,0,0,-0.307188564869109,0.0166684716043192,0.277436626941038,0,0,0,0,0
XMR,0.153275475446248,-0.0175601172765912,0,0.0859280663063272,0,-0.00109596433156075,0.183648940652291,0.103513078492863,0.186667838135259,0.0277978897520575,0,0.0115932276981131,0,0.153385956611733,3.46944695195361e-18,0,0,0,0,0
NEO,0.0590463235815093,0,0.72537050594163,0.0778313842845952,0.0140598350839493,0,-2.77555756156289e-17,0.0271972796859657,0.206862167231489,-0.0958034584009133,0.0942011221637353,0,0,0,-0.104648716289395,0,0,0,0,0
BTG,0,0.185324033097314,0,1.15474030597341,0,0,0.519668437641356,0.167902980307461,0,0.13560352600781,-0.561850742281463,-0.702915852475354,0,0.0996733414123294,0,0,0,0,0,0
BV010082.Index,-0.0234327615380124,-0.0171580793685644,0,-0.0351240356677866,-0.0069167809037869,0.00732637932628584,0.0121672098078817,0,0.0117384306900957,0.0130793759903116,0.0178607374208268,0.00504079953259564,0.012719281193413,0,0,0,0,0,0,0
CVIX.Index,-0.0091826670734001,0.0312585670789583,0.0490947519215457,0,0,0.033214139404578,-0.069075344696189,-0.017207570872957,0,0.00461455706401399,0,-0.00777132048693491,0.00345581748954673,-0.0466731471982846,-0.023098842750845,0,0,0,0,0.0251580620716059
DXY.Curncy,-0.0148372848681265,-0.0013843660245842,0,0,0,0,0.00472050452341507,0.0110421649771982,0,0.00105350482246705,-0.00101713278137207,0,0.0198868851461508,-0.0115817769039257,-0.00779058168674986,0,0,0,0,0.000999422812355667
SPX.Index,-1.0842021724855e-19,0.00226755750281276,0.0129804572660043,0.00104696257484403,0.00311310102585542,0.0016545890058455,0,0,-0.00450458665942625,0.00156226541002084,0,0,0.00157656434581775,0,0,0,0,0,0,-0.0258701259152042
VIX.Index,0.330272816947859,0.067382687831512,0.0562324295373755,-0.0642572741527146,0.0336320358791575,-0.0389406782037378,0.0438088352326689,-0.129476786137867,-0.129651234871202,0.043528170946933,0,0.263921358475581,-0.109699391787618,-0.171863813633888,-0.0206500531546126,0,0,0,0,0
