,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00530974701021359,-0.0845176009054542,0.0867835603134229,0.033504826155539,0,0.44734878959212,-0.193996802753108,0.114821591133735,0.00829329175337375,0,0.269878631764953,-0.242695443980586,0,-0.0248696534881047,0,0,0,0,-0.0348391137088368
ETH,0.0130560852571889,0,0,0.173258572021789,0.0154016510113397,0,0.157300376719097,0.401796141594081,0.0658867234627634,0,0.0372756041648309,0,0.0120727111077518,0,0.17055213002184,-0.0716339634260284,0,0,0,0
XRP,0,0.124379473972475,0,0,0.497371335262245,6.93889390390723e-18,0.431242881845366,0.387500564388471,0,0,0.22574804563207,0,-0.704778398292103,0,-1.73472347597681e-18,0,0,0,0,0
BCH,0,0.18096295019408,0,0,0.196247259942395,7.83505022967795e-05,0.14368311674639,0.228140130405346,0.0314727581639991,0,0,0.0615097664026442,0,0,0,0,0,0,0,0.0714322503335789
EOS,0.280673237566036,0,0.0245912018632729,0,0,0.0988163059204563,0,0.211810597664192,0.0704246355106901,0.133819609125404,0,0.17931968084791,0,0.139619803272014,0.0789956295731902,0,0,0,0,-0.163587111440634
XLM,0,0,0.102297821088487,0,0.19932007806294,0,0,0,0.167908523195539,0.200687586484296,0,0,0,0,0,0,0,0,0,0.0385004783272543
LTC,0.077088949060704,0.312612582803116,0,0.164011733863632,0,0,0,0,0,0.198771048167046,0.0524085082778818,0,0,0,0.0472198738476361,0,0,0,0,0
ADA,0,0,0.0735190366416998,0.159046497089915,-1.38777878078145e-17,0.126134556945131,0,0,0.181749690273322,0,0,0,0.284171794446722,0,0.20314620736017,0,0,0,0,0
XMR,0.189205340662507,0.141430183441082,0.0756403174260568,0.156807012867442,0.0860583363475185,0.045636727237918,0,0.0797038299837562,0,0.0900788978100934,0.0628541679894337,0,0.010266359279303,0,0.0313351645569139,0,0,0,0,0.0837867222862543
MIOTA,0.170662647596069,0,0.0723724279501252,0,0,0.244733383013732,0.0342551291547693,-0.352161962890601,0.0623470735220053,0,0,0.582658268161422,0,0.444296441659691,0,0,0,0,0,0
DASH,0,0.327175734875464,0,0,0,0,0,0,0.202379753073364,0,0,0,0.112695591060955,0.311733643885385,0,0,0,0,0,-0.00102821583561189
TRX,0.00371925445283693,0.248792081247432,0,0,0.0592825326560936,0,0,0.308182300097488,-0.0937846650690216,0,-0.0320877562229116,0,0,0.513815664104842,-0.00750990941455214,0,-0.251143825598085,0,0,8.67361737988404e-19
BNB,0,0.307671479730798,0,-0.0612136385760752,0,-0.0666400291572216,0,0.348911402777343,0,0,0.313843494374922,0.0789122745005107,0,0,-0.12736382477878,0,0,0,0,-0.0804217012335831
NEO,0,0.0579274662624296,0.11044492266283,0.194591523095932,0,-0.0528344816584271,0.0718969764625626,0.0738245028471914,0.0846813240227417,0.193384789510928,0.0672227431783681,0,0.362688346164242,0,0,0,0,0,0,0
ETC,0,0.255058584478064,0,0,0.167327047438742,0.168748660365572,0,0.0544426056986429,0.0308482276314841,0.394189072336994,-0.0942829115933333,0,0,-0.249551520110992,0,0,-0.328969261586882,0,0,0.18407308768
BV010082.Index,0,0,0.00327719573133792,0,-0.0718668023043858,-0.0565867541153023,-0.181782545237125,0,0.0149759919549056,0,0,0.105420745522486,0.157474829337918,0,0.00497223339784678,0,0,0,0,-0.0659382464828868
CVIX.Index,0,0,0.0619573019453184,-0.0321662858318443,0,0,-0.28104430045881,0.064341300808978,-0.153084876560315,0,-0.0411069815631033,0,0.521695633180897,0,0,0,0,0,0,0.117336925680121
DXY.Curncy,0,0.00666457803106627,-0.0163848037325698,0,0.0264664977516186,0,0,0,0.0110589294606648,0,0,-0.0413446906961129,0,0.0161500558135395,0.00890965975365078,0,0.152335565219701,0,0,-0.0292340113923087
SPX.Index,0,0,-0.00315297738481437,0,0.00627960132573545,-0.000559897038112155,-0.0064014191378342,0,0.00977406547354067,-0.0152812447690148,0,0,0,-2.71050543121376e-20,0,0,0,0,0,-0.0507443410838059
VIX.Index,0,0,-0.227321156444767,0.261088851515666,0,0,0,0.307480482803836,0,0.133250832307697,-0.175134737968138,0,0.259623023847431,-0.356390047516479,-0.240616604015103,-0.142612555491652,0.274713573732304,0,-4.61164614973227,0
