,BTC,ETH,BCH,XRP,LTC,MIOTA,XEM,DASH,NEO,XMR,ETC,ZEC,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.159879695533674,0.0996837892341826,0,0.0649127454983192,0.0340372254473125,0.228170936552143,0.0668239496002778,0,0,0,0.0596370373176205,-0.0236367895113068,0,0,0,0,0
ETH,0,0,-0.10564063557751,0.349848236824228,-0.0156241540919885,0.0768269946046063,0.184767904183903,0,0.0525051124003457,0,0.257313013145624,0.350083831909451,0.0311924578385566,-0.131964982828262,0,-0.45358194964102,0,0,0.188483633218075
BCH,0,-0.211657654360049,0,0.296355486213652,-1.01388195340514,-0.538791031126537,1.00961863294232,-0.351054665834534,0,0.267928627144132,0.706190731534124,1.21354671216628,0.103769479140245,-1.2413262078349,0,0,0,0,-0.342280852404913
XRP,0,0.235477803656908,0.130945064979732,0,0.143366796466659,-0.14638136409554,0,-0.120765373842102,0.0620071850007688,0.130610895842953,0.228518148214133,-0.053049104664089,0.0403468496353725,0.285525279703028,0,0,0,0,-0.125476118715085
LTC,0,0,0,0.0690897030094615,0,0.0686803153236272,0,-0.100934203260057,0.0351827630526606,0.070578379838991,0.227004644402965,0.066299527962244,0.000123683670210834,0.0368616424305136,0,0,0,0,0
MIOTA,0.411188345887949,-0.184197934035985,-0.0456487212201352,0,0.130823883039854,0,0.0372810018256889,0.400126590490728,-0.0264744448954341,0.0715542382153532,0,0.646506741259044,0,0.198282950874408,0,0,0,0,0
XEM,0.0443519444949596,0.2620471734134,0.0594145389291757,0,-0.16217336660316,0.0362980268488983,0,0,0.116604597818234,-0.159224661854759,0,-0.133560784131339,0.13251340345661,0.474811374179656,0,0,0,0,0
DASH,0.147968579360651,0.181109579855922,0,0,0,0.060475982993194,0.183902323609131,0,0.0740811459645314,0,0.103075792648127,0,0.0581106659321535,0,0,0,0,0,0.0483587707201247
NEO,0.119175681993412,0,-0.0335061359823502,0,0,0.121474350469795,0.344315094836902,-0.122356587475187,0,0.0064984814004808,0,0.194843920787192,0.0488652746899675,0.0619952248005881,0,0,0,0,-0.0829440541099497
XMR,0,0,0.0754031893977302,0.259293803854995,0,0.063064310183901,0.10927990099574,0.180413099070022,0.0357576667787424,0,0,0.184477920296657,0.050267923042003,0.0165407073672346,0,0,0,0,0
ETC,0.0815448541649694,0.293065443545913,0,0.0685452137060664,0.260323236302773,0.000456945925729611,0,0.0237871449685376,0,0.1410975054038,0,0,0,-0.0805672556671449,0,0,0,0,0
ZEC,0,0.0595727162640841,0.0241502715382564,0,0,0.201569378642158,0,8.67361737988404e-19,0.00731128990986449,0.0445754366737877,0.117580840684699,0,0.0424331805298032,0.184154672613256,0,0,0,0,0.0564931875283236
EOS,0.50232824696101,0.330638754695751,0,0,-0.55916646690144,0,0,-0.275693875041882,0.0215883709287475,0,0.702694560383943,0.216153067435365,0,0.237243730860968,0,0,0,0,0.0728472587789424
XLM,0,0.164771466792288,-0.0633357557796104,0,0.144044107682134,0.0863000604529801,0.304850415207051,-0.290957139540723,0.0316391116966767,0.50519138018889,0,0.199364567070265,0.0655882604797412,0,0,0,0,0,0.0943703328798486
BV010082.Index,-0.0846418308090624,0,-0.016064885507731,0,0.0624926462130517,0.00238573725006506,0,0.0361819732330752,-0.00680734387514322,0.0282782652003656,0,0.0307449088474954,5.42101086242752e-20,-0.0521158764665624,0,0,0,0,-0.00922705242660108
CVIX.Index,0.0422057254330319,0,-0.0148877474396684,0.100047881449822,0.0521031329047756,0.0362556794825399,0,-0.0502537163453653,0.0142369324062314,0.016428145333405,0,-0.0906245041471283,0.0227457374361991,-0.082977117297556,-0.193071541933487,0,0,0,0.086716936340145
DXY.Curncy,0.031091211432471,-0.0205495379768549,-0.00153625104054467,0,0.0192888818648282,0.0116067232493825,0,0,-0.0199012119337038,0.00337390106198823,0.00270596061323316,0,0.00356434651750915,0,0,-0.00962950457629297,0,0,-0.0118741144211948
SPX.Index,0,0.00432131375004589,0.00138867354067068,0,0.00739195875929988,0.00636369949788784,0.00278998915864776,-0.0189600259525594,0.00222146571938677,-0.00261435105362465,-0.00480949030408649,-0.00396159165883317,0.00206394698945261,0,0,0,0,0,-0.0566601993263331
VIX.Index,0,0.379671978323923,0,0,0,0.109419816417832,0.158361320831348,-0.0999312783916384,-0.493738140474671,0,0,0,-0.184679081436958,0.123772128668744,0,2.40294048394006,0,0,0
