,BTC,ETH,XRP,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,XMR,BNB,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.0742574600266325,0,0.0375185020513437,0,0,0.0900192104593923,0.439558788913259,0.0808830562414397,0.0262996998607699,0,0,0,0,0,-0.00644840399148165
ETH,0,0,0.189136158466698,0.0544678628409051,0.104280042280671,0,0,0.17119042871968,0.00874345165684805,0,0.063356884854588,0.159454082929952,0,0.194832798611407,0,0,0,0,0,0
XRP,0,0.0356108234713232,0,0.077996382891403,0,0,0,0,-0.0494498641328266,0.0137052817582499,0,0,0.166992888593929,0.141647087034861,0.226265905810384,0,0,0,0,0.0787603720035112
BCH,0,0.496398531815645,0,0,0,0,0.114024852269806,0,0.189447465358905,0.82722662705981,0.144958152526032,-0.593949321965392,0.347701688283018,-0.203300916129124,2.77555756156289e-17,0,0,0,0,-0.26032286694637
EOS,0,0.29812207191252,0,0.0581724297690397,0,0,0.0352293886922731,-0.374661382618288,0.0283266698069831,0.689085710022089,0,-0.135013595402933,0.21385304233404,0.0720021833002209,0,0,0,0,0,0.0264048177769527
XLM,0.397752874870044,0,0.0551967986315965,0.0085927209019194,1.73472347597681e-18,0,0,0,2.16840434497101e-19,0.276216513743168,0.088267839691171,0.0596217860841731,0.0832847184956015,0,0.177383668698283,0,0,0,0,0.0443165434559633
LTC,0.422434551763353,0.0533391822855779,0.0924788260793674,0.0700167123889433,0.069946081979598,0,0,0,0.0322207369080934,0.0711535530627219,0,0,0.17247802979762,0,0,0,0,0,0,-0.0842603790202579
TRX,0.361691957328153,0,0.061941952143176,0,0,0,-0.12365143679814,0,0.0253060433460421,0.350336535259078,0.10751558413393,0,0.0523737561622791,0.0739907841541284,0.026863914317271,0,0,0,0,0
BSV,0,0,-2.14111907765859,1.02067363289237,0.232198012515375,-2.50498001970448,-0.858235365767232,0,0,0.491738053464862,0.403469776174093,-0.279953893152815,0.696914347935432,0.59761387458628,1.51360675062969,0,0,0,0,-0.147791743059231
ADA,0,0,0,0.110580947335212,0.286627623365615,0,0,0.273674605375425,-0.0112221677923333,0,0.132384010533585,0.138163653239894,0,0,0,0,0,0,0,-0.00493195352266321
MIOTA,0,0.0914397965336084,0,0.030071782319694,0,0.386838800167253,0.190708134067209,0,0.0527393448487915,0,0,-1.73472347597681e-18,0.0697977601785797,0,0,0,0,0,0,0
XMR,0.0842660721713198,0.0565565247402014,0,0,0,0.127008022177739,0.110472781013635,0,0.0222094346030722,0.194697452784115,0,0,0,0.167540782687985,0.257607288189682,0,0,0,0,0
BNB,0,0,0,0.0151527126567283,0.149763660460895,0,0,0,-0.0676717883758647,0.373400436843446,0,0,0,0.068482352317456,0.367762891533367,0,-0.60015123054874,0,0,0.0768419082038857
DASH,0,0,0,0,0,0.239804422119559,0.229397481511547,-0.146721281064568,0,0,0.199513574298232,0.468204368533334,0.112683161481098,0,0,0,0,0,0,-0.0176914753468876
NEO,0,0,0,0,0,0,0.162790358104062,0.184837575968912,0,1.73472347597681e-18,0,0.391715212992523,0.218799588242511,0.00396180910003708,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0552289660680416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375117286254385
CVIX.Index,0.0612688834868435,0.183223171129122,0,-0.00547505118211831,-0.11133058245518,0,0,-0.443367156121638,0.0285217858159145,0.107967472394359,0.127429182952819,0,-0.0111879907931721,0.0669368658804062,-0.114062170009211,0,0,0,0,0.111102682121641
DXY.Curncy,0.000106698337291977,0,0.00905041667546845,0,-0.00694530792981492,0,-0.0100080921399445,-0.0403706994106225,0.00693896913724544,0.0150522162829145,0,0,0.00111217364877565,0.00805249672994976,0.0111670136339758,0.0704787308588338,0.00348685143777535,0,0,0.00917042605635582
SPX.Index,0,-0.0394870262168273,0,0.00899115370869606,0,0,0,0,0.0174416083002986,0,-0.023251044469539,0,0,-0.0299153283782408,0.0476572644283434,0.156384490219611,-0.0129228735949713,0,0,-0.131417317153287
VIX.Index,0,-0.192609990424518,0.26388087756632,0,0,-0.612326023747903,0.1950918432105,0,0,0.732211309222038,0.0266881494878679,-0.442903682876625,0.324676705940383,0,0,0,0,0,-4.61582219445215,0
