,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0808926809259667,0.146290095647397,0.340041257796452,-0.00579426641405154,-0.00431609934232591,0.0770881312679859,0.115086388167295,0.176240276242181,-0.0316185754125853,0,0,-0.139559401715541,0,0,-0.0865574752111067
ETH,0,0,0.362651064570366,-0.159548794239402,-0.0589821548247918,0.151758103202792,0.167902253073867,0.215290988443877,0.496905033349787,-0.236934242032165,0.250145825123184,0,-1.08666823303476,0,0,0.232589074565896
XRP,-0.0727705792050769,0.0592177239425923,0,0,0.00429512973997544,0,0.0577915582456363,0.0795577646215121,0.0299366448872564,-0.0602120625049365,0.0990580705920246,-0.10704260863695,0.118422421641258,0,0,-0.101373777322014
LTC,0.882744241169306,0.0180649981077463,0,0,0.0032621929937336,0,0.0339255956585286,0,0.0340537280103345,-0.0293411986222747,-2.16840434497101e-19,0,0,0,0,0
ETC,-2.03819466766985,-2.53230838648226,2.45787025135144,0.421434273004256,0,1.75076035004191,0.387210857133803,0,0.209291254678595,0.680176316725042,0.975022444317747,0,0,0,9.9382429555728,-0.129822766637108
DASH,0,0.063755686828195,0,0.153342710957139,0,0,-2.16840434497101e-19,0.00477554677304944,0,0.249670999090386,-0.14078182457,-0.365053600530048,0.0711465444249421,0,0,-0.337559133254747
XMR,1.02218331860117,-0.14668985486429,-0.579219187818657,0.566593591425201,0,0.269831786007254,0,-0.15494975084377,0,0.120924301610385,0.101932850004815,0.615442589834905,0.179951441484991,0,0,0
XEM,1.12671664539972,0,0,0,0.056695506090794,0.566244001618882,0.0311313250574798,0,0,0.568075470492116,0.243960939699978,0,-0.399373553861579,0,-2.91972496034495,0.240694050364115
DOGE,0,-0.302584500390136,0.607191509213916,0.229446649006025,-0.109725333745325,0.366557710878579,0.0241787883556456,-0.0108674915569793,0,0.150705501570997,0.0147211480589832,0,0,0,0,0
XLM,0.781641052168945,-0.0612648325564795,0,0.170478387188173,-0.0523011186737536,0.403772868171632,0,-0.0784275301138913,0.00668405355409103,0,0,0,-0.180064681900309,0,0,0.436585367425625
DGB,0,0.910447527663203,0,0,0.133916355447098,0.157443202802983,-0.00458180394991075,-0.221903759332478,-0.623352168567694,0.793726378886653,0,0.744210338845065,0.865799289317268,0,0,0
BV010082.Index,0.0875384233072371,-0.0999210293102221,-0.318058809110448,0,-0.0223614357479344,-0.015038398963155,0.0245954081384378,0.0624837083841064,-0.0469305773959321,-0.0647921491097764,-0.0213992099131322,0,-0.0807669585761107,0.697067001976358,0.337101304226833,0.135054255021015
CVIX.Index,0,-0.234551091342474,0.0728645312705353,0,-0.018420640018436,0,-0.00182081441078669,0,0.17590044076246,0.00816470224247976,0.0969901878993872,0,0,0,0,0.247155831689173
DXY.Curncy,0,0.00247997105397757,0.0298109098804239,0,0.00135667870009478,0.0413469653648948,0.00199804968808542,-0.0106357030311908,-0.0059253238007552,0.00753610857683504,-0.0315439398282798,0.122986895960049,0,0,0,0.016109005936135
SPX.Index,0.0110907238138043,0,0,0,0,0,-0.00101657628653346,-0.0197878668841095,0,0.0211605386601466,-0.00367278623798627,0,-0.0694112976926456,0,0,-0.0100714617733629
VIX.Index,0,0.284272055565872,-0.889169918212529,0,-0.0962156366107541,0,0,-0.223799932771741,-0.362408933069319,0.404618337493403,-0.39794271502665,0.691306992665687,0.884510215014488,0,-3.27030113591942,0
