,BTC,XRP,ETH,XLM,BCH,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.104545349053432,-0.0843269846786543,0.0846194896746573,-0.0641469772237844,0,0.34212509103734,0.098571358095226,0.174917785679449,-0.00669428848725793,0.0524112242486449,0.131882631972611,0,0,0,0,-0.0163332519395554
XRP,0,0,0.100705072872694,0.892203074413119,0.0223624075966575,0,0,0,0,0,-6.93889390390723e-18,0,0.468667968292087,-0.387776547599811,0,0.140725177637383,0,0,0.103528593930781
ETH,0,0.153810196755252,0,0.0751708234965089,0,0.229447173223054,0.303040776539075,0.0081332908193662,0.0684028617002886,0.0618173587693081,0,0.0325437676918189,0.0776823123456669,0.162398066430314,0,0,0,0,0
XLM,0.471968086510017,0.257997046712718,0,0,0,0.136101884837923,0,0.239060994719266,0.171821637294422,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0
BCH,0,0,0.475206596485907,0,0,0,0,0,0,-0.234597133337124,0.799420153983183,-0.299575864421566,0,0.555325908270307,0,0,0,0,-0.062735983847835
EOS,0,0.0654743705938738,0.495524615733492,0.312466333033318,0.212137882113554,0,0,0,-0.111517761257189,-0.160611711356038,0,0.0467858491599316,-0.0612121901387079,0,0,0,0,-1.05538501250829,-0.0508277838668801
LTC,0,0,0.164257004513652,0.120621580215218,0.197375415214797,0,0,0,0.0205836238810863,0.0832186579487108,0.112551516941068,0.223180843970095,0,0,0,0,0,0,0
ADA,0,0.0594597317988965,0,0.0597958244016102,0.115656414579482,0,0,0,0.153651260220762,0.404537590690799,0.0658578446735738,0,0.0625444654470182,0,0,0,0,0,0
XMR,0.69806492595004,0,0,0,-0.0529711972874397,0.326748039973586,-0.224555115846299,0.225654309125855,0,-0.0444379045841737,-0.0871758313088949,0.145729981351917,0,0.255081925344273,0.126748703836233,0,0,0,0
TRX,0,0,0,0,0,0,0,0.414464949522511,0.0974272856616826,0,0,0,0.0950687749170809,0.388072590677559,0,0,0,0,-0.0825935609718576
MIOTA,0,0,0,0.0621285812149463,0.00262754962119574,0.348597621870712,0,0.244988714223578,0,0.11651836260208,0,-0.089600114353628,0.157152383822465,0.226627039245932,0,0,0,0,-0.0364641798721937
DASH,0.272827573994703,0,0.0921211716662111,0,0.119328638847585,0,-0.0329564797573844,0.468748181714474,0.0254767215859555,-0.0480448358996381,0.00848894756360297,0,0,0.165062499733155,0,0.214447916049737,0,0,2.16840434497101e-19
XEM,0,0.0286612279127183,0,0.29851843701137,0,0.0552990911134272,0,0.127297748586017,0,0,0.116285232397449,0.265724995655662,0,0,0,0,0,0,0.00693042764379078
BNB,0,0,0.500451362895095,0,0,0,0,0,0.177855522353408,0.0905376488494027,0.122493497929153,0.0322206974443653,0,0,0,0,0,0,0
BV010082.Index,-0.0501905083390584,-0.202538732715406,0.249905266937034,0,-0.0184414617160203,0,0,0,-0.039653546407479,0,-0.171907967467051,-1.73472347597681e-18,0.12240483417515,0.0559696075516509,0,-0.0512294287598122,0.0114177037201188,0.458359439737437,3.46944695195361e-18
CVIX.Index,0,0,0.217281511580951,-0.252825282536209,-0.104143577380763,0,0,0,-0.319877516452103,0.0975977588211915,0.334431607868877,0,-0.0189066793150259,0.0162732492442966,-0.167516192039746,0,0,0,0.0271721384454804
DXY.Curncy,0,0,0.0142933859450553,-0.0679263900388579,0,0,0,0,0,-0.00553005124709167,0.0068516221667408,0,0.00415521198447368,0.0469633689462957,0.063284064929268,0,0,0,0
SPX.Index,0,-0.0813250417576259,-0.0483641120473812,0.125181182898254,-1.0842021724855e-19,0,0,0,0,0,0,0,0.0493585864184895,-0.0666455583857047,0.0443854980475635,0.0345300764361968,0,0,-0.109062885710314
VIX.Index,0,0,0,0,0,-0.45948824930734,0,0,0,-0.0595233366587449,0.481377915050032,0,0.182753072914152,0,0.560814040963235,1.31109180837572,0,-5.82854055603247,0
