,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ZEC,ADA,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0551402692298458,0,0.242436873967184,0.149845015847031,0,0,0.0679589926642897,-0.071624996650113,-3.46944695195361e-18,0.0121997138435075,0,0.147433022351762,0,0,0,0,0,-0.0622564326406647
ETH,0,0,0,0.131902416672313,0.160622533728149,0,0.0255600057096205,0.116543710181509,0.162013155326321,0.162343047351636,0.0404672331849746,0,0.0600757276909022,0.00950934540331204,0,0,0,0,0,0
BCH,0.290269476052604,0,0,-0.0840130699524178,0.0102710014207763,-0.313795128008847,0.0788290189685036,0,0.167190450540303,0,0.41341336060283,-0.119943826218995,-0.127471444870127,0.212560604113519,0.0637030025697314,0,0,0,0,0
XRP,-0.14734818265005,0.570496108564119,-0.0736948431249189,0,0.0168148093448337,0,0,-0.160289040290388,0.564482093225951,0,-1.38777878078145e-17,0,-0.0382087066134371,0.142786651760748,0.0288658796493225,0,0,0,0,-0.0145864862019192
LTC,0,0,-0.0825111748298332,0.344027163541129,0,0,0,0.203758932941014,3.46944695195361e-18,0,0.605119870377966,0,-0.0541233986335226,-0.00616616027970594,-0.0318066530360545,0,0,0,0,0
DASH,-5.42101086242752e-20,0.280724287689705,0,0,0,0,0,0.142641045126712,0.194294016123185,0,0,0,0,0.122102659938373,0.00850562919000688,0,0,0,0,0
NEO,0,0.563954759943573,0,0,0,0,0,0,0.190869657023758,0,0,0,0,0.193197430616775,0.192352453612093,0,0,0,0,-0.202109353355256
XEM,0,0.00996852167638424,0,0,0.174018652216785,0.115270510993478,0.0775202367312451,0,0.549807081400588,0.139190609443184,0,0,0.0236715420919345,-0.0652815365664147,0.0193794252887709,0,0,0,0,0
XMR,0.262249315177498,1.73472347597681e-18,0,0.213754986235373,0,0.148757442533275,0.0288372696303118,0.100900370230563,0,6.93889390390723e-18,0.0826547381325846,0.18322673420202,0,0.0081414129214868,3.46944695195361e-18,0,0,0,0,0
MIOTA,-0.450734466102653,0,0,0,0,0,-0.2105642755056,0.556194008674579,0,0,0.0344889715094317,0.404432930895142,0.0940158528235383,0.412605039647367,0.0954062887348653,0,0,0,0,0.032641484691528
ETC,0,0.690263701009956,-4.33680868994202e-19,6.93889390390723e-18,0.593181101782793,0,0.0153629441478412,-0.23908015667266,0,0.0651369158060091,0,0.0302167177058297,-0.0326764740542902,0,0.100431046580557,0,-0.150697322095889,0,0,0
ZEC,0,0,0.0762828332011265,0,0,0.342880068274915,-0.0773285708061785,0.249330453132532,0.0880979256962922,0.242722806930377,0,0,0,0.13312545748736,0.0519116860578336,0,0,0,0,0
ADA,0.537432572311607,0,-0.22777120325603,-0.18393921658799,-0.0190952725741293,0.160736293169321,0.165513815406567,0.505611993205959,-0.449099891499833,0,0,0,0,-0.19303184979711,-0.162141554109194,0,2.8175986242902,0,0,0.167864532185827
EOS,0,0.34504255684065,0,0,0,0.143000188823624,0.193232890768718,-0.237046872024147,0.278726934755146,0.366688727908511,0,0.219861851736403,-0.198750589260441,0,0.0816809741771933,0,0,0,0,0
XLM,0,0,0.198009799238902,0.311789079544245,0,0,0.171160697919852,0,0,0.817236194713886,0,0,0,0,0,0,0,0,0,-0.122742141163042
BV010082.Index,0.0928296153560028,0.00740583936980344,-0.0274618506539944,0,-0.0218503804986448,0,0.0310434848599244,-0.0105815412507361,-0.120132743031747,0,0.0213741309989973,-0.0122403147910224,-0.0277039621103478,0.0313723163513029,0.00918055371257957,0,0,0,0,-0.0693093029669989
CVIX.Index,0,0,0.0963709961426257,0,0,-0.112703280494584,-0.0120481200868785,0.0540199577954174,0,0,0,0,0.0287989567735632,-0.0654900941956186,0.00654180487949673,0,0,0,0,0
DXY.Curncy,0,0,0.0107258999185107,0,0.000431742103803785,-0.0463970826340083,0.00639155053785638,-0.000322260697939438,-4.33680868994202e-19,0,0,0.0185655425111254,-0.00321700323999807,-0.000987207657275903,0.00175981596562683,0,0,0,0,-0.00811527802791658
SPX.Index,0,0,0,0,0,0,0.00014140554404522,0.00729429373977938,0,0.00800365274039092,0,-0.0210257065991952,0,0,0.000786236426070655,0,0,0,0,-0.0345860328741193
VIX.Index,0.198341380368974,0,-0.292492669516162,0.123460116318685,0.199116422049564,-0.127675680681124,0.0326202648663594,0,0,0.0638076560838897,-0.203912338033003,0.379413245644078,0,-0.309028966175459,0.0586656435986906,0,0.946978103776247,0,0,0
