,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.181573284620496,0,0,0.0471716301588768,0,0,0,0.0752441675783327,0,0.0704616056604352,0.12797056972711,0.110658718912198,0.0694522619892194,0,0,-0.194741072252588,0,0,0.00954110792412352
ETH,0.0638340268120313,0,0.447689920812162,0.0645548279060267,0.0126921818558486,0,-0.0060171971155972,0.149857946241157,0.122465784479606,0,0.0240906419409162,0,0,0.130163240838498,0,0,0,0,0,0
XRP,0,0.0834710234641175,0,0,0.0420865354470569,0.163401893970972,0.11599234218806,0,0.0622089950628781,0,0.195181807195365,0,0,0.0193785286596768,0.114661652666413,0,0,0,0,0.0335535539614703
BCH,0,0.234045262912734,0,0,0.151097419480026,0.221793541674621,0,0.241386889120861,0,0.063372713915724,0,0,0,0.0950845610988689,-6.93889390390723e-18,0,0,0,0,-0.0674097631470622
EOS,1.26911882248389,0,0,0,0,0,-0.13994048434834,0.174775634067298,0.13239318779149,0,0.176554916295725,0,-0.255058288177717,0.0403732996410064,0,0,0.441943510952714,0,0,0
LTC,0,0,0.153565812483252,0,0.115918521494806,0,0.0417205785275959,0.160751390453302,-0.0910710029953371,0,0,0,0,0.0950138032150941,0.286115021349453,0,0,0,0,-0.0636816894858098
XLM,0,0.0248140283920657,0,0.241392167453597,0.101390727652426,0,0,0.329696249640012,0.0440172155308497,0,0.073424623553909,0,0,-0.00737064610497578,0,0,0,0,0,-0.00969235902866688
ADA,0,0.0193182331312023,0,0,0.162259944503095,0,0.0565259464660926,0,0.100198593123467,0,0.306016092570139,0.0774554390744916,0,0.0284243721758778,0.130589772671024,0,0,0,0,0
MIOTA,0,0,0,-0.275109500735645,0.101306862443278,0,0.634703252344665,0.15865401204466,0,0.766183646047802,-3.46944695195361e-18,0,0,0.108172410623969,-0.387750031754035,-0.0434829000518257,0.242416436041233,0,0,0.00223011584063902
NEO,-0.163123081633542,0,0,0.141452628993086,0.0954878190602892,0,0,0,0.116560138018694,0,0.182217858344854,0.14971376544163,0,-0.304833374472191,0.679511109486979,0,0.313634344615697,0,0,0.0628573912016925
TRX,0,0.267874841593806,0.293357498915166,0.120439626035931,0.0987617115547018,0,0,0,-0.100959930314163,0,0,0.248352237845912,0,0.109693293538343,0.121998743600406,0,0,0,0,0
XMR,0.515241103815133,0.314807178281235,0,0,0.0702349573509662,0,-0.0549498884541274,0,0,0.184461777166404,0.10102186269314,0,0,0.000451136460052963,0.182909614669526,0,-0.272132155150669,0,0,-0.0341795912269064
DASH,0,0,0.230083368104756,0.000187284205954263,0,0,3.46944695195361e-18,0,0.0263309101949861,0.042099483903071,0,0,0,6.93889390390723e-18,0.324994964321284,0,0,0,0,-0.0734921209340737
ETC,0.407328060369014,0,0.653305854711707,0.145890569546523,-0.00122855407253351,0,0,0,0.0713206326696472,0.118638908000058,0,0,-0.209697121631685,0,0,0,0,0,0,-0.141311426758295
XEM,0,0,0,0,0,0,0.379535073383878,0.147854624869683,-0.211579836197088,0.291932960486766,0.215112522787824,-0.0412371584490889,0,0.164506408645309,0,0,0,0,0,0.0354381302608043
BV010082.Index,0,0.0764496184980705,-0.325320602639075,-0.0371424638468404,-0.0969162295921284,0,0,-0.0585137964373797,0,0,0.109128381215196,0.211073142855346,0,-4.33680868994202e-19,0.037920778130319,0,0.0925389243338017,0,0,-0.219520722065671
CVIX.Index,0,0,0,0.293598414913921,0,0,-0.102486182662793,0,0,0,0,0,-0.0637574813359782,0.0105199800808888,-0.0859993691385785,0.207853909060622,0,0,0,0.144687385587341
DXY.Curncy,0,0,0,-0.0120451455972806,0.0176802562171269,0,0.0379132788182603,-0.0674496381425514,0,-0.0160903885913617,0.0323872744806911,0.00296201938167321,0,0.0253119741674069,-0.0232909988026151,0,0.0245647224351667,0,0,0.0106522960409943
SPX.Index,0,0,0,0.00275432114828527,0,0,0.0123716575088065,0.00568512349366602,-0.028958279464648,0,0,0,0,0.0157561180465966,0,0,0,0,0,-0.0533870749909094
VIX.Index,0,0,0,0,-0.325073489418214,0,-0.0628770368571222,-0.122900618389446,-0.0980932738688042,0,0,0.0981549000395509,0,-0.241615289253239,0.670815391342669,-0.438189874956315,0,0,-1.95782999586352,0
