,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,DASH,XLM,XMR,EOS,NEO,BTG,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0392116544204255,0,-0.080523464633601,-0.0764494893641647,0,0,-0.0178444378825493,0,0.186871075574957,0.185716355429429,0.160926963021299,0.107981660581829,0,-0.055840379456527,0,0,0,0,-0.0810649599307909
XRP,0,0,0.411477338832841,0.0941938808295012,0.0850850876136242,0,-0.0267411710882514,0,-0.0356113333962006,0,0.254625703117886,0.218895887943128,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0308874990935592,0.125970795995515,0.0621624500560655,0.0389316665429951,0,-0.0781631124448423,0.032078281964751,0.121089483274,0.135083364747091,0.0864867943408609,0,0,0,0,0,0
BCH,0,-0.0516892138021766,0,0,-0.0430450528526366,-0.162360842232256,0,0.078407432016278,0.252679182445644,0,8.67361737988404e-19,0.162431094336791,0.354741342838857,0.254398525285348,0.0343327933905797,0,0,0,0,-0.221285271772606
ADA,0,0.160638058602483,0,-0.284669362453073,0,0,0,0.159237304026836,0.228012988986143,0.468169627644627,-0.12715213937225,-0.0366896139276396,0.426202965116381,0.251335444329921,0.0793809958060499,0,0,0,0,0.156120954715318
LTC,0.205049341573847,-0.0613329494015249,0.459853135500279,-0.0620289751679783,0,0,0.0615073785058611,0.173407982158066,-0.0348730828632343,0,-0.00613937619407937,0.0255575511243653,0,0,0,0,0,0,0,0
MIOTA,0,-0.176385330408516,0.18611935492134,-0.00310346606840252,0,0,0,0.0106163783254073,0.286584317905566,0.323902107864814,0.0190483386942178,0.274473231475558,0.181128104322432,0,-0.0967520020118805,0,0,0,0,0
XEM,0,0.230866834730932,0,0,0.0510601200330796,0,0.22660473356544,0,0.151052489351793,0,0.0134098376845289,0.0632995387019437,0.152292665665224,0.0153302449047457,-0.0345370281689911,0,0,0,0,0
DASH,0,0.0339336821960469,0,0.0977274029351855,0,0.277982223773228,0.0286224214522109,0,0,0,0.151820351857614,0.0114322271305404,0.11158038461755,0.0392985532639846,-0.029970715382721,0,0,0,0,0
XLM,-0.06194403995219,0.20145057537209,0,0,0.278614723847998,0.0687238477245986,0.0563547839674258,0.0222958499635188,-0.173700260644403,0,0.460823809496107,0.00620856132896118,0.0360095125069579,-0.0244439019605186,-0.0500308875524953,0,0,0,0,0
XMR,0.242869361588379,0,0,0.0755490980269815,0,0.154871698978001,0.0746984539119429,-0.00830819778659996,0.0219449225140747,0.0775170640731208,0,0,0.334530211840213,0,0.0773056934556034,0,0,0,0,0
EOS,0.0600189114813979,-0.0705714516887208,0,0,-0.0288297032239635,0.389232355374573,0,0.0725966846918515,0,0.421552486561204,-0.316116558164237,0,0,0.236481183437505,0.171866689287821,0,0,0,0,0
NEO,0.0250581234988681,0,0.686458526842572,0,0.0173571573457424,0.0150880120921831,-0.0780000581740977,0,0.107133749670771,0.173688152933542,0,0.0465485103343131,0,-0.0992270817405091,0.0405939839765978,0,0,0,0,0
BTG,0,0.1534614325305,0,0.958612908233832,0,0.557102633017681,0.238999628019116,0,-0.51925085784678,0,0,-0.650593369432843,0.268669912724448,0,0,0,0,0,0,0
TRX,0.621781144065758,0.252604533685857,0.07582941925595,0.0711534736548784,0.210539147911166,0.355916228994508,-0.0105732322292496,-0.420432724804048,0.00976632019271401,-0.308573502212833,0.765156745512725,0,-0.0621205879709225,-3.46944695195361e-18,0,0,0,0,0,0
BV010082.Index,-0.026670989316865,-0.0201603981937041,-0.0571422480536862,-0.0312010092430439,-0.00870877520694476,0.0302490278246688,0.00908278252100605,0.00165882461820852,0.0228567877899481,0.0199987087421208,0.0134745117084409,0,0,0.0100455162708712,0,0,0,0,0,-0.0364516056594436
CVIX.Index,0,0.0375546708464244,0.0933603073664891,-0.00919188033875624,0,-0.0449372758773416,0.00538550348620754,0.0388372007689814,0,0,0,-0.022642929388065,0.0031299769220213,-0.0428093291907313,-0.0256314818428125,0,0,0,0,0.122606316388652
DXY.Curncy,-0.00506143384685199,-0.00682616969874024,0,-0.0109350526141634,0.00152603382889293,-0.000931706239934214,-0.00488660383385975,0.00946927016442038,-0.00042561874671198,4.33680868994202e-19,0.0238310973655737,0.00207798731009746,-0.0136039416022412,0,0.00959202443770228,0,-0.043262413920557,0,0,0
SPX.Index,0,0.00238146206301308,0.0125208180132762,0.00141980642597156,0.00227543813504163,0,0.000762984215874249,0.00145699223726943,0,-0.00521778303016082,0,0.00304130408973287,0,0,-0.000521260353001837,0,0,0,0,-0.0259368088047589
VIX.Index,0.0352717037214279,0.0440452878161808,0,-0.0291071330533904,0.0238512893889998,0,0.159634504404691,-0.0643501042916637,-0.0515932985329383,0,-0.0626952006572879,0.134019350189481,-0.111375793839626,0.0195383275298969,-0.0734854496918841,0,0.470580568005962,0,0,0
