,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0280783486603192,-0.329108972756801,0,0,0,0.315404353619636,0.351206230816327,3.46944695195361e-18,0.0475005068947013,-0.25549930258879,-0.0837198046497966,0.174622805767904,0,0,0,0,-0.116414283848362
XRP,-0.171260560115969,0,0,0,-0.286764415041895,0,0.46098937381469,-0.281863939860098,0.740321429239365,0,0.477968306921189,0.292221642053021,-0.851850536426008,0,0,0,0,0
ETH,0,0.0678453269898325,0,-1.73472347597681e-18,-0.136152487894036,-0.11088182603284,0.279054022102614,0.811220735070018,-0.098661573738566,0.0458927047985317,-0.466166042005663,3.46944695195361e-18,0.0560051409374385,0,0,0,0,0
LTC,0,0.013465685401231,-0.130298259904976,0,-0.199711736819708,0,0.234858738529914,0,0.0261638798484694,0.323414949925169,0,0,0.0659175825342621,0,-0.26099338051794,0,0,-0.263286334633151
XEM,-0.143952520255293,0.14274209866609,0.017015285550838,0,0,0.315110348016773,0,0.273737035565116,0,-0.196120085962933,-0.371055499847987,0.521134518102918,0.457716978114916,0,0,0,0,-0.447027773320264
DASH,0,-0.0840667083746109,0,0.0397425282445301,0.118431447954447,0,0,-0.0569129158768636,0.0582563723402436,-0.116046675746232,0.240266825103744,0.0562755593339361,0.0619183899317031,0,0,0,0,-0.214139366573562
ETC,0,-0.0564288353600604,0.406016527720676,0.237367843015658,0.0905874420418738,-0.220514115814581,0,0,-8.67361737988404e-19,0.035930190999352,0.302851528751628,-0.0933053545503958,-0.0955064983943954,0,0.229415484493861,0,0,0.215382861530988
XMR,0.175872215132319,-0.047968913204024,0.317388166146141,-0.150989819416539,0,0,-0.0628216513177347,0,0.141089853428971,-0.116115461222251,0.18706168365417,0.0081670616132097,-0.0140491088152098,0,-0.0328375051554659,0,0,-0.165961747725262
XLM,-0.238133859778435,0.219577683614585,-0.484362213742946,0.0912350158167878,0,0,0.607291608650054,1.1037540213074,0,0.54246293779483,0.0718422334928662,0.043366232176013,-0.000509324510460138,0.414993692346468,0,0,0,0
DOGE,0,-2.16840434497101e-19,0.221627663946391,0.326731308023222,0,0,-0.0683252295511461,0,0.267143391053432,0,0.192016154406752,0.0317416587150585,0.121391171246932,0,0,0,0,0.395245946605561
ZEC,-0.161852527654696,0.0230135075439205,0,-0.0057879768650079,-0.0984764110965437,0.109010023111231,0.0590146141068766,0.32395655529537,-0.0372942466738937,0.203149349929521,0,-8.67361737988404e-19,0,0,0,0,0,-0.192308007711242
NEO,-0.720501238922024,-0.0606859047899017,1.73472347597681e-18,0,-8.67361737988404e-19,-0.0462589717718065,-0.173123433071124,0,0.0201609154234117,0.0225235858189682,0.338448812972379,0,0.119313673062035,0,0,0,0,0
DGB,0,0,0,-0.325234273303881,0,0,0.233356620816402,0,0.024915817657603,0.0942324470562939,0,0.197283409576707,0,0,0,0,0,0.216484399221104
BV010082.Index,0,-0.00730866501683952,0,0,0.0333811632438719,0,-0.0674178762322599,-0.0651038061965018,0.023545867812385,0.0166283482857245,-0.0570561389103738,0,0.0298426302902786,0,0.300176372966713,0,0,0
CVIX.Index,0.169783511628257,0.0541600052985899,-0.215085107932459,0.0104039093153622,-0.440538046715232,0,-0.183210790399862,0.58015393661967,0,-0.0730502595395886,0,0.07114841807644,0.147286684604171,0,0,0,0,0
DXY.Curncy,0.047341766899738,0.002501860082679,0.00818109097614414,0,-0.00724061376657136,-0.00135104972733011,5.42101086242752e-20,0.00397869749404607,0,-9.92023918682746e-05,0.00251622614242482,0,-0.00279762574206953,0.0829239561393831,0,0,0,0.028220160262895
SPX.Index,0.00574753814653655,0,0.011132649006691,0,-0.00176812216578816,0,0,0,0.00419864493916963,0,-0.00412313778264846,-0.00283578577154177,0,0,0,0,0,-0.0411393855287671
VIX.Index,0,0.0515297232521521,-0.402658462867862,0,-0.35082205889574,0.0639823361024352,0.137001398418445,0,0.0923571299745258,-0.14950759934807,0,0.0249694050540143,0.243587332150232,-1.03608105394868,-0.864927553384255,0,0,0
