,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.10025416902403,0,0.400053544218216,0.00282022635657944,0,0.147446046172567,0.0614463055349371,0.0584670960304767,0,0.0272010570532921,0,0,0,0,0,0,0,0
INNBCL,10.5841712664093,0,17.1880516611404,0,0,0,0,-29.1415124719272,-9.82158624693015,4.9619777421669,4.69509028506789,2.07034987932828,14.1141182166413,0,-14.0726456313412,-8.29100744717279,0,0,13.5629497955328,0
ETH,0,9.60655069571588e-05,0,0,0.195458942249564,0.0626137802907603,0.0748056312238739,0.0568139524697712,0.020212876201966,0.2345051466059,0.0473673416652627,0.0533660199399643,0,0.0192454971581951,0.236800907896298,0,0,0,0,0
XRP,0,-0.00137069547339657,0.154852462926388,0,0,0,0,0.278561479871307,0,0,0,0.00831239021821662,0,0.320792201884019,0,0,-0.015063310900778,0,0,0.0114241795622688
BCH,0.171654617848256,-0.00359366789826003,0.267076475196657,0.246860792826849,0,0.281981277231508,0,0.0438846393216537,0,0.0533750214744808,0.02078559004203,0,0,0,0,0,0,0,0,0
BSV,0,-0.0091413600744133,0,0,0.302365874896451,0,0,0.331426878991926,0.155059979049342,0,0,0,0.146526845373472,0,0.093397603141045,0.0746513842241201,0.102100446558251,0,0,-0.0528730037102003
LTC,0,0.00310216410285834,0,0,0,0.189136046781392,0,0,0.410518105195931,0,0,-0.0144653492661763,0,0.310034721103505,0,0,0.0391814308348194,0,0,-0.0336514545805307
BNB,0.0780538877198076,-0.00485526644069341,0.320960264144745,0.0725169849726107,0.401468909330144,0,0,0,0,0,0,0.091870937770869,0,0,0,0,0,0,0,0.00966385117261713
EOS,0,-0.00206704795166588,0.303954126258037,0,0,0.195578100306404,0.254542238170384,0,0,0,0,-0.0278613355110287,0.0509912640119231,0.14740724362451,0.0297268877016761,0,-0.0129900192982813,0,0,0
XTZ,0,-0.000440498363364736,0.161596194934544,0,0,0.236278903337012,0,0.0898026852499553,0,0,0,0.482883228021988,0,0,0,0,0,0,0,0
TAGZ5,0,-0.0126096598555461,0.356373089240346,0,0.890051111508239,0,0,-1.23289867512084,0,0.536613771510857,0,0.364747472983734,0,0,0.0609413485056953,-0.448797322951397,0.0919124377661052,0,0,0.0238614919113148
LINK,0,-0.00609300244146968,0.200899530060149,0,0.079119330064458,0,0,0.18539135746144,0,0.452716878828973,-0.0146487422080199,0,0,0.124993862057851,0,0,0,0,0,0.0272152633806237
XLM,0,0.00114720319308629,0,0.245435172271618,0.289274959995085,0,0.0210357166333099,0.206095785039881,0,0.0156381085556306,0,0,0,0,0.0722536349386439,0,0.0317134026326026,0,0,0.00627450410495411
ADA,0,-0.0016165567714756,0,0,0.107255806506143,0,0.555656812582326,0.16775878912103,0,0.115692384187952,0,0,0,0,0.0369452124692416,0,0,0,0,0
XMR,0.0450267648667417,0,0.166987324080446,0.00981663699617452,0,0.0827994284936798,0,0.127285255246885,0.317927087143607,0.121089785347032,0,0.00594373629195101,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.00403010337860062,0.170444550232028,0,0,0.336226184851394,0,-0.984672614105652,-0.355772856282561,-0.835409786068589,0.0877474436683353,0.543300177704372,1.20388187809348,0,0,0,0.100727554851032,0,0.0683457241939885,-0.00578112417420214
CVIX.Index,0,-0.00621702977801747,0,2.77555756156289e-17,0,0,0,-0.389818108211224,0,0.280932637368073,-0.198706332252482,0,0,0,0,0.384135332202583,0,0,-0.686410087440254,0.282702483103176
DXY.Curncy,0.0918484805809927,-0.000198945897122313,0,-0.116837444514531,0,0,0,0.0203892092655593,0,0.0185240265850279,0.00307090610196623,-0.0118802469234192,0.0101185889047105,0,0,0,-0.0170644377883952,0,-0.0160781616060329,-0.00851458750556792
SPX.Index,0,0.00147169903525181,0,0,0,-0.139535570437742,0,0,0,0,0,0.162694752421828,0,0,-0.0570994232670038,0.241860428340493,0,0,0,-0.206000881285841
VIX.Index,0,0.0315505265591908,0,0,0.242619243938039,0,0,-1.28655420551379,0,-0.222966470811114,0.159870507605139,0,0.587791679525519,0,0.587707363105652,0.293271198517326,0.27323019283725,0,-1.60027135500471,0
