,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,BNB,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0980936982223609,0,0,-0.0200492779770787,0,0,0,0.123726561608054,0.123031788341694,0,0.119965298612604,0.0843805645564596,0.0525235827576282,0.0830092675562575,0,-0.0421315150607225,0,0,-0.0217345391602303
ETH,0,0,0.257520020486868,0.187575364906759,0.0303970795978879,0,0,0.104579986215241,0.0485292149532682,0.0611460635054094,0,0.0392255202304106,0,0.129317097603352,0.0814051948323814,0,0,0,0,0.0192524420638669
XRP,0,0.202081551282849,0,0,0,0.219736232025893,0.107158731960589,0.165786852448754,0.0163360744623564,0,0.0875417714078155,0.015014522927399,0.0217374445506989,0,0.0856577390784357,0,0,0,0,0
BCH,0,0,0.49803320539158,0,0,0,0,0.156445563449623,0.262657768210013,-0.0906971522226163,0,0,0,0,0.0711581177507302,0,0,0,0,0
EOS,0,0,0,0,0,-0.280311114067583,-0.118091868638564,0.542218656210155,-0.457963725460595,-0.259708530176693,1.29899674828946,0.449829282276123,0,0.23157898824786,0.18091204439251,0,0,0,0,0
LTC,0,0,0.388110120008932,0.074631454785948,0.0711198017555918,0,0,0.0178062617280158,0,0.0117341995056754,0.0914628976263861,0,0,0.141378883843468,0.101483214398637,0,0,0,0,0
XLM,0,0.1645352763256,0.0493968104309983,0,0,0,0,0.436973428414426,0,0,0.145648384684477,0.0983545383255819,0,0,0,0,0,0,0,-0.0166508883151001
ADA,0,0.0641803551459344,0,0.0731229185693681,0.0948392111329752,0,0.264324516419622,0,0.0321458733688936,0.183495163944498,0,0.148097752663466,0,0.0308049769393126,0.0524245386503241,0,0,0,0,0
MIOTA,0.911380842941065,-0.0633953855651292,0,0,-0.184933366420842,0,0.415920349538673,0.429115992043185,0,0,0.225219483727968,0,-0.545803411742862,-0.183816016351635,0.0591379262725609,0,0,0,0,0.00909378467651173
TRX,0,0,0.529015523737199,0,0.174158981946817,0,0.0673360736144108,0,-0.0848169445474167,0,0.00296320663075105,0.34116517602708,0,0,0.141000690548755,0,0,0,0,0
NEO,0,0,0,0,0.00761440856697402,0.0359797642834741,0.09319810250946,0,0.178444192432431,0.0825184398486086,0,0,0,0.350442389034579,0,0,0,0,0,0
XMR,0,0.195894584678937,0,0.158464360653799,-8.67361737988404e-19,0,0,0.166471836043454,0,0.162178457453069,0,0,0,0.106077501018761,0.054816456990165,0,0,0,0,0
DASH,0,0.0609251118913522,0,0.0992479553473129,0,0.163547007934883,0,0,0.0787403125137587,0,0.191131260207388,0.0670676213704005,0,0.114071448810487,0.0125404694889806,0,0,0,0,-0.0161680233392325
BNB,0,0.195014940736036,0,0,-0.117937781032128,0,0.127692028789097,0.233417193674568,0.109697855642019,0,0.115053086262254,0,0,0,0.00452578131706643,0,0,0,0,0.122057686597228
ETC,0.288143532173612,0,0.551064818648221,0,-0.0113650751185456,0,0,0,0.0413990342495787,0.213086339829064,0,0,0,0.08320771039651,0,-0.157997358215369,0,0,0,-0.226804528949357
BV010082.Index,0,0,-0.133682545097307,0,-0.126531209412212,0.102784531209348,-0.0278906238085564,0,0,0,0,0.200826223922589,0,0,-0.0176579147877843,0,0,0,0,-0.254160710975685
CVIX.Index,0,3.46944695195361e-18,0.211250498611209,0.201388240691861,-0.00437413318072075,0,-0.151406042406026,-0.0187276547759315,0.0263754297402484,0,0.0555517330623061,0,-0.259093807778122,-0.100741638986467,0.0521375392440592,0.455311331298705,0,0,0,0.181854314217202
DXY.Curncy,0,0,0.00721539992612907,0,0.010404528170911,0,0,0,-0.0215815307937894,0.0109425631704854,0,0,-0.00917858983692747,-0.00138410869878232,0.0178821841715093,-0.0621977677792986,0.00923673473546871,0,0,0
SPX.Index,0,-0.0149286507076798,0.00661957708718612,0.00516639621768664,-0.0178350946796085,0,0,0,-0.019011771795877,0.0132101185847455,0,0.0245509669644392,0,0.00689961553402515,0.0126074831630603,0,0.0267240871493393,0,0,-0.0808711747078407
VIX.Index,0,0,0,-0.338429727997682,-0.305474717873116,0.864540422160635,-0.232748649871179,0.091751343388869,-0.0421173409424414,0.0478200589995312,0.414184664138092,0,0,-0.141012515964949,0,-1.09262199395001,0,0,-0.0502711497568056,0
