,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XEM,XLM,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.105329210928779,0,0,0.117436817291053,-0.0219578812056399,0.0763249059664689,0.060015111331106,0.129866563942477,0,0.256028248061391,-0.0193735745346401,0,0,0,0,0,-0.114956297315396
ETH,-0.201119777757172,0,0,0,0.0117628459489067,0.254211022937725,0.164405827663799,-0.0101384397924569,0,0.0527921878696273,0.0427793343093375,0.00793358433819097,0,0.0772109958160104,0.153060376521734,0,0,0,0,0.0176212978992715
XRP,0,0,0,0,8.67361737988404e-19,0,0,0.119854809360087,0.318055935234978,0,0.360806506595925,0.213959393890754,0,0.0161182489549272,0.0910613715672756,0,0,0,0,0
BCH,0,0,-0.0376092648792762,0,0,-0.184718268765052,0.243906523878018,0,6.92352225280236e-05,0.0704595636033444,0,0.412879378822689,0.116963681001434,4.33680868994202e-19,0.191892119156421,0,0,0,0,-0.204370519633148
ADA,0,0,0.174134999934497,0,0,0,0.114814258057789,0.152103170268019,0.125974060813925,0,0,0,0.0301784736689624,0.0647693220250173,0,0,0,0,0,0
LTC,0.0929096292265665,0.130987524653045,0,0,0.0186617883085995,0,0,0,0,0.19927603755209,0,0,0,0.077534818983311,0,0,0,0,0,0
NEO,0.0133376122977511,0.622806463957525,0,0,0.00747629585084951,0.121840866215385,0,0,0.0983193197107248,0,0,0,0,0.0573609041986675,-0.0750178027820704,0,0,0,0,0
XEM,0.0534439954038796,0,0.194113910808765,0,0.104528363326619,0,0.156875023804056,0,8.67361737988404e-19,0.202151009991781,0.0520016109948589,0.107290370589304,0,-0.0221496153815296,0.186944924556088,0,0,0,0,0
XLM,0.171519752163434,0.0892845840088835,0.155216095717253,0,0.348104260987523,0.106597156420724,0.05024042137846,0.0259956945752886,0,0.0476628073403878,0,0,0.272690702383105,-0.198456470888403,0,0,0,0,0,0
MIOTA,0.566849211109021,0,-0.10558667962422,0,0,0,0.0860048380797701,0,0.04147210458903,0,0.303849110113882,0.0490590000868358,0.335697053069649,-0.0953481254361397,0.0648617143338958,0,0,0,0,0
EOS,0,0.0379715425813528,0.00177207276757612,0.0382125942810001,-0.0467428816588978,0.233176426517932,0,0.0819828444024731,0.288862292422457,0,0,0,0,0.128576613998853,0.23120104364507,0,0,0,0,0
DASH,-0.0290630014345417,0.0197378436485986,0.0448271861625429,0.0552107702261137,0.0175239078737754,0.235935896951761,0,0.0031677117603032,0,0.0559469405097454,0.112547974045728,0,0.0829706742779369,-0.0293164248655624,0.113409682909082,0,0,0,0,0
XMR,0.117147732635616,0,4.33680868994202e-19,0.029051641958233,0,0.0737186410683198,0.250292975560708,0,0.102113734683183,0.0808899209180693,0,0,0,0.0691686752526923,0.21043012516724,0,0,0,0,0
TRX,1.51371755202925,0.760028214858166,1.73472347597681e-18,0.132275552849353,0.422971133469142,-0.58425101453638,-0.541309787285721,-0.494543560000992,-0.00213497157928861,-0.188147644478094,0.011368718520909,0.343869124049669,0,0,0.00383123383329979,0,0,0,0,0
BTG,0,0,0.0110064990524419,0.319445621253613,0.0082975204564376,0,0.0786273054408138,0.074504466838023,0,0.117823896059441,0.319834356938026,-0.115938743739407,0,0,0,0,0,0,0,0
BV010082.Index,-0.0207515968326308,0,-0.0122421223092854,-0.0393456455306765,-0.00828757788042276,0.018826639643545,0.00536336491039316,0.0069781751107336,0.0126955637086879,0.0115034999131142,0,0,0.0150456913837619,-0.00474089117662128,0,0,0,0,0,0
CVIX.Index,0,0,0.0219630823657366,-0.00858784080823808,0.000945153580006151,-0.0727135033552118,-0.0543350946158039,0.0259663656938142,0.0142490955796618,0,1.0842021724855e-19,0,-2.16840434497101e-19,-0.0187985291391164,0,0,0,0,0,0
DXY.Curncy,-0.00685086728292684,0,-0.00473737536556457,0,0,0,-0.0065371109752084,0.00895641516755774,-0.0128070486644923,-0.00342460947498056,0,-0.0120839274482701,0.0311259575569264,0.00874063176614069,-0.0138378443361966,0,0,0,0,0
SPX.Index,0,0.00980112702796372,0.00141419280203227,0,0.0022216089151937,0,0.00460446122347049,0.00142236140972758,-0.00286783584221419,0,0.00113805643900059,0,0.00159313986232908,-0.00167567578669644,0,0,0,0,0,-0.0310567081453093
VIX.Index,0.0785522417769196,0,0,0,0.0238146938612406,-0.0439185634644257,-0.155157857517829,-0.0459861575408645,-0.0534678760254426,0.190501460783206,0.0502357094959201,0,-0.141067871877191,-0.0587398397788472,-4.33680868994202e-19,0,0,0,0,0
