,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0517856553535204,0,0.193676457924875,0.0358439652167108,0,0.0910003187989764,0.00889236108066246,0.143747815705679,0.0853100771070127,0.0271526602305413,0,0.0464288010415872,0,0,0,0,0,0,0
ETH,0.321857829765096,0,0,0.118291972143898,0.145155432733919,0.155223446895929,0,0.225637863879172,0,0,0,0,0,-0.0535437827040967,0.110233784902938,0,0,0,0,0
XRP,0,0,0,0,0.0150270473188852,0,0,0.0213155651690779,-0.0943459332801829,0.258476066075159,0.1059666077862,0.0768260397317344,0.10371111545437,0.299208127074007,0.192686006509631,0,-0.304235319809038,0,0,0
BCH,0,0,0,0,0.176951343127278,0,0.281437866386317,0,0.0276001468693752,0,0,0.386724429277164,0.0546930672570247,0.0364355841550134,0.0998443355451811,0,0,0,0,-0.11026686592936
LTC,0.129385900842409,0.0482306482861012,0.0660781641548562,0.152973767596499,0,3.46944695195361e-18,0,0,0.155015193793642,0.0211230277420375,0,0,0,0,0.140892273160632,0,0,0,0,-0.0175896536357172
ADA,0,0.255222156325562,0.143589729378725,0,0.0783664814781017,0,0.109495481522281,0,0.220200395823102,0.0588686000431655,0.0253883029168871,0.0950510125817396,0.0644763472468859,0,0,0,0,0,0,0.0119540819811969
NEO,0,0.681682867121251,0,0.0584050745129859,0,0,0,0,0,0,0.0499959754953035,0,0,-0.0282369238231693,0.317660235367872,0,0,0,0,-0.0749307535336031
XLM,0,0.123200655675224,0.184022087832969,0,0,0,0.0806053513594002,0,0.106188886100722,0.130008679531549,0,0.192954503226755,1.73472347597681e-18,0.140538575579415,0,0,0,0,0,0
EOS,0.0460697735411523,0,0,0.026621265361258,0.310296508264738,0,-0.142199167205208,0,0,0,-2.71050543121376e-20,0.0490286970855143,0.195203079246104,0.227584603816714,0,0,0,0,0,-0.109192743888739
MIOTA,0,0,0.0504174013155433,0.289541900132322,0.160396008892124,0,0,0,0.0120833060247964,0,0.180121418319918,0,0.156267405324676,0,0.0211076270036342,0,0,0,0,0
XMR,0.266450367265632,0,0,0,0.0487037513854876,0.47117827604784,0.114213672783528,0,0,0.280710378444457,0,0,-0.241098532215168,0.0586148900368574,0,0,0,0,0,0
DASH,0,0.29062249802767,0,0.131730149171874,0,0.194078459646085,0,0,0,0.0100325040265803,0.0791342111684754,0,0,0.120736423864437,0,0,0,0,0,0.0367334984660962
XEM,0,-0.19834531177244,0.108124925339196,0,0.0807376560581431,0.540910162681103,0,0,0,0,0,0,0,0.074776838526763,0.122647017138075,0,-0.525547967168094,0,0,0.0822551568561645
TRX,0,-0.234890780533468,0,0.115358568930297,0.155497802440813,0,-0.228153239845046,0.296907275013557,0.136594596797714,0.327515495839199,0.00814543872541052,0.0364185452401451,0.22291638249982,0,0.168570556757569,0,0,0,0,0.153485912224682
ETC,-0.0783533450431113,0,0.24879899592865,0.418160608526032,0,0,0.0976150790855203,0.266106749015748,0.196076912482438,0,-0.179772119512517,0,0,0,0,0,0,0,0,0.117718502164782
BV010082.Index,0.0594370953471907,-0.150281201262583,0.0185333123975907,0.0903797762286311,0,0,-0.0147953368700908,0.0130600906381092,0.000683812646080088,0.031521505261262,0,0.0498345125283567,0.0291913219845681,-0.113472929013993,0.0208435144757709,0,0,0,0,-0.0316445866335382
CVIX.Index,0,-0.130211907463371,0.0199183847621588,-0.114209173049626,0.0960417534171038,0.150662786155117,0.0212550610567501,0.091518618910999,0.0501003541192813,0,-3.46944695195361e-18,0.165549609030133,-0.245930697782679,-0.0990604879418776,0,0,0,0,0,0.0781315566991304
DXY.Curncy,0,0.0199059722343223,0.0226384819764047,0,0.0104939852204682,0,-0.0111570536765892,-0.0343746996372908,-0.0339745674356983,0,-0.00142439668827045,-0.000681557553938914,-0.0028620566187919,-0.00657323525449236,0.0233592530598969,0,-0.0139920753247212,0,0,0.00497050644577427
SPX.Index,0,0,0,0.00912759961144298,0.0269497014812644,0,-0.0147744076874455,0,0,0,0.0186856134626536,0,0.0329986497485809,-0.0887573517304081,0,0,-0.0454016499570062,0,0,-0.0586765370842142
VIX.Index,-1.43418493268244,0,-0.00584650876829801,0,0,0,0.466747016221924,0,0.104550606378219,-0.154358917335208,0,0,0.123279360821123,0.492848675361886,0,-0.173168007959416,0,0,-4.53170961812566,0
