,BTC,XRP,ETH,XLM,BCH,EOS,LTC,TRX,ADA,XMR,MIOTA,XEM,BNB,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0959914489871508,-0.0941771723310949,0.0651890941187467,0,0.061296854158899,0.0539107023178322,0.297468914842418,0.241562742946145,0.0485485695068236,0.0812182170176687,-0.0526723845742769,0,0,0,0,0
XRP,0,0,0.0399109516544777,0,0.0723079181885594,0.311992649302374,0.221337902167197,0,0.080914393445946,0,0,0.344139395794635,0,0,0,0.546800279785139,0,0,0.0231124636117418
ETH,0,0.240524557003005,0,0.0116666749389991,0.0738663068225589,0.0242379174024414,0,0,0.105096727455123,0.342703964988472,0.0882552181767699,0.0389247658647215,0,0.114452772129,0,0.0578325165488335,0,0,4.33680868994202e-19
XLM,0.474016835419674,0.251689177190561,0,0,0,0.123996518643561,0,0.0135926024913226,0.248635119505268,0.169963036098661,0,0,0,0,0,0,0,0,0.00843610803406245
BCH,0,0,1.58662368397635,0.112129817992999,0,0.693485312253519,-0.839056804520831,-0.0568207623720183,0,-0.442522107035279,1.37713395062782,0,0.196429587816627,-1.23553228789615,0,0,0,0,0.0314330475525134
EOS,0,0.405583383655981,-6.93889390390723e-18,0.125022228588419,0.169609289285033,0,0.16147084450423,-0.385235887929524,0,0,0.15435034107155,-0.167384991913096,0.0548239338065268,0.355003827481071,0,0,0,0,0.0374520054180665
LTC,0,0,0,0.0846126033984708,0.118773549593805,0.165921149885377,0,0,0,0.19170886962583,0.169610288768667,0,0.17374050122548,0,0,0,0,0,-0.0700310015271249
TRX,0,0,0,0,0,0,0,0,0.378098440290323,0.117985495751861,0,0.0880776834525535,0.384083840516167,0.0295400865349303,0,0,0,0,-0.0884340891978784
ADA,0,0.143521781761125,0,0,0.12975202877659,0.333033057803269,-0.0997931316595611,0.30605284636919,0,0.191166654293182,0,-0.00262905141031341,0,0,0,0,0,0,0.0214663178922258
XMR,0.387447082617197,0,0.383629812127653,0,0,0,0,0.0435527970544987,0.0745158688440082,0,0,0.0296380419195139,0,0.217433516763583,0,0,0,0,-0.0521105758322342
MIOTA,0,0.0666631170958364,0.0976337569424548,0.152973758812258,0.0674060183505096,0.113951364935087,0,0.240653225622554,0.088008768985612,0,0,0.0631568857608297,0,0,0,0,0,0,-0.0461647500627749
XEM,0,0.0250319240765332,0,0.244522586183376,0,0,0,0,0.233620547995118,0.137793587865413,0.0820803170838971,0,0,0.0727662843288231,0,0,0,0,0.0409427648716384
BNB,0.599513074417305,-0.0681717718587191,0,0.0511080078604872,0.12524123159393,0.553206460085116,0,-0.0336001360133926,-0.0673746327825109,0,-0.287925590736822,0.158621156659275,0,0.199871895383751,0,-0.406202070861677,0,0,0
DASH,0.137653522732068,0,0.0196013781929523,0.00303130869569334,0.169530193312279,0.103454474876319,0,0,0.316555147481623,0.0714903377347782,0,0.0957653516285067,0.175619156871829,0,0,0,0,0,0.0319061841750801
BV010082.Index,-0.0769622197818135,-0.184929668065697,0.127740250477466,0,-0.027306745046959,0.0360503111820066,0,0,0,0,-0.195026491629491,0.127690191564097,0.182621308453646,0,0,-0.0246269765280855,0,0.424309596894983,-0.00596997850989647
CVIX.Index,0,0,0.514827236709402,-0.216851237552986,-0.0875103411073885,0,0,0,0.178415896852302,-0.460246404776141,0.110224573681722,0,-0.0574428830664078,0,-0.193913212125572,0,0,0,0.0419250759414684
DXY.Curncy,0,0,0.0163365567166808,-0.0379828417805499,0.00625542602635767,0,0,-0.0114289196233588,0,0,0.00998628008935655,0,0,0,0.0507120186145102,0.00450999205041747,0,0,0
SPX.Index,0,-0.0346062054909391,0,0.0729326908893494,0,-0.102391256398887,0,-0.00810706678210445,0,0,0,0.0234052937665484,-0.0233748711407512,0.0369087560735628,0.0196382321713767,0,0,0,-0.121193958489321
VIX.Index,0,0.154054290455511,0,0,0,-0.430422428017779,0.117096910821748,-0.219815658667415,0,-0.117575813077955,0.150930914920783,0.209180249144786,0.229156322280919,0,0.233212201355837,1.32768021796521,0,-5.46424319648909,0
