,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.283913715391459,0.047440997585943,0,0,0,0.1035897702657,0.0928519875010985,0.106820686743753,0,0,0,0,0,0,0,0,0.00554906716247515
ETH,0.0126865274256471,0,0,0.0347385910037655,0,0.100721412910542,0.124035937043517,0,0.142494419807846,0,0.135044370628466,0.0784655628061295,0.0366706714236802,0.135650432461752,0.113134000015246,0,0,0,0,0.0559463397603141
XRP,0,0,0,0,0.0556008538452449,0.179306350860426,0.0680039828499264,0,0.0306692877321981,0.213261447015385,0.0761595505784085,0.108652630348287,0,0,0.108378162377542,0,-0.159630304122117,0,0,0.108406346669548
BCH,0.346202295353341,0.0786532605222119,0,0,0,0,0.0855799233540309,0.0227821527870422,0.210492941504513,0.0671439954537549,0.25181936361016,0.0506912193321148,0,0,-0.0406639238480767,0,0,0,0,-0.010632771191308
XLM,0.269473021192118,-0.173534314191767,0.26399359371419,0,0,-0.15834969913976,0,0.248514950928896,0.217112193354606,-0.107770461037125,0.157275635389544,0,0.198355374290895,0.284766554558814,0.042048752979288,0,0,0,0,0
EOS,0,0,0,-3.46944695195361e-18,0.130409282568708,0,0.6089535272539,0,0,0,0.254076023526879,0,0.0600677155624891,0.208070973539259,0.0711455082997477,0,0,0,0,0.0197558209757882
LTC,0.0709869333692473,0,0.0368034510483655,0.172097069563885,0.00922012564006735,0.151737634556181,0,0.293530423551285,0,0,0,0.213065492644745,0,0.0874499019786573,0,0,0,0,0,0.124373592655888
ADA,0,0,0,0.0686633416584908,0.366655359005685,0,0,0,0.00226165271874776,0,0.283763691680207,0.0778993873841217,0.0456650487234053,0,0.0261456409864274,0,0,0,0,-0.0605293620107066
XMR,0,0,0,0.492211374897001,0.166631966457348,-4.33680868994202e-19,0.210889117863289,-1.38777878078145e-17,0,0,-0.0412617236865153,0.111335296881223,0,0.132532418541264,0,0,0,0,0,0
MIOTA,0,0,0.531981931194159,0,0.390234255390247,-6.93889390390723e-18,0,-0.0815026099259771,0,0,0.0632831991497066,0,0,0.465663869902944,0,0,0,0,0,0.170847726223194
TRX,0,0.484718019709361,0,-6.93889390390723e-18,0,0.262573296843211,0,0.148562410892936,0,-0.0180799960860647,0,-0.102984293249495,0.130250422201131,0.0204744924776436,0.21127655862287,0,0,0,0,0
ETC,0,0.605499672788519,0,0,0,0,0,0,0,0.418598827425781,0,0,-0.165670779248202,0,0,0,0.401162509542105,0,0,-0.186896412758983
DASH,0,0,0,0,-0.0603722815812075,0,0,0.219011599997858,0,0.0636175350653255,0.0101713003698197,0.247169421152982,0,0.30932582046225,0.101659023149485,0,0,0,0,0
NEO,0,0.38440915170153,0,0,0.152226476762921,0,0.0411600188227201,0,0,0.381315676877815,0.218165168342692,-0.0723354459713144,0,0,0.128022581136797,0,0,0,0,0.0837843509361269
BNB,-0.174469344941373,0.622609772740437,0,0,0,0.115880203482866,-0.239325998638358,0.00739704757313057,0,0.11168105916972,0,0,0,0.120750534098069,0,0,0,0,0,0
BV010082.Index,0.00458911247111877,0,0.0673372175839778,0,-0.00959937364047197,-0.0203688256227879,0,0,0,0,0.0305856363625955,0,0,0.013750657717872,-0.0449023436534199,0,-0.200758926367124,0,0,-0.0164026451313474
CVIX.Index,0,0,0,0,0.111120442036432,0,0,-0.0129104376885061,0.210597942280523,-0.0956194679766405,0,0.0177252437266328,-0.18903380767964,0.0885326992008471,-1.0842021724855e-19,-0.587158729025423,0,0.537997129346853,0,0.0888275887915757
DXY.Curncy,0,-0.051274739072376,0,0,0.00926487637858189,0,0,-0.0186096763131307,0.0331629907598853,-0.0147502192647756,0,0.0289577617554862,0,0,0.0138603058937409,0,0.151127302253097,0,0,-0.00175187857197908
SPX.Index,0,0,0,0,-0.000491528662202361,-0.0180366823662479,0,0.0139013932736529,0.0031980900571763,-0.008972430883652,0,0,0,0,-0.0039075522818412,0,0.0492785542751064,-0.0917888822046394,0,-0.0677221991894654
VIX.Index,0.697251982174178,0,-0.358008789687995,0,-0.139833686531111,-0.103105204576984,0,0,-0.0646497029534154,-0.367287617981065,6.93889390390723e-18,0.270240398686208,-1.73472347597681e-18,0.478868606571513,-0.404732296946133,0,0.152037198943379,0,-6.01124313534622,0
