,BTC,XRP,ETH,XLM,BCH,EOS,LTC,ADA,TRX,XMR,MIOTA,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,1.73472347597681e-18,0,0.0910545684819319,-0.0936821927273083,0.162683796270177,-0.110818443220319,0.0922804788268176,0.0689492515942528,0.306033991895243,0.180234703096268,0.118256766311725,-0.0351823551232187,0.047653358260878,0,0,0,0,0
XRP,0,0,0,0.181755703753128,0.117240988380945,0,0.212929622214256,0,0,0,0.137474411079141,0,0,0.352921674640193,-0.502109454230754,0.469821063714202,0,0,-0.00315265795728812
ETH,0,0.156206675901801,0,0.0736328748950588,0,0.227830102162308,0.311472860999837,0,0.0617931437529311,0.0680154295118926,0,0.16749304760413,0.0318051349591424,0.0774426787678135,0,0,0,0,-0.000377676739627623
XLM,0.474332185756401,0.255017202022672,0,0,0,0.13477983601709,0,0.237556030696733,0.0193181624495695,0.163431469171831,0,0,0,0,0,0,0,0,0
BCH,0,0.237755127299505,1.03849752677445,0.287220165654562,0,0.145577167583086,-0.258559498665911,0,0,0,1.38580782287571,3.46944695195361e-18,-1.52158493486297,0,0,0,0,0,0.0432180398644986
EOS,0,0.40020220751231,0.0907865408722111,0,0.194526106254864,0,0,0,-0.210004441511998,0,0,0,0.467145277658955,-0.0986450703098772,0,0,0,0,0.0424021982540131
LTC,0,0,0.164257004513653,0.120621580215218,0.197375415214796,0,0,0,0.0832186579487112,0.0205836238810871,0.112551516941068,0,0.223180843970094,0,0,0,0,0,0
ADA,0,0.0798622482743573,0,0.137375939470225,0.130858857566074,0.0199210882242549,0,0,0.405037543153599,0.114093678286868,0.0386953369353881,-0.112853662003422,0.128948182090255,0,0,0,0,0,0.0185460406777644
TRX,0,0,0,0,0,0,0,0.41446494952251,0,0.0974272856616834,0,0.38807259067756,0,0.0950687749170808,0,0,0,0,-0.0825935609718577
XMR,0.293265926711673,0.0681329884345031,0.256081355149079,0,0,0.0328827531861527,0,0.124574471130369,0,0,0,0.294120776260766,0.091803935338091,0,0,0,0,0,-0.0395652307204252
MIOTA,0,6.93889390390723e-18,0,0.0621285812149469,0.00262754962119584,0.348597621870712,0,0.244988714223577,0.116518362602081,0,0,0.226627039245931,-0.0896001143536274,0.157152383822465,0,0,0,0,-0.0364641798721936
BNB,0.180907379503927,-0.120923082956318,0.653582515350846,0,0,0,0,0,0,0.0106750391678412,0.113782993273815,0,0.0513769635980648,0.0704336247828465,0,0,0,0,0
DASH,0.341787768568424,0,0.0865117716641325,0,0.0104734373848528,0.0270023378082314,0,0.4205734066083,0,0.0555418951418936,0,0.200831911346971,0,0,0,0,0,0,0.0286892161481239
XEM,0,0.0847091733803388,0,0.189465110789043,0,0,0,0.292367479942811,0,0.0971693950545138,0.110114996119318,0,0.0958625092488586,0,0.114847817994445,0,0,0,0.0316242455751227
BV010082.Index,-0.0814258075176684,-0.192943919438225,0.137603681387581,-0.0109818131035825,-0.0262109023830395,0.0401770587911977,0,0,0,0,-0.18603669144589,0.177778775589026,0,0.124074678840339,0,-0.0358774794132697,0.0443648896595491,0.444483667521987,-0.00621148033553406
CVIX.Index,0,0,0.468455989815604,-0.208130199208902,-0.10794464575554,0.169690515735104,0,0.136271101783106,0,-0.512248657386207,0.0858176036111762,0,0,0,-0.164627176515112,0,0,0,0.0457466101756705
DXY.Curncy,0,0,0.0279445505678599,-0.0594137336892993,0.00560167162020216,0,-0.0130983542383392,0,-0.00764925248808739,0,0.0300169271404598,0,0,0,0.05052597391887,0.0120016825631858,0,0,0.00509080329637085
SPX.Index,0,-0.0660864803772512,-0.118724952325689,0.131909433333176,0,0,0,0,0,0.0204368751578591,-0.00547427442592017,-0.014775594970383,0,0.0244831322215635,0.0581838332771708,0.0500762439022809,0,0,-0.109123627747482
VIX.Index,0,0,0,0,0,-0.530475691506108,0,0,-0.0613765807002231,0,0.449551398924213,0.0896398432746557,0,0.192866044593254,0.531316940753053,1.3114791221434,0,-5.74626824135932,0
