,BTC,ETH,DASH,XMR,XRP,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.134811097277358,0.196848402160035,0.0810071767690216,-0.0308412623182193,0.310585031367637,0,0.170633538897458,-0.234203841695149,0.51218381333285,0.0032817741088209,-0.264968847975756,0,0,0.103087480107977,0,0,-0.208032668358298
ETH,0.201325552159939,0,0.0798849103709112,0.914832489388186,0,0.506631331517202,0,0,-0.167610690556437,-0.225640914069356,-0.30527078521678,-0.381354149544553,0.131961506458085,0,-0.0542914093529587,0,0,0
DASH,0,0.112131744970072,0,0,0,-0.114696325029689,0,0.0897700756748877,0,0,0,0.301941551932627,0,0,0.460026433542226,0,0,0
XMR,0.150121051423583,0.651776211449173,-0.115049327975781,0,0,0,0,0.0573484511090952,0,0,-0.202333015662187,-0.0577691892893886,0,0,-0.495353003422907,0,0,0
XRP,0.140737689980125,0,0.00935765931896996,-0.0930101653679526,0,-0.0853357548383014,0,0.0658713430388077,0.026711116796425,0.439872452149403,0,-0.104930154179862,0.032480621132351,0.412939235939585,0,0,0,0.0959911922467803
ETC,0.707315549635184,0.0903027429755915,0.027361985319315,0,0,0,0.583228250720299,0.0018395134363487,0.0747042186149451,0.169514840150772,0.235396024504179,0.153599434237218,-0.0252416738112409,-0.492055841310857,-0.308575868847905,0,0,0.0827658305210489
LTC,0.27610578545596,0,0.0217877329171514,0.152481534694482,0,0.134622963077032,0,-0.118983878553238,0.05335634098064,-0.0744250892855513,0.0253229871765792,-0.0403779690177797,-0.0290430168277336,0,0,0,0,0.100395251163669
XEM,0.763510113231362,0.262834282383992,0.31924959044447,0.222095593072759,0,0,-1.85987372255019,0,0.0772722185403525,0,0.297735272923662,-0.212507574706446,-0.413597923527206,0,-0.321136749584194,0,0,-0.179050575749693
ZEC,-0.0915995411451888,0.473042161217349,0.197049241856226,-0.29442778966661,0,0,0,0.0497120419651357,0,0.742430892865777,-0.492120942196797,0,-0.151436225828186,-0.890236152615827,0,0,0,-0.224962303849593
DOGE,0.297261376723841,0.0160569067500137,-0.101460004201101,0,0.277343354368571,0,0,0,0.162647282772818,0,0,0,0.159056949204961,0.138589110455115,0,0,0,0.0401789924083472
XLM,0.0848848159127695,0.152262286946397,-0.040717293773249,0.10565112215433,-0.428746230276648,-0.0775613116832414,0.564247065212623,0,-0.214866483227546,0.22341411192018,0,0,0.266042995619443,0,0,0,0,-0.0832496931676062
NEO,-0.389983762042146,-0.383358865174829,0.0296495128898895,0.461072972172135,0,0.456282651145091,-0.401695954219755,0,0.375889304171794,-0.195126301498965,-0.219582465971246,0,0.200501401153006,0,0,0,0,0
DGB,0,0.137681436979169,0,-0.0612507120753139,0.0390871424951603,-0.269748962433333,0,0,-0.0602480007121236,0.795277288027605,0.395624646594825,0.124654274372939,0,-0.293751290499853,0,0,0,-0.452400388792187
BV010082.Index,0,0,0.0746637474957775,-0.0709958894426707,0,-0.0667776321961794,0,-0.0464313267002848,0,0.187159803707735,0.11947802066477,-0.0173409713864371,0.0449809693899416,0,0,0,0,0.122079342708811
CVIX.Index,0,8.67361737988404e-19,-0.0338174842858861,0.0297994188190915,0,-0.0776888537052533,0,-0.141573593051669,0.0945938710005058,0.41467166022721,0.0519449017345751,0.0483726008314852,-0.0796914509650474,0,0,0,0,0.321976336118749
DXY.Curncy,0,0,-0.00565135845133539,-0.00727941115320705,0,0.0242797809684743,0,-0.0117044419439789,0,0,0,0,0,0.125670763787632,0.0288783256782168,0,0,0
SPX.Index,0.0326199249290724,0.0213320561516901,-0.00943138470978478,-0.0125794086553426,-0.0217189054069067,-0.0255997974980901,0,0,0,0,0.0366101349972225,0,-0.00341834320305594,-0.0299514784232019,-0.0112040245435216,0,0,-0.0273419820285951
VIX.Index,-0.527517098830583,0,0,0.218037917871912,0,-0.259314540283568,0,-0.14284495878691,-0.0179852367841829,0.292741643978421,0.529730167044138,0,0,0,0.455712499055352,0,0,0
