,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,ETC,MIOTA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0265094911166638,0.0313972808700755,0.0220228559080169,0,0.119321407091776,0.0125443740433437,0.179964550352775,0.139097722079149,0,0.0369593154318924,0.0463832936840201,0,0,0,0,0
ETH,0,0,-0.03322625244363,0.0161735672566198,0.113593030047335,0.00114191663811989,0.144188200825935,0,0.104296063528825,0.0560871547416763,0.147425266253979,0,0.13979432457134,0.0270881190572305,0,0,0,0,0.0830000851426266
XRP,0,0,0,0.0926441437126787,0.284794402473282,-0.10856085583655,-0.233826030696287,0,0.108916422106534,-0.155380942590373,0.238229880627407,0,0.248610424989598,0.0715383206927008,0,0,0,0,-0.129995947526795
BCH,0.245225136336815,-0.702328599567481,-0.0345611400821164,0,0.445441499347811,-0.0159684871461997,0.371597149235964,0.0651892592965369,-0.0643833025948644,0,0,0.25417581593095,0,0.128887552190436,0,0,0,0,0.178726300548065
LTC,0,0.227089723073368,0.0522966296805983,-3.46944695195361e-18,0,-0.0374662160294855,0,0.0120580262556096,0,0.725565726321073,0,0,0.00170133634197952,-0.0482212967001205,0,0,0,0,0
DASH,0.200454935069897,0,0.086790239314741,0.185372041320634,-0.251956015101201,0,0.307087293700936,0.0446333693883646,0.140611984062931,0,0,0.0944751297251918,0,0,0,0,0,0,-0.123704283777962
XEM,0,0.648213659677613,-0.101524438816839,0.0229773486205334,0.0735630031671505,0.266452252823707,0,0.0623690779669556,-0.0842660002334409,1.73472347597681e-18,0,0,0.0668127265480782,0.211874665439502,0,-0.0790101642487819,0,0,0.0736017215095398
NEO,0,-0.1826100077154,0.00675905854651479,0,0.572386288597478,-0.0324969562444244,0.156932177970727,0,0,-0.391807555863315,0.279694127773003,-0.00107746929282692,0.439596473126634,0.144203497019726,0,0,0,0,-0.396010839848232
XMR,0,0,0.346654018883429,0.0619548905442,0,0,0.0855488487423242,0.121665495078322,0,0.134469554428485,3.46944695195361e-18,0.18055455672552,0.0276655090782148,0,0,0,0,0,0
ETC,0,0,0,0,0.672045865939961,0,0.0458509779034498,0.00935492323872758,0.113330105480087,0,0.0378615988252898,0,0.194709263429898,0,0,0,0,0,0
MIOTA,0,0,0,-0.0164793838298324,-0.301355854929843,0,0.171739002072944,-0.193624422957644,0.101099971544144,0.184750037082112,0,0.472725840084996,0.0559013988538003,0.381861097753623,0,0,0,0,0
ZEC,0,0.209289760248008,-0.0962241728247305,0,0.0509003659553968,0.277744361980372,0.18480356861698,-0.104174067025828,0.156531806694767,0,0.111360010748023,0,0.120854888039191,0.189044101870251,0,0,0,0,0.0690630246017858
XLM,0,0,0,0,0.00847043968943006,0,0.37157616315069,0.0526870103969979,0.202228644034586,0.104881991689588,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.102416372411226,0.269722205887103,0,0,0.253299291804234,0.240636766374575,0.0739677309055885,0.244608527753554,0.0113576084360959,0.153539433579385,0,0,0,0,0,0
BV010082.Index,0,0,-0.0157301431003226,-0.00465516558652223,0,-0.0866624662844058,0.00962979970817572,0.00537800036597497,0,0,-0.0226360506042083,0,0.0508119447573107,0.0746474911386307,0,0,0,0,-0.0682516227392983
CVIX.Index,0.107318320818888,0,-0.0242957058202903,-0.0124956882923798,0,-0.186309983472569,0.0127692747652051,-0.0182640863550346,0.0521449998944489,0,0,0,0,-0.0262024802116213,0,0,0,0,0.0986918010360298
DXY.Curncy,-0.00141836686988207,0,0,0.00427398239888354,0.00178040371335334,-0.0378603109360044,0,0.00912104331154117,0.00620641697356943,0.00196442531142371,0,0.0131283796440899,0,-0.00324327976766434,0.0201987145120491,-0.00723547056959039,0,0,0
SPX.Index,0.0132337365547243,0,0,-0.00890930376329856,0,-0.0013131326384444,0,0,0,0,0.00137528650526694,-0.0153196653963243,0.00276362093143687,0.00169418466460546,0,0,0,0,-0.0353746096055026
VIX.Index,0,0,0,0,0,-0.156100781409355,0,-0.427460275220249,0,-0.00202285692808337,0.344309423593257,0,0.275385159540006,-0.152408984040686,0,1.68045896819852,0,0,0
