,BTC,ETH,XRP,MIOTA,LTC,NEO,XEM,DASH,ETC,XMR,EOS,ZEC,BAT,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0128871446360486,0.318687399135604,0.0396099446294904,0,0.0726577704420871,0,0,0.0549253157988496,0,-0.0688504626299926,0,0,0,0,0,0.224138862472068
ETH,0,0,0.109946828279003,0.114837227459647,0,1.73472347597681e-18,0,0,0.282384017158286,0,0.0415571078719635,0.0364730227404487,0.1810081956297,0.13283190832102,0,0,0,0,0
XRP,0.268088559145342,0.134931047906016,0,0.0311695581854518,-0.170967039887971,-0.0459730336958587,0.0807004404294242,0.0347106117778474,0.335664686634587,0.167094292431395,0,-0.115478571752958,-0.000443696679396232,0.259393463066029,0,0,0,0,0
MIOTA,0.659425976367025,0,1.12145674267295,0,-0.17627811237646,0.0668352551450771,0.498122269146902,-1.38777878078145e-17,0,0.286625931805358,-0.0200819305678562,0,-0.400144350003803,0.0917584188148303,0,0,0,0,0
LTC,0,0,0,0.0580683622482439,0,0.0307329228547692,0.0623472703637829,0.062705555594763,0.208598103980523,0.00230849855105078,0,0.127553062795928,-0.0232866397819131,0,0,0,0,0,0
NEO,0,1.20453842998673,-2.07876213860623,0,0,0,0.701074240276102,0.844715897929988,0,0,0.00756030269807546,0,0,0,0,0,0,0,-0.148079166986828
XEM,0,0.0501805865696585,0.42560416151501,-0.019244129910042,0.141320861202522,0,0,-1.98952600992925e-05,0,0.232125470405794,0.115981641806131,-0.1074327464951,0.0594967491099416,-0.0870799326863397,0,0,0,0,0.131776766848738
DASH,0.0423272833296679,0.17836427116198,0,0,0.11538612744475,0.0298007332740397,0.140041194348479,0,0.136629662673432,0.299898873987794,0,-0.0344034438151612,-0.0239695695999771,0,0,0,0,0,0.11669073786984
ETC,0.121987535531653,0.238850669889236,0,0,0.163075044462243,0,0,0.113847233768398,0,0,0.0283004859661881,0,0,0.17399736484313,0,0,0,0,0
XMR,0,0.0130555596421676,0,0.0561094031475391,0,-0.0314104827243813,0.184920972662246,0.449573359019958,0.0124905029718406,0,0.0459068457692859,0.149243237478412,0.0736804125548967,0.0617756558369791,0,0,0,0,0
EOS,0.366376465508352,0.309981177357508,0,0.0511234857199049,-0.455112823890885,0.0794870342318704,0,-0.273979459745812,0.692037830570168,0,0,0.592205376298403,-0.220952436227863,0,0,0,0,0,0
ZEC,0,0,0,0.123099055767823,0.0256106024190768,0.0190727758501233,0,0,0,0.202714743573929,0.00944518830630049,0,0,0.405718994430814,0,0,0,0,0
BAT,0,0.292542527746515,0,0,-0.0592241846751095,0.0225332474484192,0.214719224540074,0,-0.32359905633003,0.320248203118135,0,0.238442443629445,0,0.406886981686217,0,0,0,0,0
DOGE,0.239770300943455,0,0.443841593374025,0.0449240584142258,0.18176139663753,-0.0099135732682764,0,0.0409397935319239,0,0.127873635836028,-0.0421904291451925,0,0.0885558632349972,0,0,0,0,0,0
BV010082.Index,-0.0903766659690392,0,0,0.00688562816005068,0.0153043336431899,0.000538811468013848,-0.0319132266764541,0.0705940539015673,-0.0203319862677427,0,0,0.0486831236483477,0,-0.0151976385943828,0,0,0,0,0.0319333381737926
CVIX.Index,-0.112244378880062,0,0.0525408812552318,0.0580574494774889,-0.0217077078991716,0.0289114729432402,-0.0301200925722191,-0.0380566898883633,0,0.0843683459559142,0.0293744970817006,-0.144836747632655,-0.0281203463151781,0.0755695551846632,0,0,0,0,-0.00031252078105249
DXY.Curncy,0.0292159910841945,-0.0290302139534397,0.0294598593134657,0.00672998280583741,0,-0.00577706710896004,-0.0100498244440414,0,0.00850467769377693,-0.00243447343873607,0.00363307930511025,0,0,-0.00800072244079387,0,-0.0299951589779027,0,0,-0.00667534685511748
SPX.Index,0.00251293265148438,0.0127547517299808,0,0,0,-0.00080569872211514,0,0.00130744378477784,-0.0064886859020529,-0.00627400356235365,0.000989991116913425,0,-0.0019692294505615,0,0,0,0,0,-0.0633144620239042
VIX.Index,0.186633569521796,0,-0.0487052438212113,0.000873609745976174,-0.227712123895069,0,-0.17570715384698,0,0.0665069791145864,0,0.0619590860983806,0,0.177539670438452,-0.140257017681234,0,0,0,-7.16114199184478,0
