,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,LEO,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.000529022526341406,0.130033591698125,0,0.446053121244786,0,0,0.134257902725357,0,0.0342884994255261,0,0.0461705677299744,0,0,0,0,0,0,0,0
INNBCL,11.2072445492126,0,17.0098488435029,0,0,0,0,-27.9930603250679,-3.72366136748506,0,5.52823557670156,1.82414280825814,9.41795114668517,0,-11.9122291494206,-6.37434793963472,1.54466348561609,0,15.9636850534483,0.675195215727939
ETH,0,0.00146456089462775,0,0,0.264093720614114,0.0535472974182823,0.0421196652762705,0,0.0407585225165477,0.303238260138765,0,8.67361737988404e-19,0,0,0.265031561926931,0,0,0,0,0
XRP,0,-0.000152899685157032,0.144232282447217,0,0,-6.93889390390723e-18,0.165111531059607,0.203041405295582,0,0,0,0.0462916423414117,0.25652306811784,0,0,0,-0.0249860663942344,0,0,0.026532672487734
BCH,0.0997481679690206,0.00226850060206588,0.371596539450785,0,0,0.261620434333495,0,0.0792733530492516,0.0850505757035367,0.0855125107513035,0.0114379060775313,0,0,0,0,0,0,0,0,0
BSV,0.345966191786661,-0.00750846711901928,0,0,0.378212224123776,0,0,0.231579412227794,0.16585186001577,0,-0.0374691240352748,-0.0112201037297221,0,0,0.0690104218114002,0.0672047245266275,0.103874548438572,0,0,-0.0413808680397548
LTC,0,0.00132715450768867,0,0.0840128520818962,0.100115632429714,0.150972120896291,0,0.120665965495876,0.481402521636789,0,-0.0197200758023911,-0.0811522591743224,0,0,0.0865037886939563,0,0.094526753623075,0,0,-0.0341140670367101
BNB,0.0320374298702711,-0.0047415887957371,0.357205510921987,0,0.434898591374937,0,0,0,0,0,0,0.106598868806397,0,0,0,0,0,0,0,0
EOS,0,-0.00396924740927824,0.32824861918776,0,0,0.18788009170771,0.371252241348849,0,0,0,0,-0.0146334530338209,0.067964827775605,0,0.0263071762446516,0,-0.0199851645727378,0,0,0
XTZ,0,-0.00400881302988604,0.106013255285862,0,0,0.201675792025366,0,0.175543844624778,0,0,0.0994559726628013,0.456506672504147,0,0.240721087447247,0,-0.0217828873876914,0,0,0,0.00596933376346985
TAGZ5,0,-0.0100530544759615,0.672535935892221,0,1.18044653629844,-0.122047820135427,0,-1.61035018790355,0,0.467618880079422,0,0.393360949803247,0,0,0,-0.511997945557034,0.118055307116468,0,0,0.0547901711263814
LINK,0,-0.000380720728005356,0,0,0.0949825716980139,0.150100714932237,0,0.172037187854129,0,0.595146646396266,-0.0203568460390645,0,0,0,0,0,0.0211080787878197,0,0,0
XLM,0,-0.00224544814558335,0,0.266407742963186,0.293618976160664,0.0980797391066898,0,0,0,0.0733179296635141,0,0,0,0,0.0425828005858552,0,0.00907449357803368,0,-0.0243125280231992,0
LEO,0,0,0,0,-0.126810097631573,0.012476063155151,-0.188072112370524,0,-0.00712419630250912,0.0830751977488656,-0.00934683403686343,0.119539178524218,0.0194231759569776,0,0,-0.00338083033466011,-0.0143472106459471,0,-0.139294631452069,-0.0679379174313144
XMR,0.0450267648667417,0,0.166987324080446,0.00981663699617453,0,0.0827994284936798,0,0.127285255246885,0.317927087143607,0.121089785347032,0,0.00594373629195101,0,0,0,0,0,0,0,0
BV010082.Index,0,0.00322041621086101,0.210692696848356,0,0,0.208988976182173,0,-0.964141752466434,-0.0826594220157531,-0.812785248891679,0.0880172338491781,0.623671871618643,0.795239736805967,0,0,0,0.129052239800573,0,0,-0.0132811163285206
CVIX.Index,0,-0.00207005992174615,0,-0.297858609497631,0,0.0716027689773429,0,0,0,0.257515871826907,-0.157500198327085,0,0,0,0,0.502657295606909,0,0,-0.847228537457999,0.3633390421652
DXY.Curncy,0.0550822155785243,-0.000314063409037,0,-0.194674272866842,0,0,0.0158303096124784,0.0286668947385055,0,0.0422901008592687,-0.00211616730460078,-0.0291797366196819,0.0731350287286898,0,0,0.0152874441791645,-0.0160419497195064,0,-0.0169164966577487,-0.00826800732788474
SPX.Index,0,0.0014716894107133,0,0,0,-0.139535676019626,0,0,0,0,0,0.162694411469406,0,0,-0.0570990054362102,0.241861233988172,0,0,0,-0.206001915035678
VIX.Index,0,0.0381831611584896,0.121847940796585,0,0,0,0,-0.732154588679326,-0.577814285363044,0.909505903186277,0.0658088058210327,-0.579351442701151,1.18031204659827,0,-0.458297575262908,-0.0593529100885449,0.0265913115109997,-1.04265080626497,-1.16325047221584,0
