,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.12128994382261,0,0.325539561451218,0.0432036464144282,0.14763085956191,0,0.0397380202660066,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0351715285120759,0.143874202998177,0,0.0591035215096113,0.00405546153408376,0.099097417210719,0.243588459745494,-0.0593404059400449,0.144910033696474,1.73472347597681e-18,0.275270986296126,0,1.73472347597681e-18,0,0,0,0,0
BCH,0,0,0,0.292576178478249,-0.412001390051192,0,0.84332398561326,0.18825700323507,-0.602080631745556,-0.0705240482514636,0.653861204660515,0.664060851406745,0,0.4110822060468,-1.24527929142156,0,0,0,0,0
XRP,0,0.403393096607176,0.063561958384185,0,0,0,0,0,-0.0759247105393493,0.0394238611242249,-0.0715473188262727,-0.129959127733614,0,0,0.481802114496688,0,0,0,0,0
LTC,0.281040004347697,-0.00397241678483856,0.0446902438400148,0.0394438578942533,0,-0.294346919538123,-0.0688571520314164,0.0618747394487674,0,0.0915523855086808,0.720199819664325,0.22873872609834,-0.0893424543674471,0,0,0,0,0,0,0
DASH,0.212138255351372,0,0.0655954724768253,0,0,0,0.0892461485292186,-6.93889390390723e-18,0.00980759782287489,0,0,0.322975211148338,0.0546373174247757,0,0.0899066323002067,0,0,0,0,0
XEM,0,0.0691367100977255,0.0517154227268618,0.0681606148162294,0,0.462350245078771,0,-0.120854872806666,0.0287682684547456,0.137105788055826,0.0582075146356814,-0.130975962742521,4.33680868994202e-19,0,0.41419931386955,0,0,0,0,0.154024930582855
XMR,0,0,0.100582002903347,0.0997050838917023,0.0377573133532429,0,8.67361737988404e-19,0,0.105182577501499,0.0959065715180404,0,0.0239614508063457,-0.035716512574841,0,0.430491207775921,0,0,0,0,-0.0796518974388771
MIOTA,0,0.179748384471837,-0.0821309712580207,0,0,0.250751188859499,0.142040245919394,0.121099819538228,0,-0.0541274061470439,0.0807050374971878,0.176057108533927,0,0.198965271510858,0,0,0,0,0,0
NEO,0,-0.0562963502558479,0.0148004974898569,0,0.696208367793792,0,0.282317305359308,0.177269189877102,0.304851067239803,0,-0.513821542187273,-0.10538084426596,-0.00195306021321009,0.193579164463346,0,0,0,0,0,-0.260430065590799
ETC,0,0,0.0199938650157237,0,0.66470310790639,0,0.0656675805033437,0.163542503048809,0.0608442207630404,0.0261006181204749,0,0,0,0,0.0774476477721152,0,0,0,0,0
ZEC,0,0.0271055948353679,0,0,0.138643577955366,0.221435134307936,0,0.0603250303419917,0.206816103997925,0.00860148385664689,0,0,0.00693963817008945,0,0.108226965157931,0,0,0,0,0
BAT,0,0.101819950102713,-0.0405782459757984,0,0,0,0.166858266429359,0,0.0373298358045768,0.165852254495879,0,0.253984415399596,0,0.0677079577540911,0.277381237743116,0,0,0,0,-0.120349187268462
EOS,0.0656092169187798,0,0.0925540864436405,0,0.38340802277602,0.0578655303954456,-0.130275414540321,0.200221004142916,0.247904733810114,0.198936819324355,0,0,0.0863835005002522,0,0.204776841346378,0,0,0,0,0
XLM,0,0.0123807137790708,0,0.0268459163585856,0,-0.213581935846125,0.137364165988915,0.536425553517416,0,-0.0287264042485533,0.0652360089626367,0.0482577912482373,0.267074712226391,0,0,0,0,0,0,0
BV010082.Index,0,0.0168445485034697,-0.0114844537006301,0,0.0667263498269988,-0.0200158172779101,-5.42101086242752e-20,0.0232765424105456,-0.00665344781193016,0,-0.0289885457273337,0.0360277145933713,0.0236674228720809,-0.030933785035693,-0.0158840401376125,0,-0.140644157726422,0,0,-0.0735614993962831
CVIX.Index,0.0478061493175411,0,-0.0183926272441062,0.0677873831287861,0.0726031096355764,0,0.0155299005634609,0,0.0465291522571713,0,0,-0.121582845144662,0,-0.0755377070170085,0,0,0,0,0,0.0737656718068296
DXY.Curncy,0.00590632110431281,-0.00916179695727207,0.00221487830682518,0,0,0,-0.00420130684581547,0,0.0132152468534246,0,0,-0.00948738545146377,0.00391362258005359,0.00808399516083353,-0.00554697823848337,0.0387780733733178,-0.00942329489863096,0,0,-0.000970236496744077
SPX.Index,0,0,0,0.00532325521627435,-0.00739372978132661,-0.0136187136255172,0,-0.0109873155433529,0.00377450312801163,0,0.0128695442717169,0,0.00346789467810196,0,-0.000928185274834505,0,0,0,0,-0.048038822133018
VIX.Index,-0.114861772966645,-3.46944695195361e-18,8.67361737988404e-19,0,-0.13842558939522,-0.185993597969502,0.364557511746532,0,0.156572631007904,-0.062824939580616,0,0,0.167735119332317,-0.324853633889684,0,0,2.23609154558495,0,-0.979524830897489,0
