,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.325133370565087,0.142764987608705,0.251385550146037,0,0.129654552553116,0.0280244014915864,0.0775112527648967,-0.136519495685207,0.0919676831263899,0.0679518427369627,0,0.0567582247537446,0,0,0
ETH,0.276315465545773,0,0,-0.201309458521865,0.0893543653406344,0.222650265453713,0,0,0,-0.00713448265974482,0.042624031086949,0.155175057080306,0.179279991993633,0,0,0,0,0
XRP,0,0.167302374083739,0,-0.0562541706120585,0,0,-0.141281030376878,0.0881298869479646,0.47884708016145,0.0823904531063245,0,0.00892765277428412,0.0289935049855661,0.171615349797316,-0.0589188508686388,0,0,0.0874132449358872
LTC,0.678514197668432,0.0201011527378175,0,0,0,-0.172653162602321,0.138793809446402,0.129093386548871,0,0.0928876087627313,0,0.00658358810840756,0.0105821430992046,0,-0.118256244540936,0,0,0
XMR,0.0770493543342045,0.468488238567369,-0.565852815143621,0.454679518340703,0,0.114158744998184,-0.179542611779711,-0.197499044594142,0.256307170580978,0,0.208986844373021,6.93889390390723e-18,-0.140784659641146,0,0.481915043537975,0,0,0
DASH,0.372761217603551,0.0772209764399403,0.0551794020716743,0,0.214931407663767,0,0.47212218020345,0.102310992181351,0.268347347058173,-0.133240443108924,0,-0.0242608560245479,0,0.849206883650255,0,0,0,0
ETC,0.999326431258643,0.378647999613314,0,-0.035123054110592,-0.339708167091581,0,0,0.0502634591659836,0,0.104479672078799,0.269937184586891,0.00292651881030767,0,0,0,0,0,0.0188739278455859
XEM,0,0.0494359747421124,0,0.0824874077492895,-0.0555223466498857,0.108301690078434,0.220484694369586,0,-0.183131534762474,0.266876351159297,0,0.0324784605435517,-0.376468994787077,0,0,0,0,0
DOGE,0.1723377436318,0,0.238050769193439,0,0,0,0,0,0,0,0.213391881692325,0,0.0634739828468345,0,-0.0866857603291354,0,0,0
ZEC,0.461946017018803,0.0679755151106918,0,0.285360385513685,0,-3.46944695195361e-18,2.16840434497101e-19,-0.0448010095743967,0,0,0.167300183136839,-0.235291547789987,0.118102073232557,0,0,0,0,-0.0532722756806224
XLM,-0.0299963809693227,0,-0.147398400671582,0.0208344957192302,0.00321440249267194,0.0984358561184424,0.189919079424566,0.0721508011375313,0.31388264418954,0.0601332085311213,0,0.0712302957223324,-0.0760046705677292,-0.316861744155161,0,0,0,0
NEO,0.249802916638845,0,0.424257827218704,-0.204699724873238,0,-0.425140351638817,0.0500220142265141,0.104030109247192,0,-0.0272404927507018,0.808370875838916,0,0.0510982753629199,0,0,0,0,-0.383635408267489
DGB,1.15069512677588,0,0,-0.810634188159771,-0.501446442314102,0.319383062190994,-0.000669258515088638,0.0719545945053776,0.0857356002375119,0,0.244640859259724,0.20300467833909,0,-0.0268755697909744,-1.06589835163336,0,0,0.355572725523468
BV010082.Index,-0.262490764870322,0,0.00245877916927601,-0.037237336816769,0.132867916515625,0.0463636682352402,-0.0281157758117014,-0.0296444055185315,0.220224512975715,0.0178885405258969,0.0397338148028294,0.0221131405205603,-0.040100372286747,0,-0.0689583114358995,0.44099070584235,0,0
CVIX.Index,0.123489536051765,0.150438554463431,0.102833056781074,0,0,-0.0236045470940168,0,-0.1653875222845,0.0488240469698847,-0.0169343212125944,-0.0572601284414639,-0.0462694761349197,0,0,0,0,0,0.0290815211304948
DXY.Curncy,0,0.0207939421748865,-0.0595617603073006,0.0277266790567307,0,0.00605351850607214,0,-0.023270651725186,-0.0127913639570497,0,0,0.00962070881181105,-0.0118159884773489,0.195589449866103,0.0385946764805228,0,0,-0.0198035474907149
SPX.Index,0.00738530939228216,0.00884941389973535,-0.0154102077546547,0,-0.0130035832045475,0.00849644676485212,-0.00839462311199572,0.00153496817293111,0,-0.00235831259243454,0,0.00675991825055364,-0.00153162865610359,0.060228004521607,0,0,0,-0.0595595713856647
VIX.Index,0,-0.208455727108703,0.393057190664548,0.110765917632725,0.236342986164688,0.169510848233244,-0.597962584700678,-0.272675156543606,0,0,0.188339868214543,0.101303641773344,0,0,0.242659598842879,0,0,0
