,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,ETC,DASH,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0183606889160727,0,0.184043229451994,0,0.0811519607849851,0.224000059608233,0,0.0104761337341486,0.0400693197132544,0.162571957191616,0,0.048818405779571,0,0,0,0,0,0,0.053737048899576
ETH,0.081537995853295,0,0,0,0.0171981431077099,0,0.210219875192524,0.0283997506521398,0.0157061470887882,0.126532551698025,0.142373700039025,0.061544357675563,0,0.137404016011216,0.117121226799844,0,0,0,0,0.0410917415403192
XRP,0,0,0,0,0.159333549492884,0.0797736800052391,0.1302626705083,0,0.211570416413984,0.0571870359739025,0,0.0958575139827137,0,0,0.137176977412303,0,-0.108351149579266,0,0,0.110387304243073
BCH,0.267647853565341,0,0,0,0.139276322803948,0,0.035004061557426,0.0508912564635128,0,0.245818365731514,0.228360415046391,0.0584272344927716,0,0,0,0,0,0,0,0
EOS,0,0.165349889249278,-0.359400224556596,0.154993358025052,0,0,0.320562280589352,0.249570254138299,0.0600167136134112,0.23089826420049,0,0.0219942152802797,0.0352920878289131,0.248567386238456,0.28030417004406,0,0,0,0,0.106407906544726
XLM,0.0788649173933916,0,0,0,-0.123667174572374,0,0,0.294240350142835,-0.0673711412505698,0.177178403070189,0.244588299944099,0,0.321722746628091,0.232884122778816,0,0,0,0,0,0.0233560995945773
LTC,0.0220758061417633,0,0.190136237486362,0.0286643242488971,0,0,0,0.332938752992952,0.0693295154413057,0,0,0.144308560202707,0,0.00462400169602868,0,0,0,0,0,0.0394117950505082
ADA,0,0,0,0.0726267930043986,-8.67361737988404e-19,0.366169592796832,0,0,0,0.279326501325322,0,0.0792772990194998,0.0465588268871519,0,0.0266799392854873,0,0,0,0,-0.0625078159107012
MIOTA,0.19344512718052,0,0.143243882340404,1.38777878078145e-17,0,0.321098677283069,0,-0.231035246616771,0,0.219500206819678,0,0,0,0.602735896727026,0,0,0,0,0,0.111638223784126
TRX,0,0.122028469235886,0,0.216131776568629,0.350880737043027,0,0,0.0558447894731996,-0.0328340537459231,0,0,-0.0332427447971363,0,0.130219486742721,0.10927283817597,0,0,0,0,-0.0212329765180853
XMR,0,0,0,0.314763688542669,0,0.0756283753700462,0.18376023350449,0.195283315761181,0,0,0,0.106574963007463,0,0.172165557203514,0,0,0,0,0,0
ETC,0.35669790216084,0.544251687291903,0,0,0,0,0,0,0.389849549637429,-0.101228652654597,0,0,-0.403667104218737,0.0477484031994175,0.202118606596032,0,0.0570733063385995,0,0,-0.0846774615439997
DASH,0,0.0911095635033562,0,0,0,0,0,0.304201377522835,0,0,0.100890161403431,0.0579436229468665,0,0.154808690556027,0,0,0,0,0,0
NEO,0,0.301045460870397,0,0,0,0,0,0.00897035816491384,0.330455273856801,0.270506906364819,-0.122867040207439,-0.167620129060766,0.406456459247014,0,0.0538621619864039,0,0,0,0,0.0917054469658724
BNB,-0.376185647490255,0.700903170846128,0,0,0.222895497238042,0.0353149212680244,-0.190856073381034,0,0,-0.072450448488455,0,0.017621471502264,-0.0400379512192985,0.136794582166331,0,0,0,0,0,0
BV010082.Index,0.0125724333198092,0,0.0850595259157827,0,-0.0317090771917096,-0.0209363507763593,0,0.022229182855947,0,0.0221178080679433,0,-8.67361737988404e-19,0,0.00303133798325534,-0.048785476330438,0,-0.203327696771273,0,0,-0.0173137304331103
CVIX.Index,0,0.0442784487008876,0,0,0,0.0630216010471251,0,-0.0845008245298287,-0.220448594692259,0.0976494203717296,0.152457164799617,0.0322475978386433,-0.267762733122845,0.253688387250322,0.0473634526683725,-0.48449256709828,0,0,0,0.0842023006121518
DXY.Curncy,0,-0.0416186271306061,0,0,0,0.00745198471216505,0,-0.0173336598595806,-0.0209600535495728,0,0.0346188445089572,0.0276271798062305,0,0,0.016294613524556,0,0.14700726130568,0,0,0
SPX.Index,0,0,0,0.015239857706156,-0.0152598393001722,0,-1.73472347597681e-18,0.00857540093851353,-0.0143034269513465,0,0,0.00368220388044113,0,0,-0.00198230652486508,0,0.0551408042016632,-0.0859143361677676,0,-0.0653554187866951
VIX.Index,0,0.103148965270583,-0.64800968345874,0,-0.0229629368491942,-0.0128603119476099,1.38777878078145e-17,0,-0.266175481770868,0,0,0.312595680774181,0,0.543533799607707,-0.286004079109712,0,0,0,-5.40957136286258,0
