,BTC,ETH,BCH,XRP,DASH,LTC,BTG,MIOTA,ADA,XMR,ETC,XEM,NEO,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0982655175349543,-0.106198514104306,-0.0548877606468688,0.315223884350584,0.0152523857105577,-0.107019390892887,0.168640225345604,0,-0.0152483263261055,-0.390393080923724,0.109232380257621,0.128265406385478,-0.0468741564656435,0,0,0,0,0
ETH,0,0,-0.031690494104199,0.196355402359132,-0.103931768581954,0,0.0690289647912659,0,-0.0378070395613025,0.164442222068893,-0.077229148646694,0.135128395085574,0.0764828438003076,0,-0.00907576434293693,0,0,0,0,0.00662801485466673
BCH,0,0,0,-0.0263981582885991,0,-1.49334424389941,0.21525042320586,0,-0.0528303918246449,0,0.441024416606581,0,0.664029497137394,0.170955487753697,0,0,0,0,0,0
XRP,-0.144781401098287,0.415662623223523,-0.004624875603283,0,-0.17670556264099,0.166266088484647,-0.0457186314217909,0.14776009628728,-0.0425824526966127,0.338245476802119,0.0274871706347411,6.93889390390723e-18,0,0.0948602033049245,8.67361737988404e-19,-0.101770107016099,0,0,0,-0.211856390581697
DASH,-0.609576284040027,0,0.0358833387679282,0,0,0.0747280856907169,0.0718888464347229,0.157247992226541,0.08554088789401,0.117031788174851,-0.302848052414118,-0.208564738058363,0.0746075304877128,0.0653828703013432,0,0,0,0,0,0
LTC,-6.93889390390723e-18,-0.0298348454966219,-0.0739086893971804,0.275180510450915,0,0,0,0.0262417069687608,-0.0444616191478025,0.0937001289218696,0.0613858560603288,0.267370864163823,-0.0352610158803869,0.0810732331749909,-0.0437439365524528,0,0.245005019369388,0,0,0
BTG,1.82867717226883,0,0,0,-0.313681197451805,-1.11678260617438,0,0,-0.03000042609484,0,0.736018324368977,-1.85429113983343,-0.188807419907292,-0.944995863598909,0.257670329989553,0,0,0,0,-1.11588276794809
MIOTA,0,0,-0.146966056829297,0.24302408435759,0.198585362654582,-0.43948926989113,-0.017117539185695,0,0.203138779098521,0,0,0.525716369885793,0.0866192071416273,0.128409365731937,0.085701071415019,0,0,0,0,0
ADA,0,0,-0.00416885461416433,0,0.209709755867452,0.794604397747651,-1.0842021724855e-19,0.169160305247779,0,0,0,0.492140270340964,0.511036975707209,0,-0.0491428211345085,0,0,0,0,0.621369692028917
XMR,0,0.00319981930750623,-0.0311782219031676,0.0858084676961429,0.117981178422597,0.119038406926623,0,6.93889390390723e-18,0.132219297218394,0,0.142349744067944,0.301413235348056,0.0779263978094577,0,0,0,0,0,0,0
ETC,0,0,0.267939076196661,0.359631679998477,-0.385359862827538,0,0,0.0776050716679224,0.10009139841271,0.256719201224794,0,0,0,0.00920414266031857,0.0516325473222208,0,0,0,0,0
XEM,0,0.377209938633803,-0.0212261772202153,-0.06552239153698,0,0.141005831800818,-0.0433959730423224,0.175803018267966,0.0478731018726481,0.0789137750315421,0.0365519928357141,0,0.0543148815482361,-0.0380391139384193,0.0553340414928925,0,0,0,0,-0.00777439607160148
NEO,-0.150899149694428,0.578787287578587,0.101636493536931,-0.393040794865374,0,0,-0.106375825385156,-0.105670806736038,-8.67361737988404e-19,0.286654390848789,0.160022935081976,0,0,0.0572002362136943,0.15053043389229,0,0,0,0,0
EOS,0.499755592370031,0.530455070389673,0,0.284202881830757,0.185347068657401,0,-0.075566474959655,-0.0750598093308753,0.0135908623719079,-0.563529847475463,0,0,0.0826227878279742,0,0.110722658063094,0,0,0,0,0
XLM,0,0,0.264811840739292,0.340604693328997,0,0,-0.0868611259480591,0.372946489271054,0.282339828302309,0,0,0,0,0.336821659295679,0,0,0,0,0,-0.119721427435771
BV010082.Index,0,0,-0.0397423936600363,0.036940362373652,0.0191375971204057,-0.0725742019760035,0.00527910626547268,0.0262118817437839,-0.0135420895966794,0,0,0,0.0411232737701534,0.00842622919514398,0.00279132143462002,0,0,0,0,0
CVIX.Index,0,0,0.00451064210702393,-0.0730808727401543,0,0,-0.00632543621113882,0.0118748129471627,0,0,0.034862653553626,0.0747221924606471,0,0,0.0199263693845599,0,0,0,0,0.0674489293734565
DXY.Curncy,-0.00211584996113324,-0.0364353582817268,-0.00796077613966711,-0.00641464489036045,0.00779177307677205,-0.0231457931607365,-0.00683507164691906,-0.00980542804748414,0,0,0.0253130285178777,0,0,-0.00283103437407217,0.00369333335068616,0,-0.0651662046415809,0,0,-0.00569676609631539
SPX.Index,0,0,0.000493839695881915,0,0,0,0,0.00253402543932308,-0.000905211399833006,0,0,0,-0.0043148277592725,-0.0088123616418402,0.00252189024705778,0,-0.0817835136890747,0,0,-0.0186726187896423
VIX.Index,-0.370669931813732,0.247787225909935,-0.43150777692893,0.179551346563686,0.194424399668246,0,0,0.294657355260289,-0.0860448890033718,-0.322789594178368,0,0,0.20108661034535,0.00368055417014275,0.0192261506931853,0,0,0,0,0
