,BTC,ETH,XRP,XEM,LTC,DASH,ETC,MIOTA,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0566520863873892,0,0.185202996729828,0.298092692991626,0.078362392359722,0,0,0.0368984339086064,0,0.0352446541493979,0,-0.0741281775578042,0,0,0,0,0,0.207318702844185
ETH,0,0,0.194089892946151,0,0,0,0.226589436515055,0.15381940253606,0,4.33680868994202e-19,0.0538284031586178,0.0156031497839512,0.0432000753324567,0.214771488167345,0,0,0,0,0.144980266118284
XRP,0,-4.33680868994202e-19,0,0.107439500321769,0,0.092635190016849,0,0.0132046775420567,-0.0767443200796179,0.0177019657203006,0.0422017828645771,0,0.168142527848079,0.481826064381244,0,0,0,0,0
XEM,0.306749118875227,0,0.270299128697656,0,0.156194635735011,0,0,-0.000825184126981847,0,0.277615126920671,0.120227394974442,-0.125034096239052,0,0.0118056906566817,0,0,0,0,0
LTC,0.308032006194455,-0.0479103451637193,0,0,0,-0.140969287468017,0.218996721211374,-0.0336560597148569,0.131073378736256,0.0244700660104418,0,0.0878075838332537,0.00966239760555923,0.177898177611929,0,0,0,0,0
DASH,0.0634187860098215,0.127150388847854,0,0.178367109640666,0.123426309480938,0,0.151717123644254,0,0.0386637088829543,0.179013833360816,0,-0.0264598303663892,0,0.0710224006207853,0,0,0,0,0.130685815591726
ETC,0.0163931206773795,0.271318640481447,0,0,0.114953320466976,0.0356898717422427,0,0,0,0.212236379460981,0.0205623951018359,0,0,0.124930171863539,0,0,0,0,0
MIOTA,0.272109116586144,0,1.14489354276335,0.0924984488124896,0,0.0344307926694675,0.228938724932854,0,0.042393173463467,0,0.0293524700920229,0,0.0926395248087589,6.93889390390723e-18,0,0,0,0,0.0989179577529675
NEO,0,0.284300666512865,-2.03864050518372,0.835478052289951,-0.283986375655264,0.952555915908461,0,0.461111450585435,0,0,0.103505190327722,0.222792338629238,-1.73472347597681e-18,0,0,-4.52806496054701,0,0,0
XMR,0,-0.00869849264446239,0,0.139735195965829,0.135658037709962,0.46548681356537,0,0,-0.0172103319986417,0,0,0,0.254232138315666,0,0,0,0,0,0
EOS,0,0.374662919682248,0,0.0671804928600587,-0.467577899636793,-0.14482217104544,0.61504446409174,3.46944695195361e-18,0.124531030038546,0,0,-3.46944695195361e-18,0.389058377995931,0,0,0,0,0,0
ZEC,0,0.273110971793516,0,-0.0301314417185828,-0.0277444783032975,0,0,0.00664558902056244,0.0715861765734386,0,0.0278373323973793,0,0.270817311323003,0.202962089744769,0,0,0,0,0.0292334053572021
XLM,-0.0965840824923798,-0.0148483897466195,0.295697990242047,0,0,0,-0.0253166023330806,0.0351200602668118,0.0537578006234709,0.628912095620079,0.0772012464298656,0.242043344384881,0,0,0,0,0,0,0
DOGE,0.358006241745248,0,0.712074463913105,-3.46944695195361e-18,0.221981600362788,0.0905618435064829,0,-0.0665247452221196,-0.0355693230762259,0.169064768507249,-0.0607945044332892,0,0,0,0,0,0,0,-0.0190739119604207
BV010082.Index,-0.104834781271154,0.0219280648675833,0,-0.0311163347431691,0.0147010838072933,0.051266930354087,-0.0162261321696876,0.0143975752081824,0.00182830500928114,0.0145581150869588,-0.00490907710076846,0.0364053027158755,-0.018032858921329,0,0,0,0.422041793634522,0,0.0500598086689468
CVIX.Index,-0.0982631579197392,0,0,0,8.67361737988404e-19,-0.155389357415167,0.0531945984599351,0.0848480975363621,0.0135345872762319,0.0669386666635969,0.0336027093592888,-0.10323591528501,-0.0379771474435015,0.0748994203191836,0,0,0,0,0.0519690476890808
DXY.Curncy,0.0371378030442601,0,0,-0.00508473073768979,0.000331194315681919,0.0140667321628276,0.00374096850724539,0,-0.00986647759306022,0,0.00194836408613016,0,-0.00871250977607031,-0.021184730166871,0,-0.0667697378218271,0,0,-0.0302523007021298
SPX.Index,0,0.00238018971551474,0.00642861113991826,0,-0.00055486317315921,0.008395032158125,0,-0.00614731702076154,-0.0022639571071105,0,0.00124425127156473,0.00356328702924006,-0.0037620656447306,0,0.0361314279330029,0,0,0,-0.0624199065919873
VIX.Index,0.166495594625302,0.183164016482343,0,0.125685079764038,-0.233713348539707,0.0123241433277992,0.250243163013305,-0.10286995059952,-0.120150963093916,0.129752014377376,0.0528888388097881,0.123492651991425,-0.420187958144953,0.094446192910916,0,0,0,-2.1848328883656,0
