,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,ZEC,NEO,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0304746169561758,0.0638788544592743,0.270362346150221,0.0728971915175244,0.048221679563736,-0.0894400785146157,0,0.0576983445845766,0.0619554799533465,0.0135174317106166,0,0.0226650190992236,0.0398169914572769,0,0,0,0,0.205584870698392
ETH,0,0,0.0272687633297136,0,0.21656451488414,0.147529153244155,0,0.0177022975542598,0.0263129550554055,0.0971305859444738,0,0,0.0722996012931809,0.0317231660553857,0,0,0,0,0
XRP,0.1406103261768,-0.19016497248902,0,0,-0.0759961540604117,0.373034889857013,-0.187246847903233,-0.0677606026194078,0.18519073671636,0,-0.0996777249311127,0.232582779969002,0.215874449104107,-0.0475859414706487,0,0,0,0,0.159831174359511
LTC,0.282189428990535,-0.0551012813759564,-0.162358498492175,0,0,0,0.27781593683554,0,0.0266051938129496,-0.033112591605218,0.174601738874625,0,-0.00711305270694853,0.0416403573395171,0,0,0,0,0
ETC,0,0.353860467707111,-0.0949114226152994,0.258194034770257,0,0.172041702048573,-0.0432023358839732,0,0.192943224361246,0,0,-0.0552114725747004,0,-0.0217673322886746,0,0,0,0,0
DASH,0,0.14948515966914,0.248858671707073,0,0.252712020587266,0,-0.172172540976369,0,0.329140910912527,0,0.0388931021211459,0,0.0366041082505349,-0.0561485141476652,0,0,0,0,0.229898626415374
XEM,0,0.149595966918738,0.105897796138118,0.299010934669412,0,-0.148581518415993,0,-0.136033732042279,0,0,0.0227883968944547,0.229071791622612,0.253093660782934,-0.03884914844777,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0.3527332810315,0.145547898886676,0.29565347528847,0,0.0912496868784144,0,0,0,0,0
XMR,0,0,0,0.187973002824515,-0.107676936638781,0.510923487558726,0.0614395633587244,0,0,0.0355664731777308,-0.181601035082187,0.194326746206088,0.0488254248411852,0.0184577306003849,0,0,0,0,0
ZEC,0,0.370801802429501,0,-0.00866218500334068,0,0,0,0.0602147430604843,0.287145636371226,0,0.0387274950587711,0.0740874959211637,0.1243397645504,0.0105363862773782,0,0,0,0,0
NEO,-0.382862974381725,0.457402872929616,1.73472347597681e-18,0.774215438127484,1.18156594856236,0.4008027067655,0.670279942170254,-0.688475840893345,-0.394314257282756,0.312192614783957,0,-0.0325318502322368,-0.774822184170819,0.327082379185276,0,-3.56095352754897,0,0,0
XLM,0,0,0.595774054924331,0.118319656490254,0.0296983342777151,0.330148574443838,0.153292239483769,0.28473752716311,0.201611649635041,-0.212231166809295,0,0,-0.175392839092763,0.0744487040016042,0,-0.19356940146699,0,0,-0.0802544719355055
DOGE,0,0.193955126362586,0,0.213346228726569,0.144038055442775,0,0.269048224245135,-0.0118730620995207,0,0,0.0311997379459624,0,0,0.0549347754748292,0,0,0,0,0
DGB,0,0,0.198168731625579,-0.0563690059231893,-0.104092509896722,-0.186934178715936,-0.22982166545175,0.118914034650328,0.0873661962217832,-0.734620074546191,0.172985980189464,0.811924889925381,0.837896836590188,0,0,0.797909967149243,0,0,0
BV010082.Index,0,0.0358887679783358,0.0139298568162956,-8.67361737988404e-19,-0.0328760601496285,0,-0.035879442747654,0.00351117526589099,0,0.0190441179283619,0.00873771281764459,0,0.0102550075562339,0.00934283995749789,0,0,0,0,0
CVIX.Index,0,0.0285127164533856,0.0142214362931433,0,0.0177623069106765,-0.180291046972563,0.067627487788864,0,0.0835278390196681,-0.0863148285708406,0.0286459659460804,-0.0285439188900518,0.0409955564263059,0,0,0,0,0,3.46944695195361e-18
DXY.Curncy,0.00557271331048876,0.00721742301026506,0.00399616171284264,0,0.0102238574328883,0.0428224276925761,0,-0.00724450018652362,-0.0286512980666234,0.00145910013673943,-0.00817396130477929,-0.0011455266717175,-0.026607205355356,0,0,0,0,0,-0.0310487677199373
SPX.Index,0,0.0100054323462973,0.0045538711889623,0.00349983769206541,-0.00221569447313769,0.00489762762480445,0,-0.0034923425990242,0,0.00414379261977149,-0.00333515827968065,0,-0.0109638517827523,-0.000472968368056327,0,-0.00789550408614344,0,0,-0.057840097732953
VIX.Index,0,0.0283986110961523,0.200164797963765,-0.188462509611433,0.394436121624263,0.236133358404442,0.447838751532292,-0.0117296420753945,0,-0.0865313507987811,-0.188867458154448,-0.343053449958243,-0.255103369716553,-0.0667017232543917,0,0,0,0,0
