,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0251900769559666,0,0.270272591659779,0.165711136309256,0.137483395675472,0.225438951223602,0,0,1.73472347597681e-18,0,0,-0.205459592068726,0.0531208480426106,0,0,0,0,0,-0.0133567787891295
ETH,0.336353534893332,0,0.0360320948654358,0.0349707921256474,0.164744905645234,1.38777878078145e-17,0.143116886201331,0.234586981334792,0,-1.38777878078145e-17,0,0,0,-0.0625289388465299,0.10883632317058,0,0,0,0,0
XRP,0,-0.22749375917368,0,8.67361737988404e-19,0.168458086462645,-0.0720204998914281,0,0.373347895911168,0.14119355261849,0.0205132345571313,0,0.153675201805204,0.131481663616459,0.211476474605255,0.192760185309664,0,0,0,0,0
BCH,0,0,0,0,0.168263090526598,0.272346697492964,0,0.11736517329643,0.127367306206528,0,0.130898262327468,0.19684510848337,0,0.0204138688788325,0.0444452584296867,0,0,0,0,-0.0469895196848039
LTC,0.175732213081377,0.0455285293192323,0.0655319666425828,0.138001403195892,0,0,8.67361737988404e-19,0,0,0.147727380077726,0.0127584689036048,0,0,0.000298529802218132,0.137343553854271,0,0,0,0,-0.0141240227268226
NEO,0,0.437394652672767,0,0.147977746576907,0,0,0.13692691774598,0,3.46944695195361e-18,0,0,0,0,-0.0503412616536907,0.279045974212176,0,0,0,0,-0.018676073786376
ADA,0,0,0,0,0,0.039217949300588,0,0.115282275180034,-0.0393868042003504,0,0.378784909403722,0.0613362263777315,0.143747936290945,0.0475964515858083,0.076529307570939,0,-0.043825143612112,0,0,0
XLM,0,0.263896736112643,0.114811525169609,0.167049686632636,0,0.0320937605711972,0.265623107945929,0,0.171228137818728,-0.0364099149393279,0.384919717810858,0,0.0204479684933316,-0.17804276761886,-0.154679285147818,0,0,0,0,0.0109464955944113
XMR,0.11708616738009,0,0,0.0164544626275194,0.254160459303671,0.191764923695992,0,0,0,0.00685884494865171,0.140983752242575,0.200869778260091,0,0,0.024505738934935,0,0,0,0,0.037732968588704
EOS,0.173906496499461,0,0.00629132147790124,0.0127266436010274,0,-0.448126400824816,0,0.0534066002633643,0.318655166615255,0,0,0.0914316778939804,0.131410344303561,0.0706487009842225,0.532359753174508,0,0,0,0,-0.062494582760345
MIOTA,0,0,0.160558809747737,0.114078205201526,0.121661470476626,0,0.0882820530635167,0,0.189237836069605,0,0,0.24836599941701,0,0,0,0,0,0,0,0
DASH,0,0,0.0744744818682506,0.10469176442421,0,0,0.116070327959278,-0.0216482486804901,0.157252234719294,0.0469401055838394,0.184925279210637,0,0.0541569994593772,0.115156443728315,0,0,0,0,0,0
XEM,0,0,0.136189451647451,0,0.297404984949137,0.0420418818717699,0,0,0,0,0.384138834582743,0,0,0.00685145787117045,0,0,0,0,0,0.0389004379344216
TRX,1.43839819491011,-6.93889390390723e-18,0.263771062228442,-6.93889390390723e-18,-0.802842021520059,-0.463568824545964,0.122100729951937,0.0234875956070348,-0.338356249200224,0,0,0,0.360634261109147,0,0.471118668524526,0,0,0,0,0.215812960980318
ETC,0,0.0582547507802252,0.30589961140829,0,0,0.279687770356837,0,0.0498938055638911,0,0.255964390380879,0,0,0,0.0780307862432062,0,0,0,0,0,0
BV010082.Index,0,-3.46944695195361e-18,0.00113985529600575,0.104917876677669,0,-0.0376212150962306,-0.0374734732457245,0,-0.0100863702257831,0,-0.01677445467973,0,0.0166035075279451,-0.0392162929780777,0.0545940907200668,0,0.196174475956262,0,0,-0.0375682231258462
CVIX.Index,0,0,0,0.0380196943720954,0,-0.0275012039278274,0.185813633959225,0,-0.0710306697832846,-0.0610231928172428,-0.123325187688846,0,0.0793389344708956,-0.0375855128164545,-0.0106514055107368,0,0,0,0,0.0596601370745552
DXY.Curncy,-0.00851686075816079,0.0287224580824526,0.0251429974322016,1.0842021724855e-19,0,-0.0017472840826963,0.0184083207978171,-0.0377631401910278,-0.00861741918523113,-0.0300565661418256,0,0,0,-0.00573948519633697,0,0,-0.0362818575681352,0,0,0.00401045508877873
SPX.Index,0,-0.0194690491165978,0,0,0,0.00783112666263083,0,-0.00859232561476361,0.022819860854397,0.00429502082667764,0,0,0.0186680606237565,-0.0511735230949727,0,0,0,0,0,-0.0816649316102771
VIX.Index,-1.00335388830502,0,-0.113401679037713,0.135908108704731,0,0.331414584856105,0,0.16844212738507,0.166020946097824,0.274605604878584,-0.3654744492208,0,0.0464865032510528,0.13138246544805,4.33680868994202e-19,-1.4600994204578,0,0,-3.65723343073804,0
