,BTC,ETH,XRP,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0913399801550981,0,0,0.0886705799066077,0,0,0.0125138135947624,0,0.0778514879317417,0.27307605905274,0.134006009917884,0,0.100513275109673,0,0,0,0,-0.0192088189950399
ETH,0,0,0.205911176092136,0.0877403055855345,0.00531549740423486,0,0.118337548382617,0.00118604093557392,0.0276531669455593,0.00921024847400016,0,0.357513034193182,0.120347033014643,0.0527855277061009,0,0,0,0,0,0.0291300830493943
XRP,0,0.107787506794889,0,0.0390577634374984,0,0,0.223209351759848,-0.00953781210574745,0,0,0,0,0.0332676887746918,0.0607950839929697,0.266612383854064,0,0,0,0,0.0733757088199182
BCH,0,0.51162080556867,0,0,0,0,0,0.189465839888588,0,0.857925228023333,0.161270976112312,-0.668143344099957,0.378866841815313,-0.108768480022271,0,0,0,0,0,-0.251372674744825
EOS,0,0.122751412341891,0.265652469940512,0.0998773057314083,0,0,0.409945803455552,-0.0313070171445423,-0.355472075073942,0.375642370602256,0,0,0.190953772126213,0.134607742595252,-0.407526153257349,0,0,0,0,0.0517610206327265
XLM,0.334574370964696,0,0,0,0.12744219108425,0,0,-0.0148179231205115,0,0.249153904073554,0.0882127139994162,0.204729066477566,0.0799400758140953,-0.0298363587881274,0.0663145459723112,0,0,0,0,0
LTC,0,0,0,0,0.203743431990339,0,0,0.0256519239389332,0,0.0554111583727219,0,0.285109987383023,0.197789950740883,0,0,0,0,0,0,0
BSV,0,0,-0.440868176507799,1.04401851279188,0.308904481434921,-3.72287116012569,0,0,0.362097386924642,0.399465487344888,0.338981822041686,0,1.06250945853947,0.57410729930747,-0.128258351773999,0,0,0,0,0
TRX,0.425564696911348,0,0.0414757521460975,0,-0.0223521387878225,0,0,0.00370539986371998,0,0.332081597502485,0.0638004557663269,0.127059569647285,0,0,0,0,0,0,0,0
ADA,0,0,0,0.109746465253281,0.278592413031534,0,0,0,0.261715991529603,0,0.119002079432999,0.142136413350025,0,0,0,0,0,0,0,-0.0104179455980235
MIOTA,0,0,0,0.0136789805980886,0.181969585831402,0.211550808529029,0,0.0734725795779897,0,0,0,0,0.168422710948183,0,0.368354549440864,0,0,0,0,0
XMR,0,0.221397069884985,0,6.93889390390723e-18,0,0.147060858740376,0,0.0243224261418067,0.165807678832805,0.222518519949763,0,0,0,0.24389702263103,0,0,0,0,0,0
BNB,0,0.0500988278384854,0,-0.032300307196346,0.232461352529419,0,0,-0.0591423165324084,0,0.743302203334262,-0.163208137972897,0,0,0.0696560915222778,0.19252142821699,0,-0.232105706191111,0,0,0
DASH,0,0.0513586012727853,0,0,0,0.213556492127115,0.207905944480406,0,-0.20218321282068,0,0.214124142953801,0.472343032134321,0.123306771138251,0,0,0,0,0,0,-0.0301488099278968
XEM,0,0.166082943304659,0,0.209289805009273,-0.155735557510382,0.344124151038048,0,0,0.00957461617694661,0.152888121856635,-0.0269487654060219,0,0,-0.0539055096099609,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0552289660680416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375117286254385
CVIX.Index,0,0,-0.032944460603213,0.0640560806756583,-0.104539789809705,0.108912341117474,0,0.0226633674813167,0,0,0.0843452566406121,-0.138935944908308,-0.112713963773538,-0.00189104089807877,0.0813048362590749,0.239162867610862,0,0,0,0.0856989361219531
DXY.Curncy,0,0,0,0.00180525888130125,0,0,0,0.00595083219189968,-0.0317534604036871,0,0,0,0,0.00488400757325277,0.014546082895219,0.0506349742701428,0,0,0,0.00565247023831188
SPX.Index,-0.0365161663724704,0,0,0,0,0,0,0.0163896402106162,0,0,-0.0273174765348896,0,-0.0141453564157823,-0.00913172871210951,0.0286105288289545,0.0569723067156836,-0.0120878002784377,0,0,-0.12030422630442
VIX.Index,0,0,0.130584207504808,0,0.418145394319782,-0.519351419610083,0,0,0,0,0,-0.305992450252106,0.261971712231929,0,0.300834082436046,0,0,0,-4.9537505803257,0
