,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0566520863873893,0,0.298092692991626,0.185202996729828,0,0.0783623923597219,0,0.0368984339086065,0,0.0352446541493978,0,-0.0741281775578042,0,0,0,0,0,0.207318702844185
ETH,0,0,0.170881478696318,0,0,0.224732723994996,0,0.148500147456308,0,0,0.0543730033488043,0.0260674245780394,0.0494208040146039,0.226619512182595,0,0,0,0,0.132705920916619
XRP,0,0.18923822807116,0,0,0.163111969349641,0,0.257517258469771,0.090857473891427,-0.0344007523256767,0.0187833355587541,0.0423968075198367,-0.246393680255083,0.207619861952926,0.095117703990935,0,0,0,0,-0.0252080603009786
LTC,0.321747214156424,-0.0469556128013619,0,0,0,0.215141955787704,-0.142173488284361,-0.0364267432924434,0.13230440998991,0.0180921843745226,0,0.106634539258254,0.00288308902927209,0.175556343284609,0,0,0,0,0
XEM,0.328742811973793,0.0453285437061552,0.229964613180329,0.15720200063438,0,0,0,-0.0106799321319738,0,0.277584214429504,0.108666520710925,-0.169972807721914,0.00643244614553603,0,0,0,0,0,0
ETC,0,0.192564719733229,0.0363441226871266,0.267383211673814,0,0,0.28206392480924,0.118450990609619,-0.0579734055410674,0.0756108190770693,0.0179763310231732,0,-0.156516948379881,0.00413608196649134,0,0,0,0,0
DASH,0.105104074772038,0.0821977229944457,0,0,0.165265801374713,0.19857464908986,0,0,0.0547898013031234,0.168920284364722,0,0,0,0.0416771094073321,0,0,0,0,0.123328647025602
MIOTA,0.369468602617034,-0.0847068295164815,1.15986156517079,0,0.0105255797661289,0.259987561393867,0,0,0.0146061902155448,0,0.0315403907055125,0,0.199405038015574,0,0,0,0,0,0.149497217117338
NEO,-0.865279601905449,0.144807192706733,-1.69991412414466,0,0.857565841970732,0,0.739698524943577,0.0329390175492781,0,0,0.0842658951128238,0.786879500709495,-1.73472347597681e-18,0,0,-4.46262481320771,0,0,0
XMR,0,0,0,0.13204763590724,0.136250275944238,0,0.449459420875838,0,-0.016510971852279,0,0,0,0.264591732369148,0.0206357506249438,0,0,0,0,0
EOS,0,0.182231869260015,0,-0.537999190017074,0.20717881893038,0.665316345132682,-0.430098424134602,-0.0928045605467653,0.144454098885305,0,0,0.199333723563765,0.232711619666608,0.344103025433508,0,0,0,0,0
ZEC,0,0.267130567622758,0,-0.0192563619758861,-0.0360759589332728,0,0,0.0175565218572775,0.0652888642519647,0,0.0268045357795041,0,0.260245307431178,0.211349896397556,0,0,0,0,0.0398971953511905
XLM,-0.271110745765758,-0.069792231259603,0.259870167289115,0,0.239473603843522,0,-0.0504241245316321,0,0.0951075555854694,0.578942751990172,0.0643094393307059,0.278618543442575,0,0.0742362322516098,0,0,0,0,0
DOGE,0.358006241745248,0,0.712074463913104,0.221981600362788,0,0,0.0905618435064821,-0.0665247452221189,-0.0355693230762259,0.169064768507249,-0.0607945044332892,0,0,0,0,0,0,0,-0.0190739119604214
BV010082.Index,-0.0983461096355781,0.0225591881213443,0,0.0116120092961893,-0.0279278323029639,-0.00927869279268273,0.0461271884605475,0.0150994502525319,0,0.0181621260228395,-0.0103838607560027,0.0385336535395516,-0.0222035400734287,0,0,0,0.504493290454713,0,0.0590853613833845
CVIX.Index,-0.0994314429442366,0,0,0,-0.00874417450062935,0.048015739114251,-0.139212318077805,0.0800485106360681,0.0118907143533203,0.0783619716970452,0.0340751446021641,-0.108202125040091,-0.0399180295604574,0.0862988495073765,0,0,0,0,0.0489300805834442
DXY.Curncy,0.036476353197117,0,0,0.00362403245855175,-0.0051011328850083,8.67361737988404e-19,0.0099530603897268,-0.00383997089800105,-0.00976032437912649,0,0.00220941364002048,0.0047411529624215,-0.0113928539694984,-0.0152455129525813,0,-0.0642985313098682,0,0,-0.0336492435410187
SPX.Index,0,0.00293484263916531,0.00613186790355497,0,0,-0.00119429168438952,0.00896485834449928,-0.00648415088434815,-0.00234239491761127,0,0.00112956237104083,0.00585310468607061,-0.00437927380410803,0,0.0227703029031447,0,0,0,-0.061896734907328
VIX.Index,0.0251418763055894,0.0604086453340683,0,-0.368979486668679,0.135436103971272,0.204611544046052,8.67361737988404e-19,-0.162718172288671,-0.0885744645509351,0.163857894316367,0.084392538631684,0,-0.177541653995926,0.339071513283267,0,0,0,0,0
