,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.021284867923823,0,0,0.0813733257394696,0.111166407920746,0.133496712131722,0,0,0,0.0392554852708038,0,0,0,0,0,0
ETH,0,0,0,-0.0701859841952372,0.182051650125141,-0.0429048822973584,-0.0477550448869434,0.145498136455127,0.0482493874871989,0,0,0,0.0749644502812476,0,0,0,0,0
XRP,0,0,0,-0.502341681594081,0,0,0,0.447509739524951,0.595544177164171,0,0.249908913423761,-0.792903901945558,-0.0968544527758481,0,0,0,0,0
XEM,0.729370463626115,-0.156050793069342,-0.0541745310502197,0,-0.381637030015522,0,0.183640429081527,0,0.133703376249617,0.157018086177245,-0.0844713047485784,-0.0487580824750257,0.313996201036866,-0.289547185633211,0.649763152268782,-7.00879220801046,0,-0.0649430717734361
ETC,0,0.355535142864765,-0.103301592170074,0,0,0.104006028810119,0.14985008480285,0,0.0239188565854336,0,-0.021432719769241,-0.0209256922620857,0.0752544519057505,0,0,0,0,-6.93889390390723e-18
LTC,0.644836202305253,-0.0550880322876721,0.0027072016841858,0.157966530683347,0,0,0.220513459402323,0.0130389979015196,0.143025472170829,-0.0407835591152321,0.10873132692064,0,0.202865555382223,0,0,0,0,0
DASH,0.339588815068987,0.0592381424756299,-0.121864277971465,0.0746072639888694,0.0905370662973185,0.242915046609728,0,0.065550797463513,0.15543261885603,0.487921986328809,-0.165215451045272,0.0112032601746465,0,0,0,0,0,0
XMR,0,0.424309328276207,0,0.149446892350443,-0.160618163798048,-0.0267819018476319,0.0926358600554197,0,0.151959011666299,0.160722387859627,-0.0623051228057616,-0.0572557238179632,-0.10444589409534,0,0,0,0,0
XLM,-0.659632977804814,0,0.312297014515321,0,0,0,0.509282846354091,0.370474205678286,0,-0.265478655183538,0.411483021361685,0.0500027883015168,0.234231527932665,0,0,0,0,0
ZEC,0.264017524610382,0.140517242466654,0,0.00683245905796299,0,-0.139048407245594,0.385595915284817,0,-0.0411453626014767,0,0.254642864138577,0,0.0149380972550274,0,0,0,0,0
DOGE,0,0.172847839901649,0,0.0786390802628262,0.00417390067827282,0.320910273097495,0,-0.0143622306234974,0.243098321619891,0.365704358532283,0,0.0358726164635787,0,0,0,0,0,0.35672337432709
DGB,0,0,0.0663517870390228,-0.0490533770894403,-0.885392041696532,-0.201312673970688,0,0.514094743557189,-0.0692036882511517,-0.271693157740368,0.227543090809007,0,0.721828423454189,0,0,0,0,0.0143305031071829
NEO,0.362532758126498,0,0.237612777068949,0.0687699454891869,0.548737152889536,0.472090855088676,0.393300720998997,0,-0.0820905428655459,0.293181467395575,0,0.106774839229289,0,0,0,0,0,0
BV010082.Index,0,0.026921936199097,-0.00374713136947715,-0.0401845719076856,0.0380514897475235,0,-0.081750094101508,0.0307467395831256,0.0557083331434608,0.076612767166291,-0.0561415909712383,0.00500544805860983,0,0,0.126091832858141,0,0,0
CVIX.Index,0,-0.0612456846516649,0,-0.450704705323253,-0.313986668190816,0,0.0803122134993695,0.0878948303270372,0.0272060183687657,0,0,0.0237196449508934,0.292100102240871,0,0,0,0,0
DXY.Curncy,0.0188038109311595,0.0168274080002725,0.00311387050067071,-0.0170334438670043,0.00484570938837052,0,-0.00423820867980301,0,0.00959877013637488,0.0103463212705204,-0.0149641523415123,-0.00308975150482462,-0.00313619360997036,0.0282634119349923,-0.0126917621072078,0,0,0.0121200185844949
SPX.Index,0,0.0114252058147268,0.000230978500996747,-0.00637533440588879,0,0,0,0.00379006625845608,0.00512322805634637,-0.0144156261808997,-0.00124259269976004,0.00502564292461518,-1.0842021724855e-19,0,0,0,0,-0.0316631641801281
VIX.Index,-0.487605894874134,0.00866246536871405,0,-0.255397639520205,0.353699611444523,0,0.139312039220649,-0.102372663415191,0.22946794665483,0,-0.0118955826222249,-0.0600005587253717,-0.032522694415616,-3.23714887258027,-0.711293608624084,0,0,0
