,BTC,ETH,XRP,LTC,DASH,XEM,ETC,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.178872788582154,0,-0.0056701422239668,0.0508188517766284,0.178098811260581,0.195403029020308,0.235017238797873,-0.0899940633702818,0,0.127105617155482,-0.417106607990745,0.0798493179737956,0,0,0,0,0.038352106647432
ETH,0.624429888483666,0,-0.143482374249041,-0.0521723517380697,0.0462484145210542,-0.0977318974704001,0.197395157758961,0.72009673852165,-0.138170815227279,0,0.422930041816716,-0.244198397516126,-0.156505335672454,0.316460166852626,-0.329258687705808,0,0,0
XRP,-0.707828079618324,0,0,-0.0584848990669649,-0.260232142696327,-0.0339740179436144,0.14841888309888,-0.0152873576249788,0.0172935668067476,0,1.32517385943034,0.196818412524251,-0.395681201150232,0.362617879713956,0,0,0,0
LTC,0,0,0,0,0.0419559182724207,-0.149518109086039,0.138405853462759,0.116564730690115,0,0.427204284555314,0,0,0.0931660216043511,0,0,0,0,-0.268260679111451
DASH,-0.270442330333864,0.0767347645002129,0.0413959165180812,0.0736351110817284,0,0.102511151547169,0.0647047430715738,-0.0672789672163137,0.156108044257482,-0.232824624313194,-0.134919741303198,0,0.141852093192622,0.185179998539907,0.514969018775309,0,0,-0.0614996483006846
XEM,0,0.179638728783669,0.0646917380352643,-0.296401486467567,0.203259564781976,0,0,0,0,0,0,0.210209805280027,0.295475856523375,0,0,0,0,-0.376531512914143
ETC,0.106629116566658,0.4084656550638,-0.0636262385304277,0.225167922087321,0,0.0294074469616465,0,0,0.0150811215115557,0.153661632651742,0,-0.139163034516603,0.128547651149908,-0.938843606733591,0.30709047455236,0,0,-0.0932419712044211
XMR,0.617859555387274,0.540614742667458,0.113993956779237,-0.0238991356406644,0,0.0474688467402515,0.0124497321814238,0,0.14775536972968,0,-0.196960739634379,-0.0762131798267179,0.075545304382414,0,0,0,0,-0.226550175470812
ZEC,-0.0393515202230462,0,-0.0221997625542688,-0.0749350299523563,0.244725927616447,-0.0849693147684269,-0.0438791118761103,0.168819830142637,0,0.316798642876569,-0.0236985687042559,0,0,0,0.302743974952611,0,0,0
DOGE,0,0.238448302672347,0,0.352388419699198,0.0141830185313568,-0.0461508310185993,-0.275327001947293,0,0.314252923519662,0,0.251727843868746,0.121229103710761,0.0639473072650448,0,0,0,0,0.411903766556596
XLM,0.1912134377758,0.171896302558229,0.362071405711153,0.271370185967501,0.0482425496676579,-0.234030620381721,0.0668418334969417,0.143123156152565,0.0764146531129047,0,0,0.149363483423584,0.286379214541091,0,0,0,0,-0.281683466623212
NEO,0,0,-0.0185239014778854,0,0,0,0.114278697032875,-0.449712767917353,0.278958022213228,0,0,0,0,-0.444693548387462,0,0,0,0.102110863684702
DGB,0.162164795013815,0.0781538072956067,-0.0415418260109411,-0.124978980144484,-0.161704218629748,0.115118032118002,0,0,0,0,0,0.124087642188858,0,0,0,0,0,-0.0519716033476236
BV010082.Index,0.145144535455415,-0.0773956908216109,0.0223159019966441,-0.0216703465399898,0.0596211496441656,0.0306757796559614,-0.0565796867753501,0,-0.0466696057902111,0,0,-0.0339931887764921,0.0189853864364614,0,0,0,0,0
CVIX.Index,0.357633238962133,0,0.0182475321942077,0.238477339925512,0.0533405117180386,-0.361852361956866,-0.432896723871414,0.294328345124634,0.186141416551991,-0.0659625726476865,0,0,0.10670255828829,-0.404652082600788,0,0,0,0
DXY.Curncy,0.0167475333454625,0,-0.00101500397435852,0,-0.00244055120519257,-0.013023651101196,0.0110373781266091,0,0.00587422242778316,0,0.00670845095672041,-0.0147592143830764,-0.00398336249142846,0.0994672000551704,0,0,0,0.0248106759406382
SPX.Index,0.0235400591671206,0.016933018647938,-0.00295513944748413,0.00518927910642855,-0.0183624719064075,-0.00704018429018492,-0.00946812162310453,0,-0.0175495519443611,0,0.0024246101489167,-0.0383090338449253,0.0157304764433604,-0.0151448090051848,-0.0014106688647157,0,0,-0.0401386495872563
VIX.Index,0,-0.126311909232221,0.0458373308611058,0.0922593769235413,0.124836172628132,-0.533430410876853,0,0,0.0699800557362854,0.329733599123637,-0.262022176494437,-0.301050699721876,0.59399056893308,-1.048728239336,-1.06030117729483,0,0,0
