,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XLM,XMR,ZEC,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00525647996819656,-0.352399555087996,0,0.00387061145159968,-0.0330149238727814,0.293262982243399,0,0.403504570547877,-0.422311971030584,0,0.0410091410365099,0.110855908005686,0,0.128279679266368,0,0,-0.14014873272997
XRP,-0.934294926799571,0,0,0,-0.362454800107415,0,0.260493107419422,0.767789933542592,-0.225553862810468,0,-0.122001850717909,-0.762930247682423,0.392597392779327,0,0,0,0,0
ETH,0,0.0759940756866942,0,0,-0.108128046793472,-0.104847943136096,0.285239837226911,-0.117211744942123,0.799871734735839,-0.480072900429071,0.0568268489500588,0.0353541260882695,-6.93889390390723e-18,0,0,0,0,0
LTC,0,-0.0410768483162453,-0.137768224556534,0,-0.112057702297008,0,0.148964973806944,0.0170531605215762,0,0,0.414469536340818,0.0072848770379411,0,0,0,0,0,-0.299169154484576
XEM,0,-0.0406858813862304,0,0.0321173095711598,0,0.0441326216790395,0,0.219824153471115,0,0,-0.15151730828455,-0.0120700757352795,0.532669126072594,0,0,0,0,-0.527990188902821
DASH,0,-0.121979214992838,0.112888905227564,0.0781291334196616,0.155455938839857,0,1.73472347597681e-18,0.074832139373599,-0.243355293164457,0.283309769040565,-0.0584941269198301,0.0407383019489286,0.0960018370009111,0.0379449205544029,0,0,0,-0.182636135222944
ETC,0,-0.0408919409581052,0.402742762660714,0.243370384306095,0.0549336092155101,-0.244723692123593,0,0,0,0.331420976235907,-3.46944695195361e-18,-0.0678444455064384,-0.0939809900489614,0,0.120974416905128,0,0,0.287029993802372
XLM,-0.342024606974362,0.150056670374419,-0.673075516600637,0.036840953446953,-0.39869070673855,-0.219202656610034,0.570925795307155,0,1.08249478712124,0.0854821319825581,0.647793759434029,0.197552686834124,0.137084531105522,0.711269392567962,0,0,0.559445234365851,0
XMR,0.166058979980745,-0.0584525860567056,0.30675251612652,-0.102303057033502,0.0244385583611667,0,-0.0460124150300258,0.127092649446375,0,0.204591527011245,-0.0916603397189495,-0.00518571122570717,0,0,-0.0249094377879855,0,0,0
ZEC,-0.0101099790694844,0.0146544930492282,0.0868369152006534,-0.118332148724685,0,0.314016322903702,-0.116348501801641,-0.0741383644334956,0.13281264309596,0,0.361097074850842,0.0579268676716353,0,0,0,0,0,-0.208186484592125
DOGE,0,0.0105684840910279,0.0904333457526665,0.296363443681494,0,0,0,0.215891917171798,0.186436382468224,0.167666282200312,0,0.0203975400346601,0.0917231905905014,0,0,0,0,0.661463350255288
DGB,0,0,0,-0.391486488496526,0,0,0.227293339775873,0.0329225281224454,0,0,0.104866910501214,0,0.206083050553142,0,0,0,0,0
NEO,-0.467581430341014,-0.09680035354319,0.0672208627060848,0.108157478694574,0,-0.0413741108675519,-0.170847403860924,0,0,0.505828454923246,0.130395473485633,0.0185764873891225,0,0,0,0,0,0.0113998125767699
BV010082.Index,0,-0.012858612012028,0,-0.0201731120635544,0.0307358997369779,0,-0.0685197983118227,0.0211533542320108,-0.0681354348017636,-0.0661741819680524,0.0407478325125108,0.0139721828851155,0,0,0.294321177988761,0,0,0
CVIX.Index,0.0579065302175544,0.00878024606417645,-0.298211130513651,0,-0.441210647760381,0,-0.176851599721084,0.0323776851034779,0.55188284654278,9.76311127555279e-05,0,0.0348874330594022,0.137448769245766,-0.20921697072054,0,0,0,0
DXY.Curncy,0.0425546876235923,0.00169835101498832,0.00870830838715597,0,-0.00821230572055357,-0.00331509043090732,0,0.00258164643082913,-6.7762635780344e-21,0.00367066140333532,-0.00300486387632312,-0.00417352007508734,0,0.0866896430395054,0,0,0,0.0285911533250573
SPX.Index,0.00352169251590445,0,0.017503592011468,0,-0.00318734171029231,0,0,0.00578207428164688,0,-0.0122266338882886,0,0.00137234737360616,-0.00270579866557013,0,0,0,0,-0.0490649338322915
VIX.Index,0,0.0292909077089774,-0.220329199696797,0,-0.206911026551356,0.216598986241348,0.0384860554337633,0.0906253783823901,0,0,0,0.0383755987485023,0,-0.613946318023807,-0.570661483755001,0,0,0
