,BTC,ETH,XRP,BCH,ADA,XLM,LTC,EOS,NEO,XEM,MIOTA,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.103480134012907,0,0.0976321463721458,0.0258631269698566,0.155255742546049,0.113502306448459,-0.0196007696268422,0.0339902368203947,0,0.261627020169094,-0.0350622004686371,0,0,0,0,0,-0.055258238009395
ETH,-0.0336891301798141,0,0,0,0.0268274321925879,0,0.310588290830513,0,0.054750804950449,-0.00810589295908756,0.0368344748954704,0.0169168805655742,0,0,0.242562711065027,0,0,0,0,0
XRP,-0.178280847736094,-0.0214591399084914,0,0,0,0.319248030136427,0,0.323876354239087,0,0.168034704507728,0,0.246264290839871,0,0.0605760619481575,0.103261707440182,0,0,0,0,0.190473923758251
BCH,0,0,-0.0488792129808904,0,0,0.0143212270767829,0,0,0.283102892483891,0,0,0.156969164495766,0.196980918590814,0.0468530321207681,0.158559857782816,0,0,0,0,0
ADA,0,0,0.212154536244101,0.00846805038541581,0,0.276216383920769,0.0565586294339953,0,0.323926979379541,0.109231603246789,0,0,0,0.0447206003418891,0.0301400205508333,0,0,0,0,0
XLM,0,0,0.279895499311233,0,0.207734360328927,0,0.0679665414345334,0,0.154837157465328,0.0198679973095008,0.0759379691879869,0,0.261335984696823,-0.174844867773785,0,0,0,0,0,0
LTC,0.153517254379007,0.175120221754289,0,0,0,-8.67361737988404e-19,0,0.0459868860252548,0,0,0.172585905702683,0,-0.0066242675666608,0.0411004432231862,0,0,0,0,0,0
EOS,0,0.0190264191722797,0,0.057341365187302,-0.0461209609619818,0.292915887683469,0.319043980141168,0,-0.027969503047583,0.0724242728908492,-0.0213708628888088,0,0,0.12574959790818,0.250663791484976,0,0,0,0,0
NEO,0.0015733956828977,0.570281119217537,0,0,0.0102325681941189,0.201229175714644,0.00819332662778027,0,0,0,-0.0902744322729443,0.215074379796094,0,0.0464931168606327,0,0,0,0,0,0
XEM,0,0,0.159817168717011,0.0611325910694341,0,0,0,0.053929587805356,0.208221533255381,0,0.18563474353611,0,0,-0.035577126815286,0.140349465790145,0,0,0,0,0
MIOTA,0.00520473863602441,0,-0.280623881879927,0,0.045193001476095,0.311439589607658,0,0.456035495672627,0.00193480471753178,0.0285450589341274,0,0.0380716783229221,0.139195712859482,-0.119722827543015,0.206142682197432,0,0,0,0,0
DASH,0,0.0428331287026868,0.031612929243747,0.00846216451538432,0.0295076207394353,0,0.28637657172995,0.14307703351754,0,0.00181346153077262,0.0358951711247713,0,0.0658398508985913,-0.0366555554193173,0.0962791294459427,0,0,0,0,0
XMR,0.137226760177047,0,0,0.0321933295812322,0,0.0925825588395779,0.141027010959407,0,0.305879343189617,-0.0184243601054879,0.0700845721661562,0.0339352251806048,0,0.0699991989362413,0.167818448140176,0,0,0,0,0
TRX,1.66373136003634,0,0.0481080981748601,0,0.346668293134238,0,-0.510441311944628,0,0,-0.703979672655362,-3.46944695195361e-18,0,0,0,0.261279273681403,0,0,0,0,0
BTG,0,0.22501567959633,0.065947747413579,0.417422901593313,0,0.0386736555585911,0,0.1870985948399,-0.0631394972717989,0.0554167287410968,0.0191721869440408,0,0,0,0,0,0,0,0,0
BV010082.Index,-0.0480123964918365,0,-0.00102491562397833,0,-0.0187476572954872,0,0.0236259711020932,-0.00854759082994879,-0.0354967793147101,-0.00231671433372549,0.0264977409933198,0,0.0382380583739188,0.00406659972417714,0.000291845565623674,0,0,0,0,0
CVIX.Index,0,0,0.0195156847095461,0,0.0192092715436074,0,-0.0281686032489656,0.0295576650645798,-0.0183745792484662,0.0230638035948908,0,-0.00901880500511855,-0.0516796138658829,-0.020732166913539,-0.0296329527246612,0,0,0,0,-0.0200009948520849
DXY.Curncy,-0.0101252857651808,0,0.00396749528580967,0,0.00168651525516178,-0.0184637067712881,0,-0.00466454293663327,0,0,0.00844430931143061,-0.0121774672489872,0.0261581304782512,0.00138499411547315,-0.0112203330045898,0,-0.0454828670925549,0,0,-0.029870362535022
SPX.Index,0,0.0103484866719962,0.000484832154176554,0,0.00373548503882106,-0.00294527670280327,0,0.00140905610969533,0.00233285442001794,0.000685179924505747,0,0.00273211162075773,0,-0.00245095074559997,0,0,0,0,0,-0.036644824409235
VIX.Index,0,-0.106353779083423,0.0340329173469537,-0.0678492730290083,-0.0284957072598314,-0.146728708994943,-0.075550174898622,-0.109549768336537,0,-0.0243190720399941,0.0602747123440573,0.0126714832903294,0.221230036268898,-0.0775174349594109,0.144509349052207,0,0,0,0,0
