,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,XLM,ZEC,DOGE,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.227041559572402,0,-0.0194862832758113,0,0.267825821693624,0.155468023016705,0.208434524078848,0.102810218689278,-0.180228245584675,-0.0448180102278304,-0.281648366267775,0.0732671050727153,0,0,0,0,0
ETH,0.265296575410845,0,0.0415758540682483,-0.0600547617650124,-0.142460033440586,0.369759533133421,-0.133518548397899,0.990674221716061,-0.0423789500709979,-0.187818700903867,0,0,0,0,-0.460055449785345,0,0,-0.152568197190696
XRP,0,-0.122818937374712,0,-0.181457025831968,0.104958476964794,0.493739876328009,-0.315194323915885,0,1.05251774580436,0.108797858081721,-0.506342691639932,0.163242775436868,-1.03943561817748,0.983001515707376,0,0,0,-0.238067517994004
LTC,-0.372454883947772,0,0.0706221061183069,0,0,0.131036891152916,-0.143504544769082,0,-0.0719343906217053,-0.0239665706318129,0.340742077835131,0,0.205986802067563,0,-0.264215723316478,0,0,0
DASH,-0.205341530944883,0,-0.0439266300390753,0.0475506629485236,0,0.0596698397517962,0.168648778535979,-0.229823023292286,0,0.25391411055644,-0.173677709990391,0.113420194617169,0.0568487190486203,0,0,0,0,-0.178198326608036
ETC,0.336577363162522,0.296470000566062,0,0.17361851804014,0,0,0.0994429710671374,0,-0.0595206716536744,0.281049476508879,0.074835080957737,-0.18257917653223,-0.0242111532582641,-0.211100769901142,0.103817584894242,0,0,0.164615630739698
XEM,-0.416522903258283,0,0.0957853458966083,0,0.190554142259117,0,0,0.349979834673305,0,-0.347411473527055,-0.118027656712174,0.482951841523763,0.391687293499545,0,0,0,0,-0.589667346455382
XMR,0.683947423830936,0.372921801921206,0.0227491628064602,-0.0222491402077171,0.0786801934381554,0,0,0,-0.183424245313198,0.359677360121691,0,0,0,-0.354789369745393,-0.000958234648845065,0,0,0
XLM,0.225541804435191,0.1420563442035,0.328742314732361,0.261861965577263,0,0.0166304931285114,-0.294233853356445,0.201149004849195,0,0.18783007776757,0.0944668797739062,0.165134083975165,0.298281098914055,0,0,0,0,-0.274248733395902
ZEC,-0.360825772889923,-0.100099091337131,0,-0.0546757470160333,0.23455407046829,0,-0.125690664615041,0.331036955189015,0.00158948692449007,0,0.223300042629616,0.143591156814166,0.0819948882299977,0,0.244655928291277,0,0,-0.0892419216976068
DOGE,-0.132001096201017,0.097142492552882,-0.1152899566114,0.267796709818458,0.073467145047016,0.0298639543355566,-0.180854295700882,0,0.35558507539743,0.102671073304579,0,0.179002014543465,0,0,0,0,0,0.495422902229199
NEO,-0.184232583254723,0,-0.0120895361719922,0,0,-0.129091445821619,0.107733239097528,0,-0.110810705100458,0.160083981861465,0.343271499919053,0,0.0972733153228553,0,0,0,0,0
DGB,0.210988098198637,-1.73472347597681e-18,-0.126277969483378,-0.373162107071716,-0.103437624046834,0,-0.00808599367382411,0.00635400539283846,0.474371838691763,0.0733143878165876,0,0.103070720926905,0,0,-0.0677037032353198,0,0,-0.0817772844245139
BV010082.Index,0.182046057438689,0,-0.00369820644754877,0,0.045267760275941,-0.117688346146527,0,-0.104549512040285,0.00544016878029494,-8.67361737988404e-19,0.0215913250135948,-0.0195310353439958,0.0218436128116927,0,0,0,0,-0.0548926097981064
CVIX.Index,0.202006362894295,-0.158378553858295,0.038400621249586,0.0194724312940609,0.0985729700378259,-0.220116455601473,-0.432658639269506,0.32460621752377,-0.0273662700590562,0.0573746863424349,0,0.138832023424698,0.125958597258467,-0.541303690836642,0,0,0,0
DXY.Curncy,0.0303852838966854,0.00414002590689382,0.000206976182794615,0.00565251319485188,-0.00473651373203056,0,-0.0100903384701512,0,0.00179687766330904,0,5.42101086242752e-20,-0.000857776900426912,-0.00139706078677611,0.0698030638468278,0,0,0,0.0238847470950864
SPX.Index,0.024155390749159,0.0165781561841023,-0.00130478217007679,0.00262812082200932,0,0,-0.008172961674004,0.00799806781446868,0.00954342089538846,-0.0131076538829234,0,-0.0032216475117259,0,0,-0.0071640432974592,0,0,-0.053086049110704
VIX.Index,0.00129962799426344,-0.0786674158622041,0.003638533990303,0,0,0,-0.373567499446051,0,0,0,0.0638055750801776,0,0.153365362608501,0,-0.738981892279681,0,0,0
