,BTC,ETH,XRP,XEM,LTC,MIOTA,NEO,DASH,ETC,XMR,EOS,ZEC,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.073761058657119,0,0.119249104019553,0.33718930108949,0,0.0385308925218956,0.103611859321087,0,-0.0743504593218455,0.0531755864831767,0.0133219167720065,-0.0652613497030347,0,-0.134996049384613,0,0,0,0.252958025626018
ETH,0,0,0.162279120129048,0,0,0.119554845517896,0,0,0.293048515379052,0,0.0564123861302804,0.0503873372994057,0,0.192638579359026,0,0,0,0,0
XRP,0.14101108366301,0.181133338882765,0,0.174146671354486,0,0.0286975287157571,-0.0246354554075878,1.38777878078145e-17,0,0.256914793133663,0.0340892881324221,-0.142993061209774,0.137760356427031,0.0498176436432701,0,0,0,0,-0.134383345990136
XEM,0.178326895927124,0,0.218044045708335,0,0,0,0.0445611205687222,-0.0685356600376606,0,0.197430972764212,0.126216973899629,-0.0829270618612825,0.166099328052741,0.0567851992934613,0,0,0,0,0.121399424368792
LTC,0.300240059245141,-0.113397292674957,-0.0641385888495064,0,0,0.0956605384414361,0.0651573531731493,0,0.279514799165362,0,-0.0480791117799966,0.115387720722068,0.0611549337784448,-0.0607532098214797,0,-0.473721643616165,0,0,0
MIOTA,1.14757233863704,0,0.808396339325533,0,-0.144442227727651,0,0.00800221155742452,-0.0372943197377276,0,0,-0.0111008841710404,0,0.626426086081533,-0.560354553779035,0,0,0,0,0
NEO,0,0.261446702143724,-2.05333550600613,0.789933284372608,0.0655339040921807,0,0,0.815097228202014,0,0,0.0848790230056272,0,0,0.113280550005551,0,0,0,0,0
DASH,0.0416467042688191,0.139723232010187,0,0.173942131827592,0.0829528360772244,0,0.0424631608240149,0,0.123400583212231,0.301920715888623,0,0,-0.00656262211545502,0,0,0,0,0,0.119005101252386
ETC,0,0.225632923978031,0,0,0.155607733619267,0.0315541929609179,-0.0140257639815311,0.0539140938642764,0,0.228032399552257,0.011042732284706,0,0,0,0,0,0,0,0
XMR,0.0757096807368208,-0.0699005349205501,0,0.128798825705243,0.129156029964956,0,-0.0172027676023494,0.437393029868584,0,0,0,0.045688527325438,0.265681727287747,0.0571415228064068,0,0,0,0,0
EOS,0,0.213527510166287,0,0,-0.493173707867098,3.46944695195361e-18,0.129370707103772,-0.215610860741865,0.709358820830709,0,0,0.0689132482792214,0.335896535801828,0.0751082402644102,0,0,0,0,0.131387930832963
ZEC,0,0.128026569670627,0,0,0.0205150131047322,0.218111389807197,0,0.0487807765668858,0.0271554181828106,0,0.0480516837141809,0,0.12740279643334,0,0,0,0,0,0
XLM,-0.0181971976967848,0,0.0962761386902446,0,0,0.107154875530222,0.0359139927586617,0,-0.0264785482745244,0.475748893451864,0.100190938677698,0.169469526709807,0,0.126921738304264,0,0,0,0,0
BAT,0.33083026097854,0.106493894647183,0.215655928413453,0.199881274102454,-0.279469675581803,0.0987068402517449,0.00405075191357122,-0.235333639381923,0,0.266817527529336,-0.00487398807230758,0,0.271681160403999,0,0,0,0,0,0
BV010082.Index,-0.146270973409954,0.00413006012094559,0.00927153153411929,-0.0103316843058681,0.0324311750802237,0.0131285256537874,-0.00381658528882165,0.0392071588926478,-0.0236261677888421,0.0085493060264635,0.0089319042306731,0.0363875177287027,-0.0120299163736312,0.0019007393149159,0,0,0.594794396047899,0,0.0376478294380131
CVIX.Index,-0.0635042921359638,0.0298979539788168,0.0451642089000199,0,-0.0137364140861731,0.0619345196604514,0.0283500619180823,-0.0188700828568885,0,0.11193568794065,0.0226395670380931,-0.117931027122987,-0.124537523914742,-0.0198350493844546,0,0,0,0,-0.0230934727049265
DXY.Curncy,0.0321356805862123,-0.0127078856131946,0,-0.00209004431118332,0.00745341024249181,-0.00272528805388955,-0.0101711922297321,0.0114879565604743,0,0,0,0.0193611229356188,-0.0234327529290063,0.00299207477711742,0,-0.0473065966006326,0,0,-0.0289694436113587
SPX.Index,0,0.00998696519895929,0.004229016467781,0,0,-0.00535330066516988,-0.00184741230256154,0.00409636781320027,-0.0034989186136826,0,0.00109004500425365,0.00366681898988543,-0.00478114247838316,0,0,0,0,0,-0.0648349214263566
VIX.Index,0.210266387024922,0.0499225068181299,0.0160305118498385,0,-0.224560015865094,-0.0309928645591268,-0.0988262807680585,0,0.150856458733841,2.77555756156289e-17,0.066744691563024,0.0297801260235156,-0.214595066827314,0.181760841711,0,0,0,-3.54038756477113,0
