,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,TAGZ5,XTZ,LEO,XMR,XLM,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.198626337026997,0.184604933772594,0,0,0.136467829453344,0.00295524364118245,0,0.108091136928239,0,0.170121989382726,0,0,0,0,0,0,0
ETH,0,0,0.0956109379041085,0.180215709223863,0.0203502254132748,0.207988632411108,0.133530867235132,0,0.00690403911526453,0,0.222563885013373,0,0,0,0.167114319110021,0,-0.023292634216299,0,0,0
XRP,0,0.0878771893514004,0,0,0,0,0,0.155015512672902,-0.00348564360107247,0,0,0,0,0.18612974558797,0.356854733017099,0,0,0,0,0.0066788965437062
BCH,0.286770460082325,0.163962327983569,0.24544557060354,0,0.226205749294958,0.0439897033530354,0.0509183032302342,0.0720970854338616,0,0.0314474608395899,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.579244467838839,0,0,0.207593929855157,0.30331644449586,-0.00225024551437252,-0.0257587417080664,0,0.191820682275329,0.0285247855418571,0,0,0.0194302932595837,0.107673631570858,0,0,-0.0691223238061238
LTC,0,0,0.0418908836209815,0.0828231104580835,0.170851768631595,0,0.405405504369287,0,-1.0842021724855e-19,0,-0.038668280883933,-0.0702892415280022,0,0,0.238141407651834,0,0.072538519758403,0,0,-0.0401393179129482
EOS,0,0,0.166722553583525,0.348973984949975,0.160535266369192,0.133003136400631,0,0,0.00662450402827928,0,0,0,0,0,0.132549718081858,0,0,0,0,-0.00225413801434974
BNB,0.177298524896071,0.175445219545736,0,0.267298564417274,0.0177343652883314,0,0,0,0.000508029995956655,0,0.089711523488432,0,0.249635168127756,0,0,0,0,0,0,0
INNBCL,0,17.1801738972689,0,0,0,0,0,0,0,0,0.488241445501687,0,-18.074162257464,0,0,0,1.10623776948115,0,22.3325935375968,2.47244159627624
TAGZ5,0,0.342897599554012,0,0.452678107203516,-0.165899564293995,0,0,0.276256462797767,-0.000729622576162916,0,0,0,-0.155869978225411,0.105444458531056,6.93889390390723e-18,-6.93889390390723e-18,0,0,0,0.146962621382355
XTZ,0,0.498764642643403,0,0,0,0,0,0.521936436963569,0.00092283527643053,0,0,0,0,0,0,0,0,0,0,0
LEO,0,0,0,-0.00717756187585057,0.136398947723911,-0.451084674977499,6.93889390390723e-18,0.1451109494399,0.00342833295688282,-0.0202773380574843,0.15967291385247,0,0,0,0,-0.0148267458195563,-0.00504270814658178,0,0,-0.04030234879864
XMR,0,0,0,0,-0.0342416328395596,0,0.452322324207951,0,-0.00738195618788612,0,0.172788088674898,0,0,0.342483219746314,0.0290269284306769,0,-0.0331533808618685,0,0,0
XLM,0,0,0.373872590509807,0.161788281422562,0.0421492281823115,0,0.101344278675208,0.086530901037343,-0.00536544989481161,0,0.0119443959597761,0,0.0411291547184701,0,0,0,0,0,0,0
ADA,0,0,0.0479462000116573,0.0711022987846874,0,0.505088882758666,0.0238107336070924,0.145610488774945,-0.00133419086563923,0,0.142964498312378,0,0.04105160013854,0,0,0,0,0,0,-0.0165018988984754
BV010082.Index,0,0.952945560168189,0.538419082795856,0,0.593254560651106,0,-1.71191183327591,0,-0.0267943875646625,0.406745422829272,-0.694619150394525,0,0,0,0,0,0.0305715630256496,0,0.165493140162885,-0.0863650829704687
CVIX.Index,0,0,-0.268309413616908,0,0.390616530093087,0,0,0,-0.00347652510418196,-0.375876373917726,0.314907164274135,0,-0.473852363535189,0,0,0.373103825966835,0,0,-0.387136286248938,0.377388801633691
DXY.Curncy,0,0,-0.0649141780034073,0,0.0248472753422224,0,0,0,0.000473372428924909,0.0229410302430138,0.0558179178956461,0,0,0,-0.00253793108628058,0,-0.0145947454738468,0,-0.0408335652311174,-0.0180727590459181
SPX.Index,0,0,0,0,-0.151362570402375,0.0773295448268721,0,0,0.00420793544592587,-0.080280771847046,0.290122103841582,0,-0.227991801728649,0,0,0.156632383461322,0,0,0,-0.217925970603655
VIX.Index,0,0,0,0,-0.0647509104944669,0,-1.15101003846875,0,0.0193384964462509,0.377583667638407,0.701296650463655,0,-0.0830097380938809,0,0,0.194718203027468,0.0174440508444678,0,-1.65070641102112,0
