,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,TAGZ5,XTZ,INNBCL,LEO,XMR,XLM,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.188719447177321,0.0495477048373927,0,0.242647140921022,0.167773255772819,0,0.0998293283071141,0.00548437104777154,0,0.0676092692739071,0,0,0,0,0,0,0
ETH,0,0,0.0865910652558638,0.175132495556767,0.0211453566586079,0.201838923798849,0.142858386169514,0,0,0.218256349915244,0.00696212803947207,0,0,0.00958524605044064,0.17273126636072,0,-0.0226109450012563,0,0,0
XRP,0,0.0878771893513994,0,0,0,0,0,0.155015512672902,0,0,-0.00348564360107245,0,0,0.18612974558797,0.3568547330171,0,0,0,0,0.00667889654370619
BCH,0.299339310670774,0.205523527049672,0.194906338233087,0,0.227791647059656,0.0484580872209783,0.0275837894021624,0.0692878718388134,0.0378359959771829,0,-0.00126077548037966,0,0,0,-4.33680868994202e-19,0,0,0,0,0
BSV,0,0,0,0.577690195024518,0,0,0.215619846287213,0.300761218672132,-0.0272529664495339,0,-0.00224034727284324,0.155801272480459,0.0317186207171096,0,0,0.0176101169884745,0.105857445208916,0,0,-0.0718593555177973
LTC,0,0.0623917828593892,0.0112921016255759,0.0494626784103865,0.159386939136104,0,0.380577222022656,0,0,-0.0794802656299032,0,0,0.0477101793144527,0,0.26870206600819,0,0.0853335701885513,0,0,-0.0423711599814055
EOS,0,0,0.0564219150378752,0.282411109224448,0.236133487228016,0.149122669635333,0,0,0,0,0.00322221763976417,0,0,0.123222780076258,0.0952596888158225,0,0,0,0,-0.00277918039802263
BNB,0.186317129781016,0.183785807796862,0,0.264216880863453,0.0166005612822995,0,0,0,0,0.0870529973129716,0,0,0.240122249223282,0,0,0,0,0,0,0
TAGZ5,0,0,0,0.418130741263707,-0.140843220487139,0,0,0.0829558974935079,0,0,-0.00168782451374915,0,0,0.544860156794979,0.0218453278724754,0,0,0,0,0
XTZ,0,0.317610601100118,0,1.38777878078145e-17,0,0,0,0.552908804349793,0,0,-0.00442092021254181,0.19102790941288,0.0290631086767491,0.188794836427114,0,-0.0555081832223775,0,0,0,0
INNBCL,0,13.5374060827463,0,0,0,2.55774533035184,-2.77555756156289e-17,0,0,2.37476814686921,0,0,-19.6851655295699,0,0,0,0.296279586418531,0,22.1794761222382,2.69675081729093
LEO,0,0,0,0,0.126567562925821,-0.34794469969626,0,0,-0.0139003699695481,0.188638237598573,0.00332654150288765,0,0,0,0,-0.0166291994364522,-0.0227701456335212,0,0,-0.0395120212762384
XMR,0.110467500084601,-2.77555756156289e-17,0.083138683421069,0,-0.0458169225219697,0,0.33047605612998,0,0,0.148094726323353,-0.00299301510091698,0,0,0,0.305539554414474,0,-0.0373243530567834,0,0,0.00406774003727123
XLM,0,0,0.372797266085506,0.169348514111776,0.0470096250366811,0,0.0868903372264224,0.0896474458751903,0,0,-0.00538663419906689,0,0.0545892130961631,0,0,0,0.00346791764171131,0,0,0
ADA,0,0,0,0.118395936312021,-4.33680868994202e-19,0.492719939124527,0.0302130361342186,0.171615736468,0,0.123629886917062,-0.00294566441133224,0,0.0112268921503473,0.0227476137844564,0,0,0,0,0,0
BV010082.Index,0,1.23090340470876,0,-0.442967692247408,0.494996495409945,0.623885308857425,-1.75012818979818,1.11022302462516e-16,0.279775728672974,-0.932876699274363,-0.0289207587648245,0,0,0.707898547679332,0,0,0.0262933496283524,0,0,-0.149324488971762
CVIX.Index,0,0,-0.109686073356345,0,0.325779211051027,0.00412385735640462,0,0,-0.36948045287957,0.293993156527576,0,0,-0.64699182458251,0,0,0.300170571520466,0,0,-0.336177825405755,0.333164528619093
DXY.Curncy,0,0,-0.0656233578579081,0,0.0251731660406149,0,0,0,0.0227482582995591,0.0551375554616527,0.000442038089194091,0,0,0,0,-1.0842021724855e-19,-0.0144836483890307,0,-0.0391532399213894,-0.0175675396138842
SPX.Index,0,0,0,0,-0.151644142412866,0.0782674399400925,0,0,-0.0806465682363714,0.290599236443289,0.00422005567594857,0,-0.228887261846143,0,0,0.156499819497208,0,0,0,-0.217971543776916
VIX.Index,0,0,0,0,-0.0649197964158191,0,-1.14215973938529,0,0.380393080632947,0.680447603379448,0.0195207681605159,0,-0.0768519182314758,0,0,0.195568602664937,0.02198313582222,0,-1.65240393389579,0
