,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,XMR,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.129487195839825,0.294059553326453,0.124069089780656,0.0049599786480769,-0.0154852548107573,0.0436312034244954,0,0,0,0.18800284532227,0,0.0703373375148384,0,0,0,0,0,-0.0144900150172294
ETH,0,0,0,0.0957358597166897,0.259684824267286,0.122099758294502,0.21748036830898,0.0913111751950272,0,0,0,0,0,0,0.130544051688424,0,0,0,0,-0.0392596693626442
XRP,0,-0.694805325245791,0,0,0.079011048921816,0,0.287940348622091,0.0234148952584585,0.0175851564914173,0.064229774265535,0,0.599597098225311,0.185335833204581,0.0908940883761365,0.327582356322508,0,0,0,0,-0.0139642680484849
BCH,0.209918956818622,0,0,0,0.192989220822978,0.141974354770932,0,0,0,0.196326208216552,0,0.25159540840547,0,-0.0254534945163599,0.0984782619214123,0,0,0,0,-0.021098171930455
LTC,0.167887342949676,0.0504106010202478,0,0.11881043415899,0,0,0,0,0.105633493777556,0,0.10584495168791,0.126024226259312,-0.0343027144313276,0.00113276339238637,0.101922625855232,0,0,0,0,0
NEO,0,0.450618142790566,0,0.144897231691269,0,0,0.138244833467075,0,0,0,0,0,-6.93889390390723e-18,-0.0513092198512182,0.276479198751575,0,0,0,0,-0.0215879471053677
ADA,0,0,0,0,0,0.0824289454196992,0,0.0810795355648829,0.0366820078632918,0.0408406961559331,0.329867054178728,0,0.170975032535215,0.0481676397491453,0,0,0,0,0,0
XLM,0,0.0839942223882547,0.0545070203342127,0.194371249675224,0,0.107305126337931,0.41640771856605,0,-0.0893023316593458,0,0.423289147830371,0,0.0365012516570672,-0.168642273020087,0,0,0,0,0,0.0577034503154035
EOS,0.113343550029481,0,0,0.134077372215421,0,-0.351441430699971,0,0,0,0.208934747818765,-0.0851406804297203,0.268660372643102,0.156653406529869,0.0995936467569257,0.359826378566535,0,0,0,0,-0.04542989360001
XMR,0.112507328429705,0,0,0.0196005687407244,0.270708992523732,0.181745143714181,0,0,1.73472347597681e-18,0,0.113635731049131,0.233200462330158,-6.93889390390723e-18,1.73472347597681e-18,0.0268464941567495,0,0,0,0,0
MIOTA,0,0,0.158178452081592,0.130766805412336,0.0399180264583623,0,0.16565722782838,-0.0375238938624061,0,0.191829361304251,0,0.105161128814578,0.028842698768923,0,0.076732310613152,0,0,0,0,0
DASH,0,0,0,0.0307059246617105,0,0,-0.00773369793783068,-0.0706577021793737,0.124640894598078,0.217728139061042,0.192454052618626,0,0,0.0978583570728472,0.147239308590712,0,0,0,0,0.0480744253432972
XEM,0.231374374992274,0,0,0,0.180986262839278,0.160420683308973,0,0.21794107925593,0,0.0832353945303353,0.0985541953805516,0,0,0.0624023517695671,0,0,0,0,0,0.128607360264645
TRX,1.4601481235987,0,0.293994447945276,0,-0.843473310770332,-0.514881094344256,0.104324001498131,0.0876759939411786,-0.0747903407942378,-0.258042463115889,0,0,0.374279736699038,0,0.469077646548163,0,0,0,0,0.215543392963384
ETC,0,0.692179493626447,0.370542992295008,-1.38777878078145e-17,-0.127272008924635,0.106994071099451,-0.062750106407413,-0.0969293302069581,0.169503583206159,-0.0936016276167729,0.343821197338368,0,-0.153017274734209,0,0,0,0,0,0,0
BV010082.Index,0,-0.0806268537948009,-0.0407434421902757,0.0825746619600082,-0.0103220577422823,-0.0447000670373123,0,0,0,-0.014098322693057,0,0,0.103719185324476,-0.00694173090793576,0.0458832614201071,0,0.114479315166753,0,0,-0.0540173036504899
CVIX.Index,0.0130374642796091,0,0,0.00173560553401688,0.00601729671725098,-0.0600390296117417,0.124552542663639,-0.0859533478263876,-0.0648382843100092,-0.141806992691705,-0.0682323627388826,0.178997789406507,0.140093674691053,-0.0399805814104951,0,0,0,0,0,0.0319626798803658
DXY.Curncy,-0.00849324934172233,0.0168920564995643,0.0147582483383981,0,0,0,-0.00655005454842692,-0.0112308178113842,-0.0198087472553757,0,0,-0.00648584637711587,0.0108114099694956,-0.00779308750230585,0,-0.03773699752337,-0.0728858189311402,0,0,0
SPX.Index,0,-0.0197553336583991,0,0,0,-4.33680868994202e-19,0,0.0094780437648537,0,0.0312237402110311,0,0,0.0133766029524236,-0.0453962568513752,-0.012013372587473,0,0,0,0,-0.0751549651994563
VIX.Index,-0.651137887078095,0,-0.17958828383127,0.385981893472379,0,0.158220860227991,0,0.0990026071854181,0.199552712734729,0.0254895926510536,-0.62331258296208,0,0,0.116951181383391,0.251896299478343,-2.39689447733209,0.305374146204271,0,-2.94008024089972,0
