,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0161217744781404,0,-0.0651440915453847,0.204495422203977,0.0432940084875418,0,0,0.292108796754071,0,-0.021661323208736,0.0888287049282822,0.0787162822180567,0.195337904024527,0,0,0,0,0.00802306826661658
XRP,0,0,0.176153314374183,0.0207622997148038,0.934794364574075,0,0,0,-0.0509210746972812,0,0,0,0.477281640653763,-0.473522013969856,0,0,0,0,0.112417441244982
ETH,0,0.181852198733043,0,0.00363568332927308,0.0706743572746696,0.147862918424561,0.312329638896919,0,0.0981959180052565,0.0559897117286157,0.0428885700852008,0.0336350723825741,0.0645155268653785,0.147932120517322,0.017695971452326,0,0,0,0
BCH,0,0.0799763658399058,0,0,0,0,0,0,0,-0.0101820811740328,-1.05223882658655,1.30997067960452,0,1.02857589833135,0,0,0,0,-0.00863158196203276
XLM,0.471968086510017,0.257997046712718,0,0,0,0.136101884837923,0,0.239060994719267,0.171821637294422,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.536584215311086,0.10496760107233,0.366525865541048,0,0,0,-0.0550880945665683,0,0.0043860395723873,0.151395869145953,-0.308799834112289,0,0,0,0,0,0.0121623477190667
LTC,0,0,0.13180785238509,0.210515300689011,0.0859930847982672,0,0,0.0933335216729164,0.0349371508368646,0.0631622618113231,0.22783181075786,0.0421578209639337,0.0258643124502207,0,0,0,0,0,0
ADA,0,0.148144239290918,0,0.13848850180621,0.0237192393896849,0,0,0,0.160954618641184,0.306911104407393,0.0567995758610905,0.0136988141808799,0.112414159774,0,0,0,0,0,0
XMR,0.698064925950038,0,0,-0.0529711972874424,0,0.326748039973591,-0.224555115846303,0.225654309125857,0,-0.0444379045841747,0.145729981351915,-0.0871758313088924,0,0.255081925344275,0.126748703836231,0,0,0,0
TRX,0,0,0.244518655223522,0.0550882066273736,0,0,0,0.209715324252956,0,0,0.00282027467279895,0,0.0887947435733485,0.319996554523683,0,0,0,0,-0.0944341645019643
DASH,0.264657932343532,0,0.112017769773669,0.126296636280524,-0.0299029684949643,0,-0.0138035756453832,0.494722620272761,0.00607373966971069,-0.0549026632080404,0,0,0,0.163157424863942,0,0.16825649762923,0,0,-0.000411453314596693
MIOTA,0,-0.0290942154503331,0,0.00107526444956049,0,0.328460931058996,0,0.339011236217458,0,0.092942530691257,0,0,0.13653983638514,0.23701181359345,0,0,0,0,-0.0284825875539485
XEM,0.105918833652838,0.0348254503720724,0,0.0374429550006635,0.284965039913801,-0.291958402922618,0.135984971962123,0.280142215148422,0,0,-1.38777878078145e-17,0.190238600812409,0,0,0.123736436327135,0,0,0,0.0302495387525521
BNB,0,-0.0651145463676144,0.762609820521682,0,0,0,0,0,0.0942728555343721,0.0907626322021046,0.0133551159186687,0,0,0,0,0,0,0,0
BV010082.Index,-0.0287091780042076,-0.143902148863615,0.22698164978469,-0.0730256291233111,0,0,0,0,-0.11223491205555,3.46944695195361e-18,0,-0.0190802764928006,0.0566754273450655,0.0916083407263297,0,-0.114401329448193,0,1.27688667179579,0.09857140896345
CVIX.Index,0,0.0763174092030204,0,-0.124032226158293,-0.249909851264611,0,-0.0745217213543631,0,-0.140085930427074,0.0545867730340005,0,0.213680513185623,0,0.304995290448785,0,0,0,0,0
DXY.Curncy,0.00816585478341803,-0.00604771284573078,0,0,-0.0387441113157375,0,-0.0302709701980007,0,0,0,0,0.0458223415089046,0,0.0113602420861925,0.0223594528372871,0,0,0,0.00221289430065306
SPX.Index,0,-0.0778734675639842,-0.0509646506049462,-0.00262495937224943,0.130196914793052,0,0,0,0,0,-8.67361737988404e-19,0,0.0609358583356876,-0.0754221484549886,0.0384469461556581,0.0195249751719133,0,0,-0.10698995363543
VIX.Index,0,0,-0.373528988279551,0,0.177983390027124,0,0,0,0,0,0,0.108839687905305,0.300929533191693,0,0.892484139241807,1.35332190553611,0,-5.85666192777649,0
