,BTC,ETH,XRP,INNBCL,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LINK,XLM,XMR,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.143822084004014,0,0.000136799730900074,0.505994860955632,0,0,0.0940352534899989,0,0,0,0.0499128370921605,0,0,0,0,0,0,0,0
ETH,0.161959385995986,0,0,0.00221768200661759,0.10674430553143,0,0.172057341221045,0.0745529169399137,0,0.129794931897755,0.000441529155315174,0.052304408919873,0.361916417195687,0.047999855680028,0,0,0,0,0,0
XRP,0.129723878555589,0.121860937296072,0,-0.00539416033164618,0,0,0.0169583583821677,0,0.169507659408003,0.013802603872616,0,0,0.367637276905005,0,0,0,0,0,0,0.0285186710950613
INNBCL,0,21.4867342067639,0,0,-9.48923271803507,0,4.19348012363189,-4.49039540943827,0,0,0,0,2.13751070794267,-17.6145332480858,0,0,0.463085084795678,0,16.9889230868689,1.28923689921965
BCH,0.302493526650903,0.298202719490163,0.10243730284427,-0.00241419544043654,0,0.227985242553524,0,0,0.0626368627669038,0.022611089201078,0.0501767296859792,0,0,0.00783472092337278,0,0,0,0,0,0
BSV,0,0,0,-4.6106181194527e-06,0.590505386325136,0,0,0.200750223313249,0.32241623576903,0,-0.0158761175355057,0,0,0,0.323608864414836,0.0298187437323973,0.0986035847724505,0,0,-0.074982832888856
LTC,0,0,0.0919729457811448,0.0052914698239479,0.105647123114036,0.0776070623202598,0,0.606541063115456,0,0,-0.0125634399809817,0,0,0.0286500562386642,0,0,0.105147187359568,0,0,-0.0740386225957644
EOS,0,0,0,0.0065258059119063,0.721671055514086,0.0272471478055144,0.126196005551542,0,0,0,0,0,0.0144210275882056,0.10903272653839,0,0,0,0,0,-0.0239517646867142
BNB,0.107353902742678,0.102863001112392,0,-0.00113674568956524,0.415964999859331,0,0,0,0,0.0892089840010549,0.0108936919189573,0,0,0.24693340936926,0,0,0,0,0,0
XTZ,0,0.246319951398315,0,-0.013041459506793,0,0.245238009727407,0,0,0,0,0,0.473902824121073,0,0,0,0,0,0,0,0
TAGZ5,0,0,0,-0.0101493936777406,0.196941898307012,-0.19857335412631,0,0,0.0353191260026874,0,0,0.380823250300337,0.651407579903406,0,0,0,0,0,0,0.102756805742536
LINK,0.338176122504262,0,0,-0.00304566344981408,-2.77555756156289e-17,0.19956466287356,0.260486686286301,0,0,0.306820835287316,0,0,0,0,0,-0.222034578654525,0,0,0,0
XLM,0,0,0.47375018098672,-0.00494568557172556,0.317082131041585,0.0388264909148816,0,0.0155834370885643,0,0.0309394892366272,0.011833632286085,0,0,-1.38777878078145e-17,0,0,0.017034208578756,0,0,-0.0050025557083806
XMR,0.307341737699539,0,0,-0.00404415135506698,0,-0.0664747248523817,0.0319343462091139,0.270091447800264,0,0,0,0.126242549660218,0.334209855719281,0,0,-0.0387092068202646,-0.0479854217251219,0,-0.0955020438448589,0.0136675723981661
LEO,0,0,0,0.00208636925875318,-0.0416845634408793,0.0808824697970076,-0.333062506488558,0.0793635414838303,0,0.205288966608528,-0.0184620997461425,-0.0226748111392089,0,0,0,-0.00859339460608692,-0.000182620313751311,0,0,-0.0545690015837388
BV010082.Index,0,0.132193353726198,0,0.00339890203435885,0,0.260494552353157,0,-0.120807585939457,-0.972917397611743,-0.800902502681534,0.0968697970579296,0.63879319138031,0.839920763890547,0,0,0,0.114777374140518,0,0.0482017069236236,0
CVIX.Index,0,0,-0.268366112645345,0.00470671965799773,0,0.104709877211513,0,0,0,0.111544492248299,-0.339409964389965,0,0,-0.0635009128716754,0,0.331122594915533,0,0,-0.468941362607099,0.351584504796715
DXY.Curncy,0.0432766121383255,0.0510211271382234,-0.143815441383773,0,0,0,0,0,0.0224795394102483,0.031884764420429,0.020315841054342,-0.0190591535969137,0,0,0,0.00982341752901815,-0.0094774841063847,0,-0.0380233245856189,-0.0170752271306579
SPX.Index,0,0,0,0.0014716971500745,0,-0.13953523729429,0,0,0,0,0,0.162694238036476,0,-0.0570994656213594,0,0.241861335667282,0,0,0,-0.206001956220061
VIX.Index,0,0,0,0.0147537117832688,0,0,0,-1.14777234499419,-0.332354594710214,0.713694595161651,0.326235854036192,0,0.386831991332483,-0.0812263122660452,0.325831888691179,0.278076672063848,0.0200710481110074,0,-1.77497419124893,0
