,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.170197860231573,0,0,0,0,0.0364180999393211,0.0363170637917515,0.0804533256120905,0.111425213801856,0,0,0.0358946548317121,0.0357388654126079,0.08183873537647,0,0,0,0,0
ETH,0,0,0.331532037492592,0,0.120115244818216,0,0.0713343849409804,0,0.0393298696088706,0.0360027424351787,0,0,0,0.13633188104245,0.181134124510428,0,0,0,0,0.0268370432403214
XRP,0,0.165525510747579,0,0,0.0585866131915379,0.207473646787356,0.129150703256597,0.150780982078659,0.0199182608829782,0,0.059348389779679,0,0.172388167191357,0,0,0,0,0,0,0
BCH,-0.255098220485598,0.3454631478262,0.386180093320644,0,0.16300177751647,0,0.0372533941155041,0,0.233506417090476,-0.289506723836405,0,0,0,0.16600564962735,0.0204411676612221,0,-0.209921708859199,0,0,0.0828378432171247
EOS,0,-0.639090555310799,0.577960443207987,0.806616881045885,0,0,3.46944695195361e-18,-0.171733098824083,-0.0238424749284103,-0.336979981951451,1.22919977935682,-0.940950752519518,0,0,0.592493143766794,0,0,0,0,0
LTC,0,0.175491848748392,0.0261737276728547,0,-4.33680868994202e-19,0,0.0975629823626139,0,2.16840434497101e-19,0,0.139637603183078,0.166742667779253,0.0141935984122124,0.119105377753211,0.0592661922863298,0,0,0,0,0
ADA,0.168078111411922,0,0.320371204363133,0.00842344792240504,0,-0.087439105382058,0,0,0.0497986199490132,0.177065799785073,0.194951831304457,0,0.131325851890443,0,0.0534113611821254,-0.172532691481106,0,0,0,0.147103981330099
XLM,0,0.174006388606151,0.224131188439499,0,0.0640087502420739,0,0.212020131309908,0,0,0.0413955556900938,0.0716249148110316,0,0,0.1024033484151,0.0398520398710812,0,0,0,0,-0.135853548107862
MIOTA,0,0,0,0.0290950266751754,-0.0218050987353198,0,0.30241634606408,0.462451264060694,0,0,0.155710115319512,0,0,0,0,0,0,0,0,0
TRX,0,0,0.219305020343806,0.159170428327623,0.205983840251641,0,0,0.113021337122086,-0.140658080512753,0,0,0.140938758541475,0.0476408540737896,0.316421644364482,0,0,0,0,0,0
NEO,0,0,0,0,0.0543724965271508,0.304368679494274,0.0712425747759863,0,0.183233465414131,0.0545249991336257,0,0.261165756095607,0,0,0,0,0,0,0,0
DASH,0,0,0.14150890727457,0.10821347805661,0,0.117994344844505,0,-1.38777878078145e-17,0.112149107534007,0,0.178532090941227,0,0.026307229698793,0,0.0766558801252536,0,0,0,0,-0.0276077639943597
XMR,0,0,0.122798447092415,0.126359021213889,0,0,0.0784192156590776,0,0,0.141283167650475,-0.0621303868864535,0.249894853086714,0,0.213947408200912,0.0193227351489116,0,0,0,0,0
XEM,0,0,0.213941403263358,0,0,0.22311436541489,0.0169892327057206,0.222625085432499,-0.0904067920033346,0.167918813731143,0.0841202414056353,0,0,0,0.197761243940105,0,0.135672575122878,0,0,-0.0277279519029964
BNB,0,0.22503404051642,0,0.167132216654871,-0.115552272302223,0.24415726596744,0.00255071961066338,0.121908566952022,0,0.14388798831521,0,0,0.157770903142642,-0.238393986431689,0,0,0,0,0,0
BV010082.Index,0.0269951495123356,0.118186887196537,0,0,-0.13943964957856,0,0,-0.00941701293761282,0,-0.0386732624224903,0,0,0.208144703416342,-0.157872218611529,0,0,0,0,0,-0.257528826324981
CVIX.Index,0.146255329067787,0,-0.184270001654544,0.113547474687232,0.0118852762211952,0.216333298967295,-0.0610844725991195,-0.094550656913981,0.0605058432931635,0,0.105315456028621,-0.206929863874048,0,0.0534621546816258,-0.0647627558085526,0.448349937122014,0,0,0,0.165925859056853
DXY.Curncy,0,0,0.0144511765030435,0.00169483153832212,0,0,0,-0.0274839137599602,-0.0106404385881264,0.0101541474988191,0,0,0.027108251515236,0.0131297262571851,0,0,0,0,0,0.0231088208717014
SPX.Index,0,0,0.0371199917354765,0,-0.0109740158619999,0,-0.0181486570078773,0,-0.0260781257468323,0,0,0.0280906351773344,0,-0.0185796433633838,0.0145216269834426,0,0,0,0,-0.0834293532960482
VIX.Index,0,0,0.459468928464781,0,-0.302652107696894,0,0,-0.191149403793047,0.0353115621061177,-0.0249741401657989,0.248334395283674,0,-0.188261941331624,0,-0.0930600063742797,-1.2714402676536,-0.35206713504603,0,0,0
