,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,DASH,XMR,MIOTA,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.17332084551706,0,0.0414405260342812,0.0854181145857551,0.0782572916637091,0,0.0821088202467872,0.0262650024190449,0,0,0.0135531284265274,0,0,0.0112640091313505,0,0,0,0,0
ETH,0,0,0.395569690888463,0.104323865640872,0,0.18777736799655,0,0.0400379591663615,0,0,0,0,0.0357067381763558,0.247469354187667,0.111929459678619,0,0,0,0,0
XRP,0,0.202922893920599,0,0,0,0.0154023489378189,0.0144061918486435,0.1681131327446,0.0227628019737265,0,0,0,0.0181860429814429,0.185900490179513,0,0,0,0,0,-0.0385099225690785
LTC,0.169562540444637,0.36356229531981,0,0,0.152473783560729,0,0.25772236135073,0.0164917435388442,0.254694332269572,0.360139573780359,0.000501116917091161,-0.291233738890603,-0.303708441518014,0.45747948669191,-0.12070397459978,0,-0.0636251438669278,0,-0.424927351513746,-0.105707663288988
BCH,0,0,0,0,0,0.412579250252684,0,0.0798800790669164,0.167909707621334,0,0.140786431444841,0,0,0.136838750336835,0,0,0,0,0,0
EOS,0,0.226635250328079,0,0.239327867890271,0.163945832644358,0,0,0.186815375561847,0,0,-0.162788521361759,0,0.120240959833183,0.0910919786954924,0.326777335504639,0,0.0587196184625903,0,0,0
BNB,0,0.552277587284311,0,0.332435067736039,-0.207604204482732,0.0981206194453805,0,0,0,0.246712582139579,-0.140027524923362,0,0,-0.292835163214066,0,0.106280113785234,-0.0999594524829442,0,0,0
XLM,0,0.0728726197268485,0.231234783103761,0.178027123453112,0,0.0304044033285358,-0.0420010892024138,0,0,0,0.0700403032285131,0.237203858803583,0,0.0689999273450904,0,0,0,0,0,-0.0336094009710094
ADA,0,0.220208695332607,0,0.140438544737928,0.254720468717323,0,0,0.037214479490012,0,0.0572162327226684,0,-0.132201496916308,0,0.420121219024509,0,0,-0.0896217237234945,0,0,0
TRX,0.0604089240738014,0.0523823239806928,0.27588702700744,0,0,2.16840434497101e-19,-0.124656775633553,0,-0.0830617283690241,0,0.10912282003215,0,0.266246808175429,0.104937595063092,0.054023069532262,-0.0834444136072067,0,0,0,0.0398946295806742
BSV,0,0,0.308394546693587,0.123301955635213,0.169897591116434,-3.46944695195361e-18,-0.112398515820292,-0.0405025029709853,0,0.137994831728347,0,0.0974840699932468,0,0,0.18003846680017,0,0,0,0,0
DASH,0,0.00777535789378256,0,0.135502087395024,0,0,0,0.161157190326593,0.104443969676481,0,-0.000550340260845699,0,0.30055661067546,0,0,0,0,0,0,0.0116457561795936
XMR,0,0.196374626670404,0,-0.00874737385048254,-0.0963885048929814,0,0.0749353462243025,0.218205113230433,0.0664593458245202,0.292135824063813,0.157895804241585,0.197157268458609,0,0,0,-0.10423631593596,0,0,0,-0.0621777085182221
MIOTA,0,0.334543127721773,0.0588263258502662,0.15479649547666,-0.123315357045396,-0.0931389303576279,0,0.103331427891794,0.16230916775175,0.15159491136284,0,0.115209078929821,0,0,0.0352266507496899,0,-0.097481031165615,0,0,-0.0921701664271634
NEO,0,0,0,0.0908023508589701,0,0.152421907895253,0.142960625755851,0,0.377272727566271,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,-0.597847647957904,-1.38777878078145e-17,0,0,0,0,0.117003553684909,0,-0.122804649704619,-0.147860083598293,0.156353559415089,0.0995213032168602,0.195142228416874,-0.00232989820249496,0.137993890924101,0,-0.286609914246289,0,0,0.0125546081973854
CVIX.Index,0,0,0.100863410372792,0.251821336604433,-0.152982044641303,0.090619130567736,-0.193965721628307,0.218902186348259,-0.0987289001208758,0,-0.179118934100402,0,-0.115012118158635,-0.364424339279635,0.139504874472809,-0.467378962606795,0,1.4376444962746,-0.462720728049496,-0.0105159610445756
DXY.Curncy,0,0,0.0119741553865492,0.00608208485387373,0.00432216358675564,-0.00379527942323407,0.0138078712871462,0.0144740408826539,-0.00780839200684653,0,0.018680738043629,0.0231665509238585,0.0049678254304426,-0.0662202412637721,-0.0238213499732617,0,0.0271567212767046,0,0,0.00719611557181905
SPX.Index,0,0,0,-0.0191472292328216,0.00946501230440977,0,0.00179502184504163,0,-0.0322498378910274,0,0,0,0.0227321742527998,-0.00455079417578526,0.0329898578320197,0,-0.0204657256241678,0,0,-0.0771333677713861
VIX.Index,0,0,0,0,0.245307648543256,-0.526334984287587,0.140409500477903,0,-0.156355308530564,0.326164967044896,0,8.67361737988404e-19,0.087225032852802,0,0.298536500544996,0,0.167300622296732,0,-6.01137856872383,0
