,BTC,XRP,ETH,XEM,LTC,DASH,ETC,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.065669726017489,-0.350575091892178,0,0.0145783911984219,-0.0618807978161282,0.277352622369924,0.0100255342196598,0.512339324418042,-0.00919172385876932,-0.343626700053424,0.0517778307392003,0.089918452862245,-0.153533073102068,0,0,1.38900485473364,0
XRP,-0.730537739814922,0,0.0901637383769068,-0.447277415780022,0,-0.724073678384482,0.171687776027917,0.646817320940428,0.921356899342553,-0.11102344488764,0.698583879980414,-0.745725892145642,0.129724033235048,0,0,0,0,0
ETH,0,0.0971245616053427,0,-0.0805889374037313,-0.00152684050292573,-0.0951343793658487,0.295846784760937,-0.126302464381112,0.763710833459452,0.0174610869538293,-0.440937834459804,0.0283404389324521,0,0,-0.507907054577247,0,0,0
XEM,-0.81762117284355,-0.0267843747030184,-0.252254884156428,0,0.106781757998034,0.0696212717949273,-0.136860376228945,0.121949605410321,0.663270606142415,0,-0.341229981057038,0.0177613245677193,0.649063033651248,0,-0.109855793190331,0,0,-0.524353755850509
LTC,0.070693868867338,-0.0230929747283869,-0.2340866286133,-0.103538166620691,0,0.0915513622450155,0.264099156690604,0.0296398303469941,0,0.393692582130287,0,0,0,0.640690947543264,0,0,0,-0.15337307168945
DASH,0,-0.0660288321357233,0,0.137773738636741,0.0637582329177955,0,0,0.0496528398029813,0,-0.14588767886157,0.343310701452015,0.0337171235840605,0.0202411802377806,0,0,0,0,-0.159065086833546
ETC,0.0491325828877601,-0.0350129198199641,0.383917407881935,-1.0842021724855e-19,0.216787500177434,-0.25459447285177,0,0.0200934840485487,0,-0.114190979857782,0.38156439636682,0,-0.14025472498431,-0.110183641977887,0,0,0,0.385152699228167
XLM,0,0.259110539435935,-0.546106069965127,-0.29023486006912,0.0251569801993758,-0.251204971278743,0.634246622545124,0,1.29543193026096,0.229241892461285,0.464362908452909,0.19997563490431,0.0678736231722954,0,0,0,0,-0.0690990493399247
XMR,0.171715922638651,-0.0532160336542268,0.25632119461388,0.0479730504151405,-0.11969058259851,0,-0.0802654261722672,0.132548533613835,0,-0.00962578139812115,0.0881782620584993,-0.083685612922158,0.03357033376138,0,0,0,0,0
DOGE,0.104621422651786,-0.0443881103655248,0,0,0.262734142960917,-0.243319087105623,0,0.282630147562508,0.212656552760811,0,0.482516572562509,0.0296583923998891,0.0764861300904453,0,-0.442716382847882,0,0,0.557867133821216
ZEC,-0.0883500670928793,0.0161500928818838,0,0,-0.121893236038624,0.3162643250718,-0.0989874930507655,-0.0603439568648854,0,0.309969512485366,0,0,0,0,0,0,0,0
DGB,0,-0.0202428412151653,0.15573144388675,-0.0584572163555786,-0.350393988867701,-0.135784228117515,0,0.115593127942485,-0.261783175603074,0.171813044390595,0,0,0.294271723604541,0,0,0,0,0
NEO,-0.547764715314372,-0.0932256942574717,0,0.022939972551558,0.0502839888055828,-0.0472803588123215,-0.0397115517382251,0,0,0.153599812769671,0.466661279663982,0.0435820595301088,0,0,0,0,0,0.114689950035428
BV010082.Index,0,-0.00211882681623011,0.00262674677003031,0,-0.0196520407383028,-0.0289285053015716,-0.0258311059008087,0.020848038133461,0,0,0,0,0,0,0,0,0,-0.0327764492192387
CVIX.Index,0,0.00514588594295563,-0.257593088163494,-0.427835629045285,0.00315213757654349,0,-0.184828152956349,0.0331011063149532,0.486870847480436,0,0,0.0349241552969464,0.155008982622393,-0.564996118040364,0,0,0,0
DXY.Curncy,0,-0.000224751304894067,0.0156000865620553,-0.0174469797859539,0.00967944993767246,-0.0160659175805495,0,0.00935557919164433,0,-0.0144472831335142,0.00209170425271236,-0.00245672816297456,0,0.0160995272538738,-0.0208509812485794,0,0,0.00807690764792355
SPX.Index,0,0.00122872280916682,0.0186092719164826,-0.00200868721994121,0.00084784742281902,0,0,0.00565045732441903,0,0,-0.0149874518335239,0.00375069636045362,-0.0027416567350506,0,0,0,0,-0.0508847000801048
VIX.Index,0,0.0293967870775258,-0.193462997182875,-0.171628501593869,0.0140919078474559,0.200104000966262,0,0.0845661075662359,0,0,0,0.0426254844418618,0.016904424156274,-0.805098919556012,-0.561206938941571,0,0,0
